"case","prior","posterior","action_utility","wait_utility","utility_difference","recommended_action"
"Diagnostic Case",0.32,0.771300448430493,63.6995515695067,-58.2735426008969,121.973094170404,"Act"
"Diagnostic Case",0.33,0.779242174629325,64.6128500823723,-59.0280065897858,123.640856672158,"Act"
"Diagnostic Case",0.34,0.78686759956943,65.4897739504844,-59.7524219590958,125.24219590958,"Act"
"Diagnostic Case",0.35,0.794195250659631,66.3324538258575,-60.4485488126649,126.781002638522,"Act"
"Diagnostic Case",0.36,0.801242236024845,67.1428571428571,-61.1180124223602,128.260869565217,"Act"
"Diagnostic Case",0.37,0.80802437785678,67.9228034535297,-61.7623158963941,129.685119349924,"Act"
"Diagnostic Case",0.38,0.814556331006979,68.6739780658026,-62.382851445663,131.056829511466,"Act"
"Diagnostic Case",0.39,0.820851688693098,69.3979441997063,-62.9809104258444,132.378854625551,"Act"
"Diagnostic Case",0.4,0.826923076923077,70.0961538461538,-63.5576923076923,133.653846153846,"Act"
"Diagnostic Case",0.41,0.832782239017478,70.7699574870099,-64.1143127066604,134.88427019367,"Act"
"Diagnostic Case",0.42,0.838440111420613,71.4206128133705,-64.6518105849582,136.072423398329,"Act"
"Diagnostic Case",0.43,0.843906891830215,72.0492925604747,-65.1711547238704,137.220447284345,"Act"
"Diagnostic Case",0.44,0.8491921005386,72.657091561939,-65.673249551167,138.330341113106,"Act"
"Diagnostic Case",0.45,0.854304635761589,73.2450331125828,-66.158940397351,139.403973509934,"Act"
"Diagnostic Case",0.46,0.859252823631625,73.8140747176368,-66.6290182450043,140.443092962641,"Act"
"Diagnostic Case",0.47,0.864044463445917,74.3651132962805,-67.0842240273621,141.449337323643,"Act"
"Diagnostic Case",0.48,0.868686868686869,74.8989898989899,-67.5252525252525,142.424242424242,"Act"
"Diagnostic Case",0.49,0.873186904268545,75.4164939908827,-67.9527559055118,143.369249896395,"Act"
"Diagnostic Case",0.5,0.877551020408163,75.9183673469388,-68.3673469387755,144.285714285714,"Act"
"Diagnostic Case",0.51,0.881785283474065,76.4053075995175,-68.7696019300362,145.174909529554,"Act"
"Diagnostic Case",0.52,0.885895404120444,76.877971473851,-69.1600633914421,146.038034865293,"Act"
"Diagnostic Case",0.53,0.88988676298321,77.3369777430691,-69.5392424834049,146.876220226474,"Act"
"Diagnostic Case",0.54,0.893764434180139,77.7829099307159,-69.9076212471132,147.690531177829,"Act"
"Diagnostic Case",0.55,0.89753320683112,78.2163187855787,-70.2656546489564,148.481973434535,"Act"
"Diagnostic Case",0.56,0.901197604790419,78.6377245508982,-70.6137724550898,149.251497005988,"Act"
"Diagnostic Case",0.57,0.904761904761905,79.047619047619,-70.952380952381,150,"Act"
"Diagnostic Case",0.58,0.908230152949745,79.4464675892207,-71.2818645302258,150.728332119446,"Act"
"Diagnostic Case",0.59,0.911606180380884,79.8347107438017,-71.602587136184,151.437297879986,"Act"
"Diagnostic Case",0.6,0.914893617021277,80.2127659574468,-71.9148936170213,152.127659574468,"Act"
"Diagnostic Case",0.61,0.91809590479524,80.5810290514526,-72.2191109555478,152.800140007,"Act"
"Diagnostic Case",0.62,0.921216309606082,80.9398756046994,-72.5155494125778,153.455425017277,"Act"
"Diagnostic Case",0.63,0.924257932446264,81.2896622313204,-72.8045035823951,154.094165813715,"Act"
"Diagnostic Case",0.64,0.92722371967655,81.6307277628032,-73.0862533692722,154.716981132075,"Act"
"Diagnostic Case",0.65,0.930116472545757,81.9633943427621,-73.3610648918469,155.324459234609,"Act"
"Diagnostic Case",0.66,0.932938856015779,82.2879684418146,-73.629191321499,155.917159763314,"Act"
"Diagnostic Case",0.67,0.935693406950309,82.6047417992855,-73.8908736602793,156.495615459565,"Act"
"Diagnostic Case",0.68,0.938382541720154,82.9139922978177,-74.1463414634146,157.060333761232,"Act"
"Diagnostic Case",0.69,0.941008563273073,83.2159847764034,-74.395813510942,157.611798287345,"Act"
"Diagnostic Case",0.7,0.943573667711599,83.5109717868338,-74.6394984326019,158.150470219436,"Act"
"Diagnostic Case",0.71,0.946079950418345,83.7991942981097,-74.8775952897428,158.676789587853,"Act"
"Diagnostic Case",0.72,0.948529411764706,84.0808823529412,-75.1102941176471,159.191176470588,"Act"
"Diagnostic Case",0.73,0.950923962435626,84.356255680097,-75.3377764313844,159.694032111481,"Act"
"Diagnostic Case",0.74,0.95326542840024,84.6255242660276,-75.5602156980228,160.18573996405,"Act"
"Diagnostic Case",0.75,0.955555555555555,84.8888888888889,-75.7777777777778,160.666666666667,"Act"
"Diagnostic Case",0.76,0.957796014067995,85.1465416178195,-75.9906213364595,161.137162954279,"Act"
"Diagnostic Case",0.77,0.959988402435489,85.3986662800812,-76.1988982313714,161.597564511453,"Act"
"Diagnostic Case",0.78,0.962134251290878,85.645438898451,-76.4027538726334,162.048192771084,"Act"
"Diagnostic Case",0.79,0.964235026965654,85.8870281010502,-76.6023275617372,162.489355662787,"Act"
"Diagnostic Case",0.8,0.966292134831461,86.123595505618,-76.7977528089888,162.921348314607,"Act"
"Diagnostic Case",0.81,0.968306922435363,86.3552960800667,-76.9891576313595,163.344453711426,"Act"
"Diagnostic Case",0.82,0.970280682443588,86.5822784810127,-77.1766648321409,163.758943313154,"Act"
"Diagnostic Case",0.83,0.972214655407246,86.8046853718333,-77.3603922636884,164.165077635522,"Act"
"Diagnostic Case",0.84,0.97411003236246,87.0226537216828,-77.5404530744337,164.563106796117,"Act"
"Diagnostic Case",0.85,0.975967957276368,87.2363150867824,-77.716955941255,164.953271028037,"Act"
"Diagnostic Case",0.86,0.97778952934955,87.4457958751983,-77.8900052882073,165.335801163406,"Act"
"Diagnostic Case",0.87,0.979575805184603,87.6512175962294,-78.0597014925373,165.710919088767,"Act"
"Diagnostic Case",0.88,0.981327800829876,87.8526970954357,-78.2261410788382,166.078838174274,"Act"
"Diagnostic Case",0.89,0.983046493706653,88.0503467762651,-78.389416902132,166.439763678397,"Act"
"Diagnostic Case",0.9,0.984732824427481,88.2442748091603,-78.5496183206107,166.793893129771,"Act"
"Model Drift Case",0.01,0.0469314079422383,-13.6353790613718,8.15162454873646,-21.7870036101083,"Wait"
"Model Drift Case",0.02,0.0904872389791183,-9.584686774942,4.5800464037123,-14.1647331786543,"Wait"
"Model Drift Case",0.03,0.131019036954087,-5.81522956326988,1.25643896976484,-7.07166853303471,"Wait"
"Model Drift Case",0.04,0.168831168831169,-2.2987012987013,-1.84415584415585,-0.45454545454545,"Wait"
"Model Drift Case",0.05,0.204188481675393,0.989528795811522,-4.7434554973822,5.73298429319372,"Act"
"Model Drift Case",0.06,0.237322515212982,4.0709939148073,-7.46044624746451,11.5314401622718,"Act"
"Model Drift Case",0.07,0.268436578171091,6.9646017699115,-10.0117994100295,16.976401179941,"Act"
"Model Drift Case",0.08,0.297709923664122,9.68702290076336,-12.412213740458,22.0992366412214,"Act"
"Model Drift Case",0.09,0.325301204819277,12.2530120481928,-14.6746987951807,26.9277108433735,"Act"
"Model Drift Case",0.1,0.351351351351351,14.6756756756757,-16.8108108108108,31.4864864864865,"Act"
"Model Drift Case",0.11,0.375985977212971,16.9666958808063,-18.8308501314636,35.7975460122699,"Act"
"Model Drift Case",0.12,0.399317406143345,19.1365187713311,-20.7440273037543,39.8805460750853,"Act"
"Model Drift Case",0.13,0.4214463840399,21.1945137157107,-22.5586034912718,43.7531172069826,"Act"
"Model Drift Case",0.14,0.442463533225284,23.1491085899514,-24.2820097244733,47.4311183144247,"Act"
"Model Drift Case",0.15,0.462450592885376,25.0079051383399,-25.9209486166008,50.9288537549407,"Act"
"Model Drift Case",0.16,0.481481481481482,26.7777777777778,-27.4814814814815,54.2592592592593,"Act"
"Model Drift Case",0.17,0.499623210248681,28.4649585531274,-28.9691032403919,57.4340617935192,"Act"
"Model Drift Case",0.18,0.516936671575847,30.0751104565538,-30.3888070692194,60.4639175257732,"Act"
"Model Drift Case",0.19,0.533477321814255,31.6133909287257,-31.7451403887689,63.3585313174946,"Act"
"Model Drift Case",0.2,0.549295774647887,33.0845070422535,-33.0422535211268,66.1267605633803,"Act"
"Model Drift Case",0.21,0.564438318401103,34.4927636113026,-34.2839421088904,68.776705720193,"Act"
"Model Drift Case",0.22,0.578947368421053,35.8421052631579,-35.4736842105263,71.3157894736842,"Act"
"Model Drift Case",0.23,0.592861863846662,37.1361533377396,-36.6146728354263,73.7508261731659,"Act"
"Model Drift Case",0.24,0.606217616580311,38.3782383419689,-37.7098445595855,76.0880829015544,"Act"
"Model Drift Case",0.25,0.619047619047619,39.5714285714286,-38.7619047619048,78.3333333333333,"Act"
"Model Drift Case",0.26,0.631382316313823,40.7185554171856,-39.7733499377335,80.491905354919,"Act"
"Model Drift Case",0.27,0.643249847281613,41.82223579719,-40.7464874770922,82.5687232742822,"Act"
"Model Drift Case",0.28,0.654676258992806,42.884892086331,-41.6834532374101,84.568345323741,"Act"
"Model Drift Case",0.29,0.6656856974691,43.9087698646263,-42.5862271924662,86.4949970570924,"Act"
"Model Drift Case",0.3,0.676300578034682,44.8959537572254,-43.4566473988439,88.3526011560694,"Act"
"Model Drift Case",0.31,0.686541737649063,45.8483816013629,-44.2964224872232,90.144804088586,"Act"
"Model Drift Case",0.32,0.696428571428572,46.7678571428571,-45.1071428571429,91.875,"Act"
"Model Drift Case",0.33,0.705979155238618,47.6560614371914,-45.8902907295667,93.5463521667581,"Act"
"Model Drift Case",0.34,0.715210355987055,48.5145631067961,-46.6472491909385,95.1618122977346,"Act"
"Model Drift Case",0.35,0.724137931034483,49.3448275862069,-47.3793103448276,96.7241379310345,"Act"
"Model Drift Case",0.36,0.732776617954071,50.1482254697286,-48.0876826722338,98.2359081419624,"Act"
"Model Drift Case",0.37,0.741140215716487,50.9260400616333,-48.7734976887519,99.6995377503852,"Act"
"Model Drift Case",0.38,0.749241658240647,51.6794742163802,-49.4378159757331,101.117290192113,"Act"
"Model Drift Case",0.39,0.757093081134893,52.409656545545,-50.0816326530612,102.491289198606,"Act"
"Model Drift Case",0.4,0.764705882352941,53.1176470588235,-50.7058823529412,103.823529411765,"Act"
"Model Drift Case",0.41,0.772090777402221,53.8044422984066,-51.3114437469821,105.115886045389,"Act"
"Model Drift Case",0.42,0.779257849666984,54.4709800190295,-51.8991436726927,106.370123691722,"Act"
"Model Drift Case",0.43,0.786216596343179,55.1181434599156,-52.4697609001406,107.587904360056,"Act"
"Model Drift Case",0.44,0.792975970425139,55.7467652495379,-53.0240295748614,108.770794824399,"Act"
"Model Drift Case",0.45,0.799544419134396,56.3576309794989,-53.5626423690205,109.920273348519,"Act"
"Model Drift Case",0.46,0.805929919137466,56.9514824797844,-54.0862533692722,111.037735849057,"Act"
"Model Drift Case",0.47,0.81214000886132,57.5290208241028,-54.5954807266283,112.124501550731,"Act"
"Model Drift Case",0.48,0.818181818181818,58.0909090909091,-55.0909090909091,113.181818181818,"Act"
"Model Drift Case",0.49,0.824062095730918,58.6377749029754,-55.5730918499353,114.210866752911,"Act"
"Model Drift Case",0.5,0.829787234042553,59.1702127659574,-56.0425531914894,115.212765957447,"Act"
"Model Drift Case",0.51,0.835363292734145,59.6887862242755,-56.4997900041999,116.188576228475,"Act"
"Model Drift Case",0.52,0.840796019900498,60.1940298507463,-56.9452736318408,117.139303482587,"Act"
"Model Drift Case",0.53,0.846090871878838,60.6864510847319,-57.3794514940647,118.065902578797,"Act"
"Model Drift Case",0.54,0.85125303152789,61.1665319320938,-57.802748585287,118.969280517381,"Act"
"Model Drift Case",0.55,0.856287425149701,61.6347305389222,-58.2155688622755,119.850299401198,"Act"
"Model Drift Case",0.56,0.861198738170347,62.0914826498423,-58.6182965299684,120.709779179811,"Act"
"Model Drift Case",0.57,0.865991429684457,62.5372029606545,-59.0112972341254,121.54850019478,"Act"
"Model Drift Case",0.58,0.87066974595843,62.972286374134,-59.3949191685912,122.367205542725,"Act"
"Model Drift Case",0.59,0.875237732978319,63.3971091669836,-59.7694941042221,123.166603271206,"Act"
"Model Drift Case",0.6,0.879699248120301,63.812030075188,-60.1353383458647,123.947368421053,"Act"
"Model Drift Case",0.61,0.884057971014493,64.2173913043478,-60.4927536231884,124.710144927536,"Act"
"Model Drift Case",0.62,0.888317413666422,64.6135194709772,-60.8420279206466,125.455547391624,"Act"
"Model Drift Case",0.63,0.89248092989466,65.0007264802034,-61.1834362513622,126.184162731566,"Act"
"Model Drift Case",0.64,0.896551724137931,65.3793103448276,-61.5172413793103,126.896551724138,"Act"
"Model Drift Case",0.65,0.900532859680284,65.7495559502664,-61.8436944937833,127.59325044405,"Act"
"Model Drift Case",0.66,0.904427266338721,66.111735769501,-62.1630358397751,128.274771609276,"Act"
"Model Drift Case",0.67,0.908237747653806,66.466110531804,-62.4754953076121,128.941605839416,"Act"
"Model Drift Case",0.68,0.911966987620358,66.8129298486933,-62.7812929848693,129.594222833563,"Act"
"Model Drift Case",0.69,0.915617556992174,67.1524328002722,-63.0806396733583,130.23307247363,"Act"
"Model Drift Case",0.7,0.919191919191919,67.4848484848485,-63.3737373737374,130.858585858586,"Act"
"Model Drift Case",0.71,0.922692435854715,67.8103965344885,-63.6607797400866,131.471176274575,"Act"
"Model Drift Case",0.72,0.926121372031662,68.1292875989446,-63.9419525065963,132.071240105541,"Act"
"Model Drift Case",0.73,0.929480901077375,68.4417238001959,-64.2174338883448,132.659157688541,"Act"
"Model Drift Case",0.74,0.932773109243697,68.7478991596639,-64.4873949579832,133.235294117647,"Act"
"Model Drift Case",0.75,0.936,69.048,-64.752,133.8,"Act"
"Model Drift Case",0.76,0.939163498098859,69.3422053231939,-65.0114068441065,134.3536121673,"Act"
"Model Drift Case",0.77,0.942265453404456,69.6306871666144,-65.2657671791654,134.89645434578,"Act"
"Model Drift Case",0.78,0.945307644499689,69.9136109384711,-65.5152268489745,135.428837787446,"Act"
"Model Drift Case",0.79,0.948291782086796,70.191135734072,-65.7599261311173,135.951061865189,"Act"
"Model Drift Case",0.8,0.951219512195122,70.4634146341463,-66,136.463414634146,"Act"
"Model Drift Case",0.81,0.954092419208698,70.7305949864089,-66.2355783751132,136.966173361522,"Act"
"Model Drift Case",0.82,0.956912028725314,70.9928186714542,-66.4667863554758,137.45960502693,"Act"
"Model Drift Case",0.83,0.959679810257931,71.2502223539875,-66.6937444411503,137.943966795138,"Act"
"Model Drift Case",0.84,0.962397179788484,71.502937720329,-66.9165687426557,138.419506462985,"Act"
"Model Drift Case",0.85,0.965065502183406,71.7510917030568,-67.1353711790393,138.886462882096,"Act"
"Model Drift Case",0.86,0.967686093479515,71.9948066935949,-67.3502596653203,139.345066358915,"Act"
"Model Drift Case",0.87,0.970260223048327,72.2342007434944,-67.5613382899628,139.795539033457,"Act"
"Model Drift Case",0.88,0.972789115646258,72.469387755102,-67.7687074829932,140.238095238095,"Act"
"Model Drift Case",0.89,0.975273953357685,72.7004776622647,-67.9724641753302,140.672941837595,"Act"
"Model Drift Case",0.9,0.977715877437326,72.9275766016713,-68.1727019498607,141.100278551532,"Act"
"Policy Pilot Case",0.01,0.0311387900355872,-17.3532028469751,7.97597864768683,-25.3291814946619,"Wait"
"Policy Pilot Case",0.02,0.0609756097560976,-14.8170731707317,6.03658536585366,-20.8536585365854,"Wait"
"Policy Pilot Case",0.03,0.0895904436860068,-12.3848122866894,4.17662116040956,-16.561433447099,"Wait"
"Policy Pilot Case",0.04,0.117056856187291,-10.0501672240803,2.39130434782609,-12.4414715719064,"Wait"
"Policy Pilot Case",0.05,0.14344262295082,-7.80737704918033,0.676229508196721,-8.48360655737705,"Wait"
"Policy Pilot Case",0.06,0.168810289389068,-5.65112540192926,-0.97266881028939,-4.67845659163987,"Wait"
"Policy Pilot Case",0.07,0.193217665615142,-3.57649842271293,-2.55914826498423,-1.01735015772871,"Wait"
"Policy Pilot Case",0.08,0.21671826625387,-1.57894736842105,-4.08668730650155,2.5077399380805,"Act"
"Policy Pilot Case",0.09,0.23936170212766,0.345744680851066,-5.55851063829787,5.90425531914894,"Act"
"Policy Pilot Case",0.1,0.261194029850746,2.20149253731343,-6.97761194029851,9.17910447761194,"Act"
"Policy Pilot Case",0.11,0.282258064516129,3.99193548387097,-8.34677419354839,12.3387096774194,"Act"
"Policy Pilot Case",0.12,0.302593659942363,5.72046109510087,-9.6685878962536,15.3890489913545,"Act"
"Policy Pilot Case",0.13,0.322237960339943,7.39022662889519,-10.9454674220963,18.3356940509915,"Act"
"Policy Pilot Case",0.14,0.341225626740947,9.0041782729805,-12.1796657381616,21.1838440111421,"Act"
"Policy Pilot Case",0.15,0.35958904109589,10.5650684931507,-13.3732876712329,23.9383561643836,"Act"
"Policy Pilot Case",0.16,0.377358490566038,12.0754716981132,-14.5283018867925,26.6037735849057,"Act"
"Policy Pilot Case",0.17,0.394562334217507,13.5377984084881,-15.6465517241379,29.184350132626,"Act"
"Policy Pilot Case",0.18,0.411227154046997,14.9543080939948,-16.7297650130548,31.6840731070496,"Act"
"Policy Pilot Case",0.19,0.427377892030848,16.3271208226221,-17.7795629820051,34.1066838046272,"Act"
"Policy Pilot Case",0.2,0.443037974683544,17.6582278481013,-18.7974683544304,36.4556962025316,"Act"
"Policy Pilot Case",0.21,0.458229426433915,18.9495012468828,-19.7849127182045,38.7344139650873,"Act"
"Policy Pilot Case",0.22,0.472972972972973,20.2027027027027,-20.7432432432432,40.9459459459459,"Act"
"Policy Pilot Case",0.23,0.48728813559322,21.4194915254237,-21.6737288135593,43.093220338983,"Act"
"Policy Pilot Case",0.24,0.501193317422434,22.6014319809069,-22.5775656324582,45.1789976133651,"Act"
"Policy Pilot Case",0.25,0.514705882352941,23.75,-23.4558823529412,47.2058823529412,"Act"
"Policy Pilot Case",0.26,0.52784222737819,24.8665893271462,-24.3097447795824,49.1763341067285,"Act"
"Policy Pilot Case",0.27,0.540617848970252,25.9525171624714,-25.1401601830664,51.0926773455377,"Act"
"Policy Pilot Case",0.28,0.553047404063205,27.0090293453725,-25.9480812641083,52.9571106094808,"Act"
"Policy Pilot Case",0.29,0.565144766146993,28.0373051224944,-26.7344097995546,54.771714922049,"Act"
"Policy Pilot Case",0.3,0.576923076923077,29.0384615384615,-27.5,56.5384615384615,"Act"
"Policy Pilot Case",0.31,0.588394793926247,30.013557483731,-28.2456616052061,58.2592190889371,"Act"
"Policy Pilot Case",0.32,0.599571734475375,30.9635974304069,-28.9721627408994,59.9357601713062,"Act"
"Policy Pilot Case",0.33,0.61046511627907,31.8895348837209,-29.6802325581395,61.5697674418605,"Act"
"Policy Pilot Case",0.34,0.621085594989562,32.7922755741127,-30.3705636743215,63.1628392484342,"Act"
"Policy Pilot Case",0.35,0.631443298969072,33.6726804123711,-31.0438144329897,64.7164948453608,"Act"
"Policy Pilot Case",0.36,0.641547861507128,34.5315682281059,-31.7006109979633,66.2321792260692,"Act"
"Policy Pilot Case",0.37,0.651408450704225,35.3697183098592,-32.3415492957746,67.7112676056338,"Act"
"Policy Pilot Case",0.38,0.6610337972167,36.1878727634195,-32.9671968190855,69.155069582505,"Act"
"Policy Pilot Case",0.39,0.670432220039293,36.9867387033399,-33.578094302554,70.5648330058939,"Act"
"Policy Pilot Case",0.4,0.679611650485437,37.7669902912621,-34.1747572815534,71.9417475728155,"Act"
"Policy Pilot Case",0.41,0.688579654510557,38.5292706333973,-34.7576775431862,73.2869481765835,"Act"
"Policy Pilot Case",0.42,0.697343453510436,39.2741935483871,-35.3273244781784,74.6015180265655,"Act"
"Policy Pilot Case",0.43,0.705909943714822,40.0023452157598,-35.8841463414634,75.8864915572233,"Act"
"Policy Pilot Case",0.44,0.714285714285714,40.7142857142857,-36.4285714285714,77.1428571428571,"Act"
"Policy Pilot Case",0.45,0.722477064220184,41.4105504587156,-36.9610091743119,78.3715596330275,"Act"
"Policy Pilot Case",0.46,0.73049001814882,42.0916515426497,-37.4818511796733,79.573502722323,"Act"
"Policy Pilot Case",0.47,0.738330341113106,42.758078994614,-37.9914721723519,80.7495511669659,"Act"
"Policy Pilot Case",0.48,0.746003552397869,43.4103019538188,-38.4902309058615,81.9005328596803,"Act"
"Policy Pilot Case",0.49,0.753514938488576,44.048769771529,-38.9784710017575,83.0272407732865,"Act"
"Policy Pilot Case",0.5,0.760869565217391,44.6739130434783,-39.4565217391304,84.1304347826087,"Act"
"Policy Pilot Case",0.51,0.768072289156627,45.2861445783133,-39.9246987951807,85.210843373494,"Act"
"Policy Pilot Case",0.52,0.775127768313458,45.885860306644,-40.3833049403748,86.2691652470187,"Act"
"Policy Pilot Case",0.53,0.782040472175379,46.4734401349072,-40.8326306913997,87.3060708263069,"Act"
"Policy Pilot Case",0.54,0.78881469115192,47.0492487479132,-41.2729549248748,88.322203672788,"Act"
"Policy Pilot Case",0.55,0.795454545454546,47.6136363636364,-41.7045454545455,89.3181818181818,"Act"
"Policy Pilot Case",0.56,0.801963993453355,48.1669394435352,-42.1276595744681,90.2945990180033,"Act"
"Policy Pilot Case",0.57,0.808346839546191,48.7094813614263,-42.5425445705024,91.2520259319287,"Act"
"Policy Pilot Case",0.58,0.814606741573034,49.2415730337079,-42.9494382022472,92.191011235955,"Act"
"Policy Pilot Case",0.59,0.820747217806041,49.7635135135135,-43.3485691573927,93.1120826709062,"Act"
"Policy Pilot Case",0.6,0.826771653543307,50.2755905511811,-43.740157480315,94.0157480314961,"Act"
"Policy Pilot Case",0.61,0.832683307332293,50.7780811232449,-44.1244149765991,94.902496099844,"Act"
"Policy Pilot Case",0.62,0.838485316846986,51.2712519319938,-44.5015455950541,95.7727975270479,"Act"
"Policy Pilot Case",0.63,0.844180704441041,51.7553598774885,-44.8717457886677,96.6271056661562,"Act"
"Policy Pilot Case",0.64,0.849772382397572,52.2306525037936,-45.2352048558422,97.4658573596358,"Act"
"Policy Pilot Case",0.65,0.855263157894737,52.6973684210526,-45.5921052631579,98.2894736842105,"Act"
"Policy Pilot Case",0.66,0.860655737704918,53.155737704918,-45.9426229508197,99.0983606557377,"Act"
"Policy Pilot Case",0.67,0.865952732644018,53.6059822747415,-46.2869276218612,99.8929098966027,"Act"
"Policy Pilot Case",0.68,0.871156661786237,54.0483162518302,-46.6251830161054,100.673499267936,"Act"
"Policy Pilot Case",0.69,0.876269956458636,54.482946298984,-46.9575471698113,101.440493468795,"Act"
"Policy Pilot Case",0.7,0.881294964028777,54.910071942446,-47.2841726618705,102.194244604317,"Act"
"Policy Pilot Case",0.71,0.88623395149786,55.3298858773181,-47.6052068473609,102.935092724679,"Act"
"Policy Pilot Case",0.72,0.891089108910891,55.7425742574257,-47.9207920792079,103.663366336634,"Act"
"Policy Pilot Case",0.73,0.89586255259467,56.148316970547,-48.2310659186536,104.379382889201,"Act"
"Policy Pilot Case",0.74,0.900556328233658,56.5472878998609,-48.5361613351878,105.083449235049,"Act"
"Policy Pilot Case",0.75,0.905172413793103,56.9396551724138,-48.8362068965517,105.775862068965,"Act"
"Policy Pilot Case",0.76,0.909712722298222,57.3255813953488,-49.1313269493844,106.456908344733,"Act"
"Policy Pilot Case",0.77,0.914179104477612,57.705223880597,-49.4216417910448,107.126865671642,"Act"
"Policy Pilot Case",0.78,0.9185733512786,58.078734858681,-49.707267833109,107.78600269179,"Act"
"Policy Pilot Case",0.79,0.922897196261682,58.446261682243,-49.9883177570093,108.434579439252,"Act"
"Policy Pilot Case",0.8,0.927152317880795,58.8079470198675,-50.2649006622517,109.072847682119,"Act"
"Policy Pilot Case",0.81,0.931340341655716,59.1639290407359,-50.5371222076216,109.701051248357,"Act"
"Policy Pilot Case",0.82,0.935462842242503,59.5143415906128,-50.8050847457627,110.319426336375,"Act"
"Policy Pilot Case",0.83,0.939521345407503,59.8593143596378,-51.0688874514877,110.928201811125,"Act"
"Policy Pilot Case",0.84,0.943517329910141,60.198973042362,-51.3286264441592,111.527599486521,"Act"
"Policy Pilot Case",0.85,0.947452229299363,60.5334394904459,-51.5843949044586,112.117834394904,"Act"
"Policy Pilot Case",0.86,0.951327433628319,60.8628318584071,-51.8362831858407,112.699115044248,"Act"
"Policy Pilot Case",0.87,0.955144291091593,61.1872647427854,-52.0843789209536,113.271643663739,"Act"
"Policy Pilot Case",0.88,0.958904109589041,61.5068493150685,-52.3287671232877,113.835616438356,"Act"
"Policy Pilot Case",0.89,0.962608158220025,61.8216934487021,-52.5695302843016,114.391223733004,"Act"
"Policy Pilot Case",0.9,0.966257668711656,62.1319018404908,-52.8067484662577,114.938650306748,"Act"
"Cybersecurity Case",0.01,0.0764925373134328,-21.2033582089552,9.73880597014925,-30.9421641791045,"Wait"
