"cycle","domain","aspiration","search_cost_per_option","optimizing_option","optimizing_adjusted_utility","optimizing_net_value","satisficing_option","satisficing_adjusted_utility","satisficing_net_value","satisficing_found","search_length","opportunity_loss","net_value_advantage","review_flag"
14,"Infrastructure",0.725352566908114,0.0257105497270823,1,0.834768462083679,0.526241865358692,1,0.834768462083679,0.809057912356597,TRUE,1,0,0.282816046997905,"acceptable"
15,"Healthcare",0.644178654768039,0.0271235997625627,10,0.903314068447798,0.577830871297047,3,0.798704670835286,0.717333871547598,TRUE,3,0.104609397612512,0.139503000250552,"acceptable"
16,"Infrastructure",0.679046708764508,0.0280655667372048,4,0.663384182914447,0.32659738206799,4,0.663384182914447,0.551121915965628,FALSE,4,0,0.224524533897638,"review"
17,"AI Governance",0.737382977728266,0.0199971196847036,1,0.888437286586652,0.648471850370208,1,0.888437286586652,0.868440166901949,TRUE,1,0,0.21996831653174,"acceptable"
18,"Public Policy",0.772523955020588,0.00897996150190011,6,0.799864460327452,0.69210492230465,6,0.799864460327452,0.745984691316051,TRUE,6,0,0.0538797690114006,"acceptable"
19,"Public Policy",0.770099922956433,0.0160495429090224,3,0.883011798796609,0.69041728388834,3,0.883011798796609,0.834863170069542,TRUE,3,0,0.144445886181202,"acceptable"
20,"AI Governance",0.797727938271128,0.0172526364261284,5,0.796641604638785,0.589609967525243,5,0.796641604638785,0.710378422508142,FALSE,5,0,0.120768454982899,"review"
21,"Infrastructure",0.690283094772603,0.0117351052770391,9,0.745946417633144,0.605125154308674,2,0.737884864448912,0.714414653894833,TRUE,2,0.00806155318423218,0.109289499586159,"acceptable"
22,"Organizational Strategy",0.644997746834997,0.0293841570895165,6,0.834093510821252,0.481483625747054,3,0.703917834093683,0.615765362825134,TRUE,3,0.130175676727569,0.13428173707808,"acceptable"
23,"Public Policy",0.576363519683946,0.0298732818616554,12,0.670461673550749,0.311982291210884,5,0.649330169251777,0.4999637599435,TRUE,5,0.0211315042989715,0.187981468732616,"acceptable"
24,"Public Policy",0.592425161341671,0.0184351950278506,1,0.747800754412372,0.526578414078166,1,0.747800754412372,0.729365559384522,TRUE,1,0,0.202787145306356,"acceptable"
25,"Organizational Strategy",0.759770896993577,0.0110940051102079,7,0.750154110069311,0.617026048746816,7,0.750154110069311,0.672496074297856,FALSE,7,0,0.0554700255510397,"review"
26,"Infrastructure",0.613643111910205,0.0293563904357143,10,0.687180787259121,0.33490410203055,3,0.65561006708803,0.567540895780888,TRUE,3,0.031570720171091,0.232636793750337,"acceptable"
27,"Public Policy",0.819832338718697,0.00534314748132601,3,0.735028966562077,0.670911196786164,3,0.735028966562077,0.718999524118099,FALSE,3,0,0.0480883273319341,"review"
28,"Financial Risk",0.738003474827856,0.006357725081034,10,0.599977911460637,0.523685210488229,10,0.599977911460637,0.536400660650297,FALSE,10,0,0.012715450162068,"review"
29,"Financial Risk",0.565756915577222,0.0187433127895929,6,0.796546053774711,0.571626300299596,1,0.581398190740649,0.562654877951057,TRUE,1,0.215147863034061,-0.00897142234853954,"review"
30,"Healthcare",0.66476070743287,0.00716577786020935,1,0.768813918188457,0.682824583865945,1,0.768813918188457,0.761648140328248,TRUE,1,0,0.0788235564623029,"acceptable"
31,"AI Governance",0.730156267655548,0.0332329812436365,7,0.7470181948971,0.348222419973463,7,0.7470181948971,0.514387326191645,TRUE,7,0,0.166164906218182,"acceptable"
32,"AI Governance",0.748698499484453,0.0275535724591464,12,0.705432612036884,0.374789742527127,12,0.705432612036884,0.374789742527127,FALSE,12,0,0,"review"
33,"AI Governance",0.573698568211403,0.013108625872992,5,0.890974642736837,0.733671132260934,1,0.639714673537025,0.626606047664033,TRUE,1,0.251259969199812,-0.1070650845969,"review"
34,"Infrastructure",0.71327869003173,0.0116059346869588,1,0.73197340685017,0.592702190606665,1,0.73197340685017,0.720367472163212,TRUE,1,0,0.127665281556547,"acceptable"
35,"Infrastructure",0.635693000545725,0.0254184795240872,4,0.830953643175455,0.525931888886409,4,0.830953643175455,0.729279725079106,TRUE,4,0,0.203347836192697,"acceptable"
36,"Organizational Strategy",0.620894851582125,0.015487980179023,7,0.852386102471501,0.666530340323225,2,0.631974851629335,0.600998891271289,TRUE,2,0.220411250842165,-0.0655314490519352,"review"
37,"Healthcare",0.799079027553089,0.022063363736961,2,0.743090495587108,0.478330130743575,2,0.743090495587108,0.698963768113186,FALSE,2,0,0.22063363736961,"review"
38,"Organizational Strategy",0.600940156457946,0.0139122416079044,11,0.671181458473088,0.504234559178235,11,0.671181458473088,0.518146800786139,TRUE,11,0,0.0139122416079045,"review"
39,"Public Policy",0.633349917235319,0.0259630635776557,1,0.831480787473168,0.519924024541299,1,0.831480787473168,0.805517723895512,TRUE,1,0,0.285593699354213,"acceptable"
40,"Financial Risk",0.618723641333636,0.00860318610444665,1,0.588088113023082,0.484849879769722,1,0.588088113023082,0.579484926918636,FALSE,1,0,0.0946350471489131,"review"
41,"Healthcare",0.637833520644344,0.0348936980916187,4,0.769991106651837,0.351266729552413,2,0.679546167210769,0.609758771027531,TRUE,2,0.0904449394410686,0.258492041475119,"acceptable"
42,"Financial Risk",0.601564449239522,0.0349791823141277,4,0.906683378997151,0.486933191227619,3,0.81418263586238,0.709245088919997,TRUE,3,0.0925007431347707,0.222311897692378,"acceptable"
43,"Healthcare",0.792182972056325,0.00819046346936375,11,0.68644774556113,0.588162183928765,11,0.68644774556113,0.596352647398129,FALSE,11,0,0.00819046346936381,"review"
44,"Infrastructure",0.562966688305605,0.0295428615598939,2,0.823634003113875,0.469119664395147,2,0.823634003113875,0.764548279994087,TRUE,2,0,0.295428615598939,"acceptable"
45,"Public Policy",0.704999341268558,0.00989844351541251,6,0.603785068458878,0.485003746273928,6,0.603785068458878,0.544394407366403,FALSE,6,0,0.059390661092475,"review"
46,"Healthcare",0.696839487242978,0.0214929032046348,12,0.833182415249791,0.575267576794174,2,0.756495462811869,0.7135096564026,TRUE,2,0.0766869524379219,0.138242079608426,"acceptable"
47,"Infrastructure",0.65852801674977,0.0279848463344388,3,0.8354720356736,0.499653879660335,1,0.687362369930528,0.659377523596089,TRUE,1,0.148109665743073,0.159723643935754,"acceptable"
48,"Organizational Strategy",0.658660054921638,0.0149481627671048,11,0.760875847091062,0.581497893885804,3,0.671572628466684,0.626728140165369,TRUE,3,0.0893032186243778,0.0452302462795654,"acceptable"
49,"Public Policy",0.557301281245891,0.0176864288956858,9,0.760830370673539,0.548593223925309,1,0.647908982558241,0.630222553662555,TRUE,1,0.112921388115298,0.0816293297372461,"acceptable"
50,"Public Policy",0.819936074577272,0.020055489288643,8,0.880413387572272,0.639747516108556,8,0.880413387572272,0.719969473263128,TRUE,8,0,0.080221957154572,"acceptable"
51,"Healthcare",0.55045984512195,0.0290276366728358,2,0.800767015449371,0.452435375375341,1,0.722546820403139,0.693519183730303,TRUE,1,0.078220195046232,0.241083808354962,"acceptable"
52,"Organizational Strategy",0.757829759677406,0.0247804703307338,11,0.787587952795713,0.490222308826907,7,0.766505286983699,0.593041994668562,TRUE,7,0.0210826658120136,0.102819685841655,"acceptable"
53,"Healthcare",0.613340673209168,0.0279171477002092,8,0.938220526975677,0.603214754573167,6,0.739363262555018,0.571860376353764,TRUE,6,0.198857264420659,-0.0313543782194039,"acceptable"
54,"AI Governance",0.561104929896537,0.0264008261146955,12,0.854225594159216,0.537415680782869,1,0.601532296797436,0.575131470682741,TRUE,1,0.252693297361779,0.0377157898998716,"review"
55,"Financial Risk",0.551591996997595,0.00747589692706242,11,0.873221463039517,0.783510699914768,1,0.766948078813406,0.759472181886344,TRUE,1,0.106273384226111,-0.0240385180284245,"acceptable"
56,"Financial Risk",0.619917851374485,0.0311059384490363,11,0.847902724502677,0.474631463114241,4,0.699807023185096,0.575383269388951,TRUE,4,0.14809570131758,0.10075180627471,"acceptable"
57,"Infrastructure",0.692985720804427,0.0105301173171028,5,0.683935171834407,0.557573764029173,5,0.683935171834407,0.631284585248893,FALSE,5,0,0.07371082121972,"review"
58,"Healthcare",0.816458705526311,0.0106907879794016,11,0.882559717223048,0.754270261470228,8,0.826295426086155,0.740769122250942,TRUE,8,0.0562642911368927,-0.0135011392192861,"acceptable"
59,"AI Governance",0.626257914174348,0.0138249309337698,5,0.836452609977269,0.670553438772031,2,0.772149782605875,0.744499920738335,TRUE,2,0.0643028273713938,0.0739464819663042,"acceptable"
60,"AI Governance",0.650748175813351,0.0197209170879796,10,0.83239023487058,0.595739229814824,2,0.683671853672335,0.644230019496376,TRUE,2,0.148718381198245,0.0484907896815516,"acceptable"
61,"Organizational Strategy",0.732467608782463,0.030089836907573,7,0.912364232719091,0.551286189828214,5,0.778659518696198,0.628210334158333,TRUE,5,0.133704714022893,0.0769241443301186,"acceptable"
62,"Organizational Strategy",0.727607308123261,0.0261119751282968,7,0.706117804994153,0.392774103454592,7,0.706117804994153,0.523333979096076,FALSE,7,0,0.130559875641484,"review"
63,"Public Policy",0.68848942019511,0.0278418387309648,6,0.772133928521903,0.438031863750325,1,0.763714783361147,0.735872944630182,TRUE,1,0.00841914516075659,0.297841080879856,"acceptable"
64,"Infrastructure",0.780485882766079,0.00523926507215947,4,0.846248592946832,0.783377412080918,4,0.846248592946832,0.825291532658194,TRUE,4,0,0.0419141205772757,"acceptable"
65,"Healthcare",0.572174036146607,0.0329261348838918,12,0.741352629417285,0.346239010810583,5,0.615418458520648,0.450787784101189,TRUE,5,0.125934170896637,0.104548773290605,"acceptable"
66,"Organizational Strategy",0.560044673124794,0.0338590759108774,11,0.86587163280406,0.459562721873531,1,0.605143916133478,0.5712848402226,TRUE,1,0.260727716670582,0.111722118349069,"review"
67,"Healthcare",0.798455839485396,0.00971079614479095,9,0.877440382434927,0.760910828697435,9,0.877440382434927,0.790043217131808,TRUE,9,0,0.0291323884343728,"acceptable"
68,"AI Governance",0.64257550338516,0.0258283880888484,11,0.733892467703747,0.423951810637566,2,0.70042929702662,0.648772520848923,TRUE,2,0.0334631706771277,0.224820710211357,"acceptable"
69,"Organizational Strategy",0.686676255366765,0.0219529455737211,5,0.670575469314341,0.407140122429688,5,0.670575469314341,0.560810741445736,FALSE,5,0,0.153670619016048,"review"
70,"AI Governance",0.669424205007963,0.00878380147740245,10,0.734669700442482,0.629264082713653,1,0.682954164814103,0.6741703633367,TRUE,1,0.0517155356283795,0.0449062806230475,"acceptable"
71,"Public Policy",0.680579347114544,0.0207094404147938,11,0.740103986351548,0.491590701374023,7,0.712791045892805,0.567824962989249,TRUE,7,0.0273129404587428,0.0762342616152262,"acceptable"
72,"Financial Risk",0.642473428652156,0.0306281313556246,3,0.797381908876917,0.429844332609421,1,0.685501127454804,0.65487299609918,TRUE,1,0.111880781422112,0.225028663489759,"acceptable"
73,"Public Policy",0.608932460409124,0.024247651451733,7,0.767010714010132,0.476038896589336,1,0.724838795213194,0.700591143761461,TRUE,1,0.0421719187969379,0.224552247172125,"acceptable"
74,"Financial Risk",0.651166915558279,0.0131987985898741,4,0.640594393875233,0.482208810796744,4,0.640594393875233,0.587799199515736,FALSE,4,0,0.105590388718993,"review"
75,"Organizational Strategy",0.707883896445855,0.031595071721822,9,0.816176209209424,0.43703534854756,6,0.770353932800328,0.580783502469396,TRUE,6,0.0458222764090962,0.143748153921836,"acceptable"
76,"Organizational Strategy",0.802367994575761,0.0128153722779825,11,0.841240692340106,0.687456225004315,11,0.841240692340106,0.700271597282298,TRUE,11,0,0.0128153722779826,"review"
77,"Financial Risk",0.646849805663805,0.0200454458338209,1,0.759504335460973,0.518958985455122,1,0.759504335460973,0.739458889627152,TRUE,1,0,0.220499904172029,"acceptable"
78,"Financial Risk",0.601761062536389,0.0187041151197627,11,0.762126928604639,0.537677547167487,4,0.689675341616807,0.614858881137756,TRUE,4,0.0724515869878322,0.0771813339702696,"acceptable"
79,"Public Policy",0.777267836199608,0.0293754699942656,1,0.646762283889489,0.294256643958302,1,0.646762283889489,0.617386813895223,FALSE,1,0,0.323130169936922,"review"
80,"AI Governance",0.66648871876765,0.014977291256655,6,0.604477104559654,0.424749609479793,6,0.604477104559654,0.514613357019723,FALSE,6,0,0.08986374753993,"review"
81,"Public Policy",0.573427812224254,0.0260239481925964,6,0.624190877704318,0.311903499393161,2,0.575663828474229,0.523615932089036,TRUE,2,0.0485270492300891,0.211712432695875,"acceptable"
82,"Healthcare",0.638135568078142,0.0288258645939641,9,0.840731972006943,0.494821596879375,1,0.815759030450135,0.786933165856171,TRUE,1,0.024972941556808,0.292111568976797,"acceptable"
83,"Infrastructure",0.735864814128727,0.00689902886981145,8,0.845251330650757,0.76246298421302,8,0.845251330650757,0.790059099692266,TRUE,8,0,0.0275961154792458,"acceptable"
84,"Infrastructure",0.661530710305087,0.0346952985832468,5,0.747499422055318,0.331155839056357,5,0.747499422055318,0.574022929139085,TRUE,5,0,0.242867090082727,"acceptable"
85,"AI Governance",0.718304793075658,0.0192642366024666,11,0.80029122320877,0.569120383979171,3,0.722012355210552,0.664219645403152,TRUE,3,0.078278867998218,0.095099261423981,"acceptable"
86,"AI Governance",0.795202624946833,0.0289223329373635,8,0.697393718983052,0.35032572373469,8,0.697393718983052,0.466015055484144,FALSE,8,0,0.115689331749454,"review"
87,"Infrastructure",0.812010140651837,0.0156307594384998,3,0.69274496775174,0.505175854489742,3,0.69274496775174,0.64585268943624,FALSE,3,0,0.140676834946498,"review"
88,"Healthcare",0.70285412671743,0.0225897466624156,9,0.899575674722571,0.628498714773585,5,0.762643502836045,0.649694769523967,TRUE,5,0.136932171886526,0.0211960547503826,"acceptable"
89,"Infrastructure",0.578158659879118,0.00896390598034486,6,0.783831829577684,0.676264957813546,4,0.676906030200772,0.641050406279393,TRUE,4,0.106925799376912,-0.0352145515341533,"acceptable"
90,"Public Policy",0.62766500062542,0.00585198431741446,12,0.833736884115012,0.763513072306039,10,0.763198495501845,0.704678652327701,TRUE,10,0.0705383886131667,-0.0588344199783378,"acceptable"
91,"AI Governance",0.626448976304382,0.0250919236219488,3,0.858629339416993,0.557526255953607,3,0.858629339416993,0.783353568551146,TRUE,3,0,0.225827312597539,"acceptable"
92,"AI Governance",0.686272805156186,0.022109782199841,10,0.801176180353616,0.535858793955524,4,0.68722181045381,0.598782681654446,TRUE,4,0.113954369899805,0.0629238876989224,"acceptable"
93,"Public Policy",0.578486409685575,0.0217510137567297,2,0.6618497020218,0.400837536941044,2,0.6618497020218,0.61834767450834,TRUE,2,0,0.217510137567297,"acceptable"
94,"Public Policy",0.635716862126719,0.0212419412564486,5,0.752085189228637,0.497181894151254,2,0.748900631461505,0.706416748948608,TRUE,2,0.00318455776713222,0.209234854797354,"acceptable"
95,"Healthcare",0.633725893935189,0.0287517954967916,12,0.824169767882609,0.47914822192111,7,0.778898724114185,0.577636155636644,TRUE,7,0.0452710437684239,0.0984879337155341,"acceptable"
96,"Healthcare",0.616155427920166,0.00726669220253825,11,0.77979159993428,0.692591293503821,1,0.698317263168959,0.69105057096642,TRUE,1,0.0814743367653211,-0.00154072253740034,"acceptable"
97,"Public Policy",0.556913667048793,0.0340175025281496,4,0.830261468944461,0.422051438606665,1,0.647861662529558,0.613844160001408,TRUE,1,0.182399806414903,0.191792721394743,"acceptable"
98,"Organizational Strategy",0.701512794976588,0.0175345339882188,8,0.770618707213945,0.56020429935532,8,0.770618707213945,0.630342435308195,TRUE,8,0,0.0701381359528751,"acceptable"
99,"Infrastructure",0.722657867621165,0.0060902800085023,10,0.703419602367727,0.630336242265699,10,0.703419602367727,0.642516802282704,FALSE,10,0,0.0121805600170046,"review"
100,"Financial Risk",0.712636207409669,0.0175753545481712,8,0.85304395173242,0.642139697154366,2,0.727867102018884,0.692716392922542,TRUE,2,0.125176849713536,0.0505766957681755,"acceptable"
101,"Healthcare",0.796142443011049,0.032489446180407,8,0.585286926394056,0.195413572229172,8,0.585286926394056,0.3253713569508,FALSE,8,0,0.129957784721628,"review"
102,"Financial Risk",0.580773237391841,0.0130983072682284,1,0.768298979929597,0.611119292710856,1,0.768298979929597,0.755200672661369,TRUE,1,0,0.144081379950512,"acceptable"
103,"AI Governance",0.758029712198768,0.011876850083936,10,0.825224662734738,0.682702461727506,7,0.825024019948289,0.741886069360737,TRUE,7,0.000200642786449823,0.0591836076332303,"acceptable"
104,"Public Policy",0.713708326229826,0.0329399031726643,11,0.705067250990559,0.309788412918587,11,0.705067250990559,0.342728316091251,FALSE,11,0,0.0329399031726644,"review"
105,"Public Policy",0.75431783803273,0.00611785139190033,4,0.738022791436797,0.664608574733993,4,0.738022791436797,0.713551385869196,FALSE,4,0,0.0489428111352027,"review"
106,"Financial Risk",0.601005165094975,0.0155543961306103,1,0.726125383658679,0.539472630091355,1,0.726125383658679,0.710570987528068,TRUE,1,0,0.171098357436713,"acceptable"
107,"Organizational Strategy",0.667375532567967,0.0299331390089355,5,0.771089734226106,0.411892066118879,5,0.771089734226106,0.621424039181428,TRUE,5,0,0.209531973062549,"acceptable"
108,"Organizational Strategy",0.636072467030026,0.0163133912719786,7,0.796295492908712,0.600534797644969,2,0.740513485562462,0.707886703018505,TRUE,2,0.0557820073462502,0.107351905373536,"acceptable"
109,"Healthcare",0.656444141950924,0.0195262484136038,3,0.819979794884153,0.585664813920908,3,0.819979794884153,0.761401049643342,TRUE,3,0,0.175736235722434,"acceptable"
110,"Financial Risk",0.686005646639969,0.0257448406447656,2,0.855404925246083,0.546466837508895,2,0.855404925246083,0.803915243956552,TRUE,2,0,0.257448406447656,"acceptable"
111,"Infrastructure",0.785255429416429,0.00667149459244683,9,0.848503101324419,0.768445166215057,9,0.848503101324419,0.788459649992398,TRUE,9,0,0.0200144837773405,"acceptable"
112,"Financial Risk",0.732257383547258,0.0218965529813431,2,0.758062252367137,0.495303616591019,2,0.758062252367137,0.71426914640445,TRUE,2,0,0.218965529813431,"acceptable"
113,"Financial Risk",0.679417671787087,0.0180255197873339,3,0.797178879557177,0.58087264210917,3,0.797178879557177,0.743102320195176,TRUE,3,0,0.162229678086005,"acceptable"
114,"Infrastructure",0.696983847755473,0.0245354453474283,6,0.838816980056239,0.5443916358871,6,0.838816980056239,0.691604307971669,TRUE,6,0,0.14721267208457,"acceptable"
115,"Financial Risk",0.640414431761019,0.00958047287538648,3,0.816538516487623,0.701572841982985,1,0.731172432917388,0.721591960042001,TRUE,1,0.0853660835702356,0.0200191180590157,"acceptable"
116,"Public Policy",0.762778709712438,0.0227043144474737,4,0.826964847134697,0.554513073765012,4,0.826964847134697,0.736147589344802,TRUE,4,0,0.18163451557979,"acceptable"
117,"Infrastructure",0.611301281736232,0.0246934903645888,1,0.751417582713279,0.455095698338214,1,0.751417582713279,0.726724092348691,TRUE,1,0,0.271628394010477,"acceptable"
118,"AI Governance",0.685246469003614,0.0284192836028524,8,0.849004100970924,0.507972697736695,4,0.715683850101585,0.602006715690176,TRUE,4,0.133320250869339,0.0940340179534803,"acceptable"
119,"Infrastructure",0.774026747990865,0.0213380972342566,9,0.937527259094641,0.681470092283562,8,0.856322598252445,0.685617820378393,TRUE,8,0.0812046608421951,0.0041477280948311,"acceptable"
120,"Organizational Strategy",0.609221307036933,0.0291779253212735,10,0.561469817526284,0.211334713671002,10,0.561469817526284,0.269690564313549,FALSE,10,0,0.0583558506425471,"review"
121,"Organizational Strategy",0.654905553811695,0.00666797292884439,4,0.893009006443394,0.812993331297262,2,0.689340150110243,0.676004204252554,TRUE,2,0.203668856333151,-0.136989127044708,"review"
122,"Organizational Strategy",0.680977644654922,0.0327786932745948,10,0.724039929070852,0.330695609775714,10,0.724039929070852,0.396252996324903,TRUE,10,0,0.0655573865491897,"acceptable"
123,"Infrastructure",0.733882831379306,0.015726476602722,6,0.737467800816521,0.548750081583858,6,0.737467800816521,0.643108941200189,TRUE,6,0,0.0943588596163318,"acceptable"
124,"Public Policy",0.788818115093745,0.0310274847852997,9,0.942479142042961,0.570149324619364,6,0.907645689621568,0.721480780909769,TRUE,6,0.034833452421393,0.151331456290406,"acceptable"
125,"AI Governance",0.736556353138294,0.00661403121892363,4,0.876330408724025,0.796962034096941,4,0.876330408724025,0.84987428384833,TRUE,4,0,0.0529122497513891,"acceptable"
126,"Public Policy",0.814768566270359,0.0284186622034758,3,0.70277113680392,0.36174719036221,3,0.70277113680392,0.617515150193493,FALSE,3,0,0.255767959831282,"review"
127,"Healthcare",0.689493544891011,0.0113286544918083,4,0.857843520643748,0.721899666742049,4,0.857843520643748,0.812528902676515,TRUE,4,0,0.0906292359344661,"acceptable"
128,"Financial Risk",0.753456403671298,0.0212579878862016,5,0.752333891534764,0.497238036900345,5,0.752333891534764,0.646043952103756,FALSE,5,0,0.148805915203411,"review"
129,"Financial Risk",0.656973515336867,0.0336553454003297,2,0.928631445844312,0.524767301040356,2,0.928631445844312,0.861320755043653,TRUE,2,0,0.336553454003297,"acceptable"
130,"Financial Risk",0.552459237251896,0.0264915555925108,12,0.830721307080239,0.512822639970109,1,0.680457811765212,0.653966256172702,TRUE,1,0.150263495315027,0.141143616202593,"acceptable"
131,"Organizational Strategy",0.802843133381102,0.015252329565119,1,0.853097718859916,0.670069764078488,1,0.853097718859916,0.837845389294797,TRUE,1,0,0.167775625216309,"acceptable"
132,"Public Policy",0.710149614957627,0.0171932961349376,4,0.883995425966038,0.677675872346787,3,0.826927777012418,0.775347888607605,TRUE,3,0.0570676489536202,0.0976720162608179,"acceptable"
133,"Organizational Strategy",0.552694602035917,0.033083214731887,8,0.717554844701028,0.320556267918384,1,0.578387516474952,0.545304301743065,TRUE,1,0.139167328226076,0.224748033824681,"acceptable"
134,"Infrastructure",0.557456626158673,0.00797726140823215,8,0.826110357837752,0.730383220938966,1,0.724700555189799,0.716723293781567,TRUE,1,0.101409802647953,-0.0136599271573992,"acceptable"
135,"Financial Risk",0.606795185615774,0.0183198836632073,1,0.798129202233383,0.578290598274896,1,0.798129202233383,0.779809318570176,TRUE,1,0,0.20151872029528,"acceptable"
136,"Infrastructure",0.790575632026885,0.0214278059708886,1,0.687612122490767,0.430478450840104,1,0.687612122490767,0.666184316519879,FALSE,1,0,0.235705865679774,"review"
137,"Healthcare",0.677992559697013,0.0208740614680573,2,0.794199752867456,0.543711015250768,2,0.794199752867456,0.752451629931342,TRUE,2,0,0.208740614680573,"acceptable"
138,"AI Governance",0.770961521142162,0.0247704489482567,11,0.709112771366546,0.411867383987466,11,0.709112771366546,0.436637832935722,FALSE,11,0,0.0247704489482567,"review"
139,"AI Governance",0.806022174803074,0.0225045581045561,8,0.687948017185922,0.417893319931249,8,0.687948017185922,0.507911552349473,FALSE,8,0,0.0900182324182243,"review"
140,"Infrastructure",0.791754767529201,0.00774617152055725,8,0.940229093683884,0.847275035437197,1,0.920992171512917,0.91324599999236,TRUE,1,0.0192369221709668,0.0659709645551629,"acceptable"
141,"Financial Risk",0.729339670797344,0.0100900179683231,6,0.772606478037484,0.651526262417607,6,0.772606478037484,0.712066370227546,TRUE,6,0,0.0605401078099386,"acceptable"
142,"Healthcare",0.779751780808438,0.0196803595242091,6,0.765669480769927,0.529505166479418,6,0.765669480769927,0.647587323624672,FALSE,6,0,0.118082157145254,"review"
143,"AI Governance",0.697461722476874,0.0104497261135839,9,0.821845450755209,0.696448737392202,2,0.773876675848232,0.752977223621064,TRUE,2,0.047968774906977,0.0565284862288619,"acceptable"
144,"Organizational Strategy",0.783034237104002,0.00742588116088882,5,0.93010526032187,0.840994686391205,5,0.93010526032187,0.892975854517426,TRUE,5,0,0.0519811681262218,"acceptable"
145,"Healthcare",0.720664507884067,0.00859429315663874,9,0.78586157806495,0.682730060185285,9,0.78586157806495,0.708512939655201,TRUE,9,0,0.0257828794699162,"acceptable"
146,"AI Governance",0.550197944887914,0.00693630996858701,2,0.745991647310227,0.662755927687183,2,0.745991647310227,0.732119027373053,TRUE,2,0,0.0693630996858701,"acceptable"
147,"Infrastructure",0.583545068502426,0.00743724869098514,9,0.722615634759904,0.633368650468082,2,0.702045049163593,0.687170551781623,TRUE,2,0.020570585596311,0.0538019013135405,"acceptable"
148,"Public Policy",0.56712374431314,0.0143748066085391,2,0.846291247550398,0.673793568247929,1,0.783996092007682,0.769621285399143,TRUE,1,0.0622951555427158,0.095827717151214,"acceptable"
149,"Financial Risk",0.584815730866976,0.00932813804131001,7,0.763284662692946,0.651347006197226,1,0.601937020914236,0.592608882872926,TRUE,1,0.16134764177871,-0.0587381233242998,"acceptable"
150,"AI Governance",0.784289168061223,0.0105191846401431,11,0.732471753115163,0.606241537433446,11,0.732471753115163,0.61676072207359,FALSE,11,0,0.010519184640143,"review"
151,"Public Policy",0.664095701295882,0.016344067780301,1,0.817834747484984,0.621705934121372,1,0.817834747484984,0.801490679704683,TRUE,1,0,0.179784745583311,"acceptable"
152,"Healthcare",0.730357525679283,0.0160994141711853,3,0.710411694869728,0.517218724815504,3,0.710411694869728,0.662113452356172,FALSE,3,0,0.144894727540668,"review"
153,"Organizational Strategy",0.807134385313839,0.0318722759350203,7,0.843760488611348,0.461293177391104,4,0.812567935215774,0.685078831475693,TRUE,4,0.0311925533955738,0.223785654084589,"acceptable"
154,"Healthcare",0.594924264915753,0.0188981600967236,8,0.654057388635731,0.427279467475048,2,0.624555532668306,0.586759212474859,TRUE,2,0.0295018559674243,0.159479744999812,"acceptable"
