"period","aspiration","selected_value","search_length","feedback","aspiration_change"
29,0.789775061288129,0.817317566581203,1,0.835444035757115,0.006227587427589
30,0.772213726032108,0.605826046836616,8,0.64343060082129,-0.017561335256021
31,0.769185398938244,0.755361165256956,1,0.746977666916572,-0.00302832709386402
32,0.768407214483535,0.749886708670273,1,0.762700528482335,-0.000778184454709008
33,0.747745493098763,0.58921767116872,9,0.596226202943771,-0.020661721384772
34,0.740751057403897,0.705674417984311,6,0.689458528974876,-0.00699443569486602
35,0.748774709177841,0.800035656400284,1,0.807614822186761,0.00802365177394393
36,0.757747679870932,0.821723014620827,1,0.823549464953598,0.008972970693091
37,0.758663015879272,0.779533719250499,1,0.765375479940432,0.00091533600834004
38,0.751256492717272,0.71929435489465,4,0.696941989529274,-0.00740652316199997
39,0.753555752563801,0.690504371551562,5,0.770416991438349,0.00229925984652901
40,0.752756914308297,0.783964174326433,3,0.746898767101272,-0.000798838255503975
41,0.758976681194482,0.818778769368948,2,0.8045883050265,0.00621976688618497
42,0.760147411726917,0.84,7,0.768732768964775,0.00117073053243499
43,0.756965958717646,0.766427019053444,8,0.733635303316324,-0.00318145300927097
44,0.767156316379217,0.873058865406299,4,0.84188560589741,0.0101903576615709
45,0.77396341595878,0.861759106999775,2,0.823882146208904,0.00680709957956305
46,0.782731667416182,0.810996869226641,3,0.8470321781038,0.00876825145740201
47,0.793209264617293,0.870727977514521,1,0.870044977425439,0.010477597201111
48,0.79625975718065,0.794928271432778,1,0.818630035978601,0.00305049256335699
49,0.801807064517322,0.812551087236912,1,0.842487318319581,0.00554730733667197
50,0.792124726205153,0.750067728113531,6,0.721120911915915,-0.00968233831216903
51,0.800577469754817,0.828179787347965,3,0.862564255785689,0.00845274354966408
52,0.776909587160877,0.601716399278571,10,0.603345114805312,-0.02366788259394
53,0.780183065357135,0.86004772684728,2,0.804188572129699,0.00327347819625801
54,0.76912879081958,0.707669231134401,5,0.688064110877511,-0.011054274537555
55,0.770121551568637,0.806709953786457,1,0.777401797061717,0.000992760749057076
56,0.741381377204289,0.582876385093089,10,0.530620098532404,-0.0287401743643481
57,0.744775123209178,0.774424234468475,1,0.769662593911702,0.00339374600488906
58,0.747426044624552,0.80084116079885,2,0.766866135003957,0.00265092141537393
59,0.74249103955036,0.7355745559959,1,0.706301002339616,-0.00493500507419198
60,0.755419998880535,0.820148747672765,1,0.850232367301822,0.012928959330175
61,0.756406996693487,0.800377408229086,5,0.763644980655134,0.000986997812951973
62,0.776621646167445,0.94,2,0.924862408976475,0.020214649473958
63,0.781083701765124,0.766891126619541,1,0.813805442814771,0.00446205559767898
64,0.786299573254049,0.810559221905333,2,0.824549297506158,0.00521587148892499
65,0.773619924454226,0.704313506037904,7,0.680635833255526,-0.012679648799823
66,0.759429994650331,0.633139546418008,9,0.655370509421766,-0.014189929803895
67,0.754721882418596,0.760472549003287,2,0.720195726052539,-0.00470811223173506
68,0.759938621394942,0.831191898157806,3,0.798194707221479,0.005216738976346
69,0.757189062940153,0.738647729557118,6,0.737025634271701,-0.00274955845478897
70,0.760143831952142,0.747636626546723,3,0.781812138040063,0.00295476901198899
71,0.75109449676546,0.740914619363373,6,0.684732705396457,-0.00904933518668194
72,0.749034732828142,0.747155678027274,1,0.733929797287809,-0.00205976393731799
73,0.770408191991394,0.92,3,0.927146892521913,0.021373459163252
74,0.772643447508057,0.780167543753923,2,0.789035321296915,0.00223525551666304
75,0.775062098101645,0.726515361610775,3,0.792798869121295,0.00241865059358792
76,0.776117111253467,0.796929543243874,8,0.783853874366828,0.0010550131518221
77,0.782329746735255,0.851989778887387,2,0.827889073601701,0.00621263548178796
78,0.780805073091026,0.752839825045802,6,0.769624133033341,-0.00152467364422904
79,0.777983877364177,0.741151017245714,4,0.757295108700624,-0.00282119572684902
80,0.76181841064099,0.652352873125242,8,0.643271654670954,-0.016165466723187
