trial,scenario,expected_value_strategy,expected_value_payoff,expected_utility_strategy,expected_utility_payoff,subjective_expected_utility_strategy,subjective_expected_utility_payoff,robust_strategy,robust_payoff,satisficing_strategy,satisficing_payoff,noisy_expected_value_strategy,noisy_expected_value_payoff
40,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Defensive,44.0
41,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
42,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
43,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
44,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
45,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
46,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
47,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
48,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
49,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
50,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
51,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
52,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
53,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
54,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
55,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
56,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
57,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
58,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
59,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
60,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
61,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
62,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
63,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
64,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
65,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
66,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
67,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
68,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
69,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
70,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
71,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
72,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
73,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
74,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
75,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
76,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
77,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
78,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
79,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
80,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
81,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
82,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
83,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
84,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
85,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
86,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
87,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
88,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
89,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
90,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
91,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
92,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
93,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
94,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
95,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
96,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Defensive,54.0
97,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
98,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Balanced,42.0
99,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
100,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
101,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
102,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
103,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
104,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
105,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Balanced,42.0
106,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
107,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
108,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
109,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
110,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
111,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
112,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
113,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
114,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
115,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
116,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
117,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
118,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
119,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
120,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Defensive,54.0
121,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
122,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
123,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
124,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
125,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
126,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
127,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
128,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
129,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
130,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
131,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
132,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
133,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
134,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
135,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
136,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
137,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
138,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
139,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
140,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
141,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
142,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
143,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
144,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
145,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Aggressive,128.0
146,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
147,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
148,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
149,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
150,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
151,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
152,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
153,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
154,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
155,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
156,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
157,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
158,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
159,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
160,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
161,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
162,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
163,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
164,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
165,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
166,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
167,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
168,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
169,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
170,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
171,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
172,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
173,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
174,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
175,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
176,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
177,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
178,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
179,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
180,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
181,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Balanced,42.0
182,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
183,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Balanced,68.0
184,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
185,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Defensive,58.0
186,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
187,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
188,Institutional Constraint,Adaptive,72.0,Adaptive,72.0,Adaptive,72.0,Balanced,42.0,Adaptive,72.0,Adaptive,72.0
189,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Balanced,18.0
190,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Defensive,62.0
191,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Aggressive,-90.0
192,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
193,Moderate Shock,Adaptive,70.0,Adaptive,70.0,Adaptive,70.0,Balanced,68.0,Aggressive,50.0,Adaptive,70.0
194,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
195,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
196,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
197,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
198,Severe Disruption,Adaptive,36.0,Adaptive,36.0,Adaptive,36.0,Balanced,18.0,Defensive,44.0,Adaptive,36.0
199,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
200,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Balanced,92.0
201,Stable Growth,Adaptive,88.0,Adaptive,88.0,Adaptive,88.0,Balanced,92.0,Aggressive,128.0,Adaptive,88.0
