time,strategy,strategy_value_index,shock,adaptive_buffer,growth_rate
38,Aggressive Expansion,218.524771,-2.803256,0.286602,-0.716654
39,Aggressive Expansion,232.565468,4.380458,0.244762,6.42522
40,Aggressive Expansion,231.243309,-2.607431,0.238921,-0.56851
1,Balanced Optionality,100.328739,-2.025696,0.954436,0.328739
2,Balanced Optionality,102.142524,-0.822242,1.230084,1.807842
3,Balanced Optionality,103.294867,-1.589662,1.317833,1.128171
4,Balanced Optionality,106.861136,1.164131,0.888383,3.452514
5,Balanced Optionality,109.712524,0.73182,0.536491,2.668311
6,Balanced Optionality,112.853009,0.470314,0.992153,2.862467
7,Balanced Optionality,115.857433,0.766341,0.495904,2.662246
8,Balanced Optionality,115.098776,-2.830644,0.775825,-0.654819
9,Balanced Optionality,122.154314,3.435436,1.294549,6.129985
10,Balanced Optionality,125.224966,-0.083738,1.197486,2.513748
11,Balanced Optionality,133.866082,4.460569,1.039905,6.900474
12,Balanced Optionality,137.393275,0.322333,0.912534,2.634867
13,Balanced Optionality,139.475169,-0.422886,0.538166,1.51528
14,Balanced Optionality,148.133637,3.985299,0.822593,6.207892
15,Balanced Optionality,142.146531,-6.652443,1.210751,-4.041693
16,Balanced Optionality,147.921208,1.9907,0.671782,4.062482
17,Balanced Optionality,149.232435,-1.756676,1.243112,0.886436
18,Balanced Optionality,153.111862,-0.006469,1.206056,2.599587
19,Balanced Optionality,154.915581,-1.197854,0.975894,1.17804
20,Balanced Optionality,163.881314,3.812997,0.574499,5.787496
21,Balanced Optionality,168.468295,0.273774,1.125191,2.798965
22,Balanced Optionality,166.49907,-3.47561,0.906711,-1.168899
23,Balanced Optionality,173.717962,2.478555,0.45714,4.335695
24,Balanced Optionality,178.350174,0.008906,1.257607,2.666513
25,Balanced Optionality,188.934442,3.823931,0.710612,5.934543
26,Balanced Optionality,185.612663,-3.649139,0.490974,-1.758165
27,Balanced Optionality,198.240623,4.888019,0.515375,6.803394
28,Balanced Optionality,193.405746,-4.706565,0.867672,-2.438893
29,Balanced Optionality,206.572545,4.293929,1.113934,6.807864
30,Balanced Optionality,214.727335,1.994679,0.552984,3.947664
31,Balanced Optionality,211.674657,-3.494903,0.67325,-1.421653
32,Balanced Optionality,218.352833,0.547184,1.207741,3.154925
33,Balanced Optionality,219.671053,-1.71087,0.914581,0.603711
34,Balanced Optionality,227.094697,0.897097,1.082339,3.379437
35,Balanced Optionality,234.922528,0.731214,1.315731,3.446945
36,Balanced Optionality,246.008476,2.307088,1.011893,4.718981
37,Balanced Optionality,243.101143,-3.128286,0.546484,-1.181802
38,Balanced Optionality,251.171408,1.281981,0.637734,3.319715
39,Balanced Optionality,251.376603,-1.960806,0.642501,0.081695
40,Balanced Optionality,264.466456,3.173476,0.633791,5.207268
1,Defensive Resilience,104.168062,2.293332,0.87473,4.168062
2,Defensive Resilience,108.108942,1.09669,1.686504,3.783194
3,Defensive Resilience,110.621687,0.438665,0.885606,2.324271
4,Defensive Resilience,112.690354,-0.532736,1.402773,1.870038
5,Defensive Resilience,115.999281,0.213682,1.722617,2.9363
6,Defensive Resilience,119.73461,0.93488,1.285252,3.220131
7,Defensive Resilience,119.089445,-3.107826,1.568996,-0.538829
8,Defensive Resilience,121.908832,0.538962,0.828492,2.367454
9,Defensive Resilience,126.390505,1.567955,1.108294,3.67625
10,Defensive Resilience,130.503317,1.093621,1.16043,3.254051
11,Defensive Resilience,133.671949,-0.352989,1.780998,2.428009
12,Defensive Resilience,132.400269,-2.669445,0.718101,-0.951344
13,Defensive Resilience,134.11154,-1.341509,1.634007,1.292498
14,Defensive Resilience,137.919891,0.941302,0.898388,2.83969
15,Defensive Resilience,141.818738,0.720634,1.106258,2.826892
16,Defensive Resilience,147.153067,1.827117,0.934254,3.761371
17,Defensive Resilience,150.297312,0.00496,1.131757,2.136717
18,Defensive Resilience,160.385925,4.078819,1.633619,6.712437
19,Defensive Resilience,163.991237,-0.551241,1.799139,2.247898
20,Defensive Resilience,167.964543,-0.180356,1.603233,2.422878
21,Defensive Resilience,179.137769,4.033699,1.618435,6.652134
22,Defensive Resilience,180.935787,-0.795866,0.799573,1.003707
23,Defensive Resilience,182.452047,-1.243238,1.081248,0.83801
24,Defensive Resilience,185.704861,0.11247,0.670362,1.782832
25,Defensive Resilience,182.230682,-3.78905,0.918244,-1.870806
26,Defensive Resilience,193.429353,3.604442,1.540885,6.145327
27,Defensive Resilience,195.239812,-1.812802,1.748781,0.935979
28,Defensive Resilience,201.723865,0.526564,1.794507,3.321071
29,Defensive Resilience,199.896684,-2.69154,0.785756,-0.905783
30,Defensive Resilience,201.840344,-0.983717,0.956049,0.972332
31,Defensive Resilience,211.071097,2.32266,1.250634,4.573294
32,Defensive Resilience,215.366285,-0.462622,1.497571,2.034948
33,Defensive Resilience,224.919548,2.232401,1.20342,4.435821
34,Defensive Resilience,232.705041,0.838193,1.623264,3.461457
35,Defensive Resilience,242.508523,2.516703,0.696134,4.212836
36,Defensive Resilience,256.212138,3.827787,0.82299,5.650777
37,Defensive Resilience,255.315074,-2.23237,0.882245,-0.350126
38,Defensive Resilience,255.892155,-1.517837,0.743864,0.226027
39,Defensive Resilience,264.484385,1.044332,1.313423,3.357755
40,Defensive Resilience,268.40532,-0.860775,1.343258,1.482482
1,Adaptive Sequencing,99.786955,-2.776739,1.063694,-0.213045
2,Adaptive Sequencing,104.313568,1.544182,1.492095,4.536277
3,Adaptive Sequencing,107.805925,1.079708,0.768233,3.347941
4,Adaptive Sequencing,114.36532,3.652831,0.931617,6.084448
5,Adaptive Sequencing,115.956387,-0.95761,0.848824,1.391215
6,Adaptive Sequencing,117.133773,-1.78657,1.301939,1.01537
7,Adaptive Sequencing,123.511148,2.386131,1.558393,5.444523
8,Adaptive Sequencing,128.730353,1.169755,1.55594,4.225695
9,Adaptive Sequencing,133.602343,1.488839,0.795808,3.784648
10,Adaptive Sequencing,138.58412,0.73822,1.49059,3.728809
11,Adaptive Sequencing,146.927106,3.615852,0.904308,6.02016
12,Adaptive Sequencing,145.201161,-3.358751,0.684057,-1.174694
13,Adaptive Sequencing,151.787173,1.87964,1.156145,4.535785
14,Adaptive Sequencing,151.49946,-3.236273,1.546722,-0.189551
15,Adaptive Sequencing,155.588613,-0.170668,1.369788,2.699121
16,Adaptive Sequencing,158.83056,-0.247688,0.831354,2.083666
17,Adaptive Sequencing,157.594052,-2.93817,0.659663,-0.778508
18,Adaptive Sequencing,153.31496,-4.855308,0.640046,-2.715262
19,Adaptive Sequencing,160.499954,2.383185,0.803242,4.686427
20,Adaptive Sequencing,167.797779,1.89791,1.149023,4.546933
21,Adaptive Sequencing,171.744931,-0.327281,1.179607,2.352327
22,Adaptive Sequencing,172.961806,-1.586007,0.794543,0.708536
23,Adaptive Sequencing,168.987454,-5.197768,1.399948,-2.29782
24,Adaptive Sequencing,173.197224,0.375183,0.61599,2.491173
25,Adaptive Sequencing,173.734946,-1.71322,0.523688,0.310468
26,Adaptive Sequencing,180.187971,0.892329,1.321964,3.714293
27,Adaptive Sequencing,183.021534,-1.218321,1.29088,1.572559
28,Adaptive Sequencing,185.170709,-1.419473,1.093748,1.174274
29,Adaptive Sequencing,188.49939,-0.300626,0.598254,1.797628
30,Adaptive Sequencing,194.315101,0.146837,1.438431,3.085268
31,Adaptive Sequencing,204.74914,2.48167,1.387979,5.369649
32,Adaptive Sequencing,206.622049,-1.711076,1.12581,0.914733
33,Adaptive Sequencing,213.005212,0.748706,0.840589,3.089294
34,Adaptive Sequencing,221.440027,1.004969,1.454941,3.95991
35,Adaptive Sequencing,230.99866,1.361697,1.454882,4.316578
36,Adaptive Sequencing,225.620853,-4.566548,0.73848,-2.328068
37,Adaptive Sequencing,232.016355,0.003303,1.331321,2.834624
38,Adaptive Sequencing,241.430038,1.117835,1.4395,4.057336
39,Adaptive Sequencing,239.983312,-2.779967,0.680735,-0.599232
40,Adaptive Sequencing,251.601802,1.854298,1.487076,4.841374
1,Robust Modular Strategy,106.584124,3.606336,1.677788,6.584124
2,Robust Modular Strategy,105.472601,-4.111073,1.768213,-1.04286
3,Robust Modular Strategy,111.371049,3.227201,1.065197,5.592399
4,Robust Modular Strategy,115.422887,0.506699,1.831444,3.638143
5,Robust Modular Strategy,120.346482,1.287942,1.677759,4.265701
6,Robust Modular Strategy,118.540339,-3.782298,0.981511,-1.500786
7,Robust Modular Strategy,122.427234,0.222591,1.756373,3.278964
8,Robust Modular Strategy,125.008747,-0.930389,1.738999,2.10861
9,Robust Modular Strategy,128.964022,0.63481,1.229188,3.163998
10,Robust Modular Strategy,136.649015,3.628377,1.030644,5.959021
11,Robust Modular Strategy,139.893464,0.404003,0.67029,2.374294
12,Robust Modular Strategy,141.023526,-1.379404,0.887206,0.807802
13,Robust Modular Strategy,142.842847,-1.887535,1.877618,1.290083
14,Robust Modular Strategy,151.158175,3.524032,0.99728,5.821312
15,Robust Modular Strategy,154.064224,-1.27335,1.895872,1.922522
16,Robust Modular Strategy,155.693655,-1.568725,1.326356,1.057631
17,Robust Modular Strategy,162.078635,0.918876,1.882113,4.100989
18,Robust Modular Strategy,164.995489,-0.368913,0.868567,1.799653
19,Robust Modular Strategy,170.94599,1.527708,0.778755,3.606463
20,Robust Modular Strategy,174.586831,-0.366422,1.196242,2.12982
21,Robust Modular Strategy,178.921347,-0.23322,1.415947,2.482728
22,Robust Modular Strategy,180.487029,-1.719554,1.294622,0.875067
23,Robust Modular Strategy,181.023201,-1.968975,0.966045,0.29707
24,Robust Modular Strategy,189.31196,1.731593,1.547245,4.578838
25,Robust Modular Strategy,202.919473,4.55866,1.329219,7.187878
26,Robust Modular Strategy,208.82304,0.048445,1.56087,2.909315
27,Robust Modular Strategy,213.533058,-0.150697,1.106203,2.255507
28,Robust Modular Strategy,211.51022,-2.976885,0.729566,-0.947318
29,Robust Modular Strategy,214.519918,-0.918856,1.041812,1.422956
30,Robust Modular Strategy,217.713278,-1.536852,1.72546,1.488608
31,Robust Modular Strategy,222.103667,-0.319292,1.035884,2.016592
32,Robust Modular Strategy,223.886899,-1.65986,1.162743,0.802883
33,Robust Modular Strategy,225.529227,-1.369376,0.802928,0.733552
34,Robust Modular Strategy,233.29164,0.963695,1.178171,3.441866
35,Robust Modular Strategy,247.044137,2.799389,1.795591,5.89498
36,Robust Modular Strategy,251.063286,-1.100964,1.427859,1.626895
37,Robust Modular Strategy,253.944086,-0.79308,0.64052,1.14744
38,Robust Modular Strategy,265.877995,2.392174,1.00725,4.699424
39,Robust Modular Strategy,266.928733,-2.382828,1.478023,0.395196
40,Robust Modular Strategy,276.694333,1.12332,1.235185,3.658505
