"changed_dimension","delta","alternative","revised_score","top_alternative_after_change"
"systems_awareness",0.05,"Resilient Strategy",0.823428571428572,"Evidence-First Pilot"
"systems_awareness",0.05,"Balanced Adaptation",0.76152380952381,"Evidence-First Pilot"
"systems_awareness",0.05,"Fast Expansion",0.42647619047619,"Evidence-First Pilot"
"robustness",-0.05,"Adaptive Learning Strategy",0.869263157894737,"Evidence-First Pilot"
"robustness",-0.05,"Evidence-First Pilot",0.884526315789474,"Evidence-First Pilot"
"robustness",-0.05,"Resilient Strategy",0.815894736842105,"Evidence-First Pilot"
"robustness",-0.05,"Balanced Adaptation",0.763789473684211,"Evidence-First Pilot"
"robustness",-0.05,"Fast Expansion",0.42821052631579,"Evidence-First Pilot"
"robustness",0.05,"Adaptive Learning Strategy",0.868380952380952,"Evidence-First Pilot"
"robustness",0.05,"Evidence-First Pilot",0.874571428571429,"Evidence-First Pilot"
"robustness",0.05,"Resilient Strategy",0.824857142857143,"Evidence-First Pilot"
"robustness",0.05,"Balanced Adaptation",0.76152380952381,"Evidence-First Pilot"
"robustness",0.05,"Fast Expansion",0.423619047619048,"Evidence-First Pilot"
"adaptability",-0.05,"Adaptive Learning Strategy",0.865578947368421,"Evidence-First Pilot"
"adaptability",-0.05,"Evidence-First Pilot",0.878736842105263,"Evidence-First Pilot"
"adaptability",-0.05,"Resilient Strategy",0.821684210526316,"Evidence-First Pilot"
"adaptability",-0.05,"Balanced Adaptation",0.762736842105263,"Evidence-First Pilot"
"adaptability",-0.05,"Fast Expansion",0.425052631578947,"Evidence-First Pilot"
"adaptability",0.05,"Adaptive Learning Strategy",0.871714285714286,"Evidence-First Pilot"
"adaptability",0.05,"Evidence-First Pilot",0.879809523809524,"Evidence-First Pilot"
"adaptability",0.05,"Resilient Strategy",0.819619047619048,"Evidence-First Pilot"
"adaptability",0.05,"Balanced Adaptation",0.762476190476191,"Evidence-First Pilot"
"adaptability",0.05,"Fast Expansion",0.426476190476191,"Evidence-First Pilot"
"evidence_quality",-0.05,"Adaptive Learning Strategy",0.870315789473684,"Evidence-First Pilot"
"evidence_quality",-0.05,"Evidence-First Pilot",0.876105263157895,"Evidence-First Pilot"
"evidence_quality",-0.05,"Resilient Strategy",0.821684210526316,"Evidence-First Pilot"
"evidence_quality",-0.05,"Balanced Adaptation",0.761684210526316,"Evidence-First Pilot"
"evidence_quality",-0.05,"Fast Expansion",0.420842105263158,"Evidence-First Pilot"
"evidence_quality",0.05,"Adaptive Learning Strategy",0.867428571428571,"Evidence-First Pilot"
"evidence_quality",0.05,"Evidence-First Pilot",0.882190476190476,"Evidence-First Pilot"
"evidence_quality",0.05,"Resilient Strategy",0.819619047619048,"Evidence-First Pilot"
"evidence_quality",0.05,"Balanced Adaptation",0.763428571428571,"Evidence-First Pilot"
"evidence_quality",0.05,"Fast Expansion",0.430285714285714,"Evidence-First Pilot"
"decision_record_completeness",-0.05,"Adaptive Learning Strategy",0.86821052631579,"Evidence-First Pilot"
"decision_record_completeness",-0.05,"Evidence-First Pilot",0.875578947368421,"Evidence-First Pilot"
"decision_record_completeness",-0.05,"Resilient Strategy",0.822736842105263,"Evidence-First Pilot"
"decision_record_completeness",-0.05,"Balanced Adaptation",0.763789473684211,"Evidence-First Pilot"
"decision_record_completeness",-0.05,"Fast Expansion",0.432421052631579,"Evidence-First Pilot"
"decision_record_completeness",0.05,"Adaptive Learning Strategy",0.869333333333333,"Evidence-First Pilot"
"decision_record_completeness",0.05,"Evidence-First Pilot",0.882666666666667,"Evidence-First Pilot"
"decision_record_completeness",0.05,"Resilient Strategy",0.818666666666667,"Evidence-First Pilot"
"decision_record_completeness",0.05,"Balanced Adaptation",0.76152380952381,"Evidence-First Pilot"
"decision_record_completeness",0.05,"Fast Expansion",0.419809523809524,"Evidence-First Pilot"
