cycle,strategy,environment,value,growth_rate,belief_quality,trigger_review
12,Resilient Strategy,Stable baseline,115.6361,2.7563,0.9664,False
13,Resilient Strategy,Moderate volatility,118.1408,2.1661,0.9816,False
14,Resilient Strategy,Moderate volatility,120.1353,1.6882,0.9968,False
15,Resilient Strategy,Moderate volatility,123.238,2.5827,1.0,False
16,Resilient Strategy,Stable baseline,124.9274,1.3709,1.0,False
17,Resilient Strategy,Stable baseline,128.3808,2.7643,1.0,False
18,Resilient Strategy,System stress,131.7067,2.5906,1.0,False
19,Resilient Strategy,Moderate volatility,136.9047,3.9467,1.0,False
20,Resilient Strategy,System stress,140.2574,2.4489,1.0,False
21,Resilient Strategy,System stress,139.9356,-0.2294,1.0,False
22,Resilient Strategy,Moderate volatility,145.6964,4.1168,1.0,False
23,Resilient Strategy,Moderate volatility,146.4565,0.5217,1.0,False
24,Resilient Strategy,Moderate volatility,148.5822,1.4514,1.0,False
25,Resilient Strategy,System stress,149.9276,0.9055,1.0,False
26,Resilient Strategy,System stress,149.7498,-0.1186,1.0,False
27,Resilient Strategy,Rapid change,155.313,3.715,1.0,False
28,Resilient Strategy,Stable baseline,158.079,1.7809,1.0,False
29,Resilient Strategy,Stable baseline,160.7383,1.6823,1.0,False
30,Resilient Strategy,Moderate volatility,159.4658,-0.7917,1.0,False
31,Resilient Strategy,Adverse shock,158.9542,-0.3208,1.0,True
32,Resilient Strategy,Stable baseline,162.2337,2.0632,1.0,False
33,Resilient Strategy,Stable baseline,165.8273,2.2151,1.0,False
34,Resilient Strategy,Stable baseline,166.7217,0.5393,1.0,False
35,Resilient Strategy,Moderate volatility,172.8292,3.6633,1.0,False
36,Resilient Strategy,Stable baseline,176.251,1.9799,1.0,False
37,Resilient Strategy,Stable baseline,177.156,0.5135,1.0,False
38,Resilient Strategy,Moderate volatility,175.6268,-0.8632,1.0,False
39,Resilient Strategy,Stable baseline,177.748,1.2078,1.0,False
40,Resilient Strategy,Stable baseline,179.6424,1.0658,1.0,False
41,Resilient Strategy,Stable baseline,181.734,1.1644,1.0,False
42,Resilient Strategy,Stable baseline,182.4683,0.404,1.0,False
43,Resilient Strategy,Rapid change,188.6206,3.3717,1.0,False
44,Resilient Strategy,Adverse shock,186.2598,-1.2516,1.0,True
45,Resilient Strategy,Stable baseline,190.938,2.5117,1.0,False
46,Resilient Strategy,Rapid change,197.6919,3.5372,1.0,False
47,Resilient Strategy,Moderate volatility,197.3054,-0.1955,1.0,False
48,Resilient Strategy,Stable baseline,199.9915,1.3614,1.0,False
49,Resilient Strategy,Stable baseline,201.3275,0.668,1.0,False
50,Resilient Strategy,Adverse shock,207.4376,3.0349,1.0,True
51,Resilient Strategy,Stable baseline,210.8248,1.6329,1.0,False
52,Resilient Strategy,System stress,223.2747,5.9053,1.0,False
53,Resilient Strategy,Stable baseline,224.0544,0.3492,1.0,False
54,Resilient Strategy,Rapid change,232.1845,3.6286,1.0,False
55,Resilient Strategy,Stable baseline,238.5617,2.7466,1.0,False
56,Resilient Strategy,Stable baseline,240.2586,0.7113,1.0,False
57,Resilient Strategy,Moderate volatility,245.7264,2.2758,1.0,False
58,Resilient Strategy,System stress,246.3908,0.2704,1.0,False
59,Resilient Strategy,Moderate volatility,253.2832,2.7973,1.0,False
60,Resilient Strategy,Moderate volatility,259.0898,2.2926,1.0,False
1,Adaptive Learning Strategy,Stable baseline,101.4396,1.4396,0.873,False
2,Adaptive Learning Strategy,Stable baseline,103.2979,1.8319,0.8859,False
3,Adaptive Learning Strategy,Stable baseline,105.8017,2.4239,0.8989,False
4,Adaptive Learning Strategy,Stable baseline,107.7603,1.8512,0.9118,False
5,Adaptive Learning Strategy,Stable baseline,109.7001,1.8001,0.9248,False
6,Adaptive Learning Strategy,Moderate volatility,111.3088,1.4665,0.9425,False
7,Adaptive Learning Strategy,Stable baseline,113.7056,2.1532,0.9554,False
8,Adaptive Learning Strategy,Stable baseline,114.0597,0.3115,0.9684,False
9,Adaptive Learning Strategy,Rapid change,117.0397,2.6126,0.9945,False
10,Adaptive Learning Strategy,Moderate volatility,118.5161,1.2615,1.0,False
11,Adaptive Learning Strategy,System stress,121.8831,2.8409,1.0,False
12,Adaptive Learning Strategy,Stable baseline,123.7875,1.5625,1.0,False
13,Adaptive Learning Strategy,System stress,127.0727,2.6539,1.0,False
14,Adaptive Learning Strategy,Stable baseline,129.2718,1.7306,1.0,False
15,Adaptive Learning Strategy,System stress,130.5274,0.9713,1.0,False
16,Adaptive Learning Strategy,Rapid change,136.5025,4.5776,1.0,False
17,Adaptive Learning Strategy,System stress,135.8786,-0.457,1.0,False
18,Adaptive Learning Strategy,System stress,133.4129,-1.8146,1.0,False
19,Adaptive Learning Strategy,System stress,133.4796,0.05,1.0,False
20,Adaptive Learning Strategy,Stable baseline,134.5703,0.8171,1.0,False
21,Adaptive Learning Strategy,Rapid change,140.4357,4.3586,1.0,False
22,Adaptive Learning Strategy,Moderate volatility,141.9525,1.0801,1.0,False
23,Adaptive Learning Strategy,Stable baseline,142.6323,0.4789,1.0,False
24,Adaptive Learning Strategy,Stable baseline,145.2121,1.8087,1.0,False
25,Adaptive Learning Strategy,Moderate volatility,148.6223,2.3485,1.0,False
26,Adaptive Learning Strategy,Moderate volatility,150.2579,1.1005,1.0,False
27,Adaptive Learning Strategy,Stable baseline,150.7579,0.3328,1.0,False
28,Adaptive Learning Strategy,Moderate volatility,156.5309,3.8294,1.0,False
29,Adaptive Learning Strategy,Stable baseline,160.4543,2.5065,1.0,False
30,Adaptive Learning Strategy,Moderate volatility,160.3647,-0.0559,1.0,False
31,Adaptive Learning Strategy,Stable baseline,163.0056,1.6468,1.0,False
32,Adaptive Learning Strategy,Moderate volatility,167.5399,2.7817,1.0,False
33,Adaptive Learning Strategy,Stable baseline,171.1238,2.1391,1.0,False
34,Adaptive Learning Strategy,Moderate volatility,173.9678,1.662,1.0,False
35,Adaptive Learning Strategy,Moderate volatility,175.7435,1.0207,1.0,False
36,Adaptive Learning Strategy,Moderate volatility,180.6599,2.7975,1.0,False
37,Adaptive Learning Strategy,Stable baseline,185.8588,2.8777,1.0,False
38,Adaptive Learning Strategy,Moderate volatility,188.6305,1.4913,1.0,False
39,Adaptive Learning Strategy,System stress,189.8036,0.6219,1.0,False
40,Adaptive Learning Strategy,Stable baseline,193.2679,1.8252,1.0,False
41,Adaptive Learning Strategy,Adverse shock,196.8466,1.8517,1.0,True
42,Adaptive Learning Strategy,Moderate volatility,199.3838,1.2889,1.0,False
43,Adaptive Learning Strategy,System stress,204.1994,2.4152,1.0,False
44,Adaptive Learning Strategy,Stable baseline,207.5108,1.6216,1.0,False
45,Adaptive Learning Strategy,Moderate volatility,210.3274,1.3573,1.0,False
46,Adaptive Learning Strategy,System stress,213.065,1.3016,1.0,False
47,Adaptive Learning Strategy,System stress,208.5864,-2.102,1.0,False
48,Adaptive Learning Strategy,Moderate volatility,214.4871,2.8289,1.0,False
49,Adaptive Learning Strategy,Rapid change,216.4567,0.9183,1.0,False
50,Adaptive Learning Strategy,Stable baseline,221.4895,2.3251,1.0,False
51,Adaptive Learning Strategy,System stress,226.8363,2.414,1.0,False
52,Adaptive Learning Strategy,Moderate volatility,230.2019,1.4837,1.0,False
53,Adaptive Learning Strategy,Rapid change,235.1672,2.1569,1.0,False
54,Adaptive Learning Strategy,Stable baseline,237.9333,1.1762,1.0,False
55,Adaptive Learning Strategy,Rapid change,247.0805,3.8445,1.0,False
56,Adaptive Learning Strategy,Moderate volatility,260.0665,5.2558,1.0,False
57,Adaptive Learning Strategy,Moderate volatility,263.3155,1.2493,1.0,False
58,Adaptive Learning Strategy,Moderate volatility,261.6764,-0.6225,1.0,False
59,Adaptive Learning Strategy,Rapid change,259.6584,-0.7712,1.0,False
60,Adaptive Learning Strategy,System stress,254.8544,-1.8501,1.0,False
1,Evidence-First Pilot,Rapid change,99.8739,-0.1261,0.9754,False
2,Evidence-First Pilot,Rapid change,103.9279,4.0592,1.0,False
3,Evidence-First Pilot,Stable baseline,104.3474,0.4037,1.0,False
4,Evidence-First Pilot,Adverse shock,104.658,0.2977,1.0,True
5,Evidence-First Pilot,Stable baseline,106.9911,2.2293,1.0,False
6,Evidence-First Pilot,Rapid change,110.3903,3.1771,1.0,False
7,Evidence-First Pilot,Rapid change,116.5077,5.5416,1.0,False
8,Evidence-First Pilot,Moderate volatility,121.3096,4.1215,1.0,False
9,Evidence-First Pilot,Adverse shock,123.5315,1.8316,1.0,True
10,Evidence-First Pilot,Adverse shock,123.7352,0.1649,1.0,True
11,Evidence-First Pilot,Moderate volatility,126.8948,2.5536,1.0,False
12,Evidence-First Pilot,Stable baseline,129.8617,2.3381,1.0,False
13,Evidence-First Pilot,System stress,130.5376,0.5204,1.0,False
14,Evidence-First Pilot,Stable baseline,132.4547,1.4686,1.0,False
15,Evidence-First Pilot,Moderate volatility,134.901,1.8469,1.0,False
16,Evidence-First Pilot,Stable baseline,136.0869,0.8791,1.0,False
17,Evidence-First Pilot,Stable baseline,139.1465,2.2483,1.0,False
18,Evidence-First Pilot,Rapid change,143.6008,3.2012,1.0,False
19,Evidence-First Pilot,Stable baseline,145.1722,1.0943,1.0,False
20,Evidence-First Pilot,Stable baseline,149.4002,2.9124,1.0,False
21,Evidence-First Pilot,Stable baseline,151.7758,1.5901,1.0,False
22,Evidence-First Pilot,System stress,157.7616,3.9439,1.0,False
23,Evidence-First Pilot,System stress,162.2182,2.8248,1.0,False
24,Evidence-First Pilot,Stable baseline,165.2046,1.841,1.0,False
25,Evidence-First Pilot,Moderate volatility,164.9247,-0.1694,1.0,False
26,Evidence-First Pilot,Moderate volatility,170.6479,3.4702,1.0,False
27,Evidence-First Pilot,Moderate volatility,174.9277,2.5079,1.0,False
28,Evidence-First Pilot,Stable baseline,179.2632,2.4785,1.0,False
29,Evidence-First Pilot,Stable baseline,182.661,1.8954,1.0,False
30,Evidence-First Pilot,Stable baseline,184.7734,1.1564,1.0,False
31,Evidence-First Pilot,System stress,188.6052,2.0738,1.0,False
32,Evidence-First Pilot,Moderate volatility,193.8511,2.7814,1.0,False
33,Evidence-First Pilot,Rapid change,204.396,5.4397,1.0,False
34,Evidence-First Pilot,Stable baseline,207.9707,1.7489,1.0,False
35,Evidence-First Pilot,System stress,209.8002,0.8797,1.0,False
36,Evidence-First Pilot,Moderate volatility,214.212,2.1029,1.0,False
37,Evidence-First Pilot,System stress,219.8521,2.6329,1.0,False
38,Evidence-First Pilot,System stress,226.0109,2.8014,1.0,False
39,Evidence-First Pilot,System stress,228.5574,1.1267,1.0,False
40,Evidence-First Pilot,System stress,226.7834,-0.7762,1.0,False
41,Evidence-First Pilot,Stable baseline,229.0765,1.0112,1.0,False
42,Evidence-First Pilot,Stable baseline,233.7723,2.0499,1.0,False
43,Evidence-First Pilot,Stable baseline,242.392,3.6872,1.0,False
44,Evidence-First Pilot,Stable baseline,247.9782,2.3046,1.0,False
45,Evidence-First Pilot,Stable baseline,249.9265,0.7857,1.0,False
46,Evidence-First Pilot,Rapid change,248.1066,-0.7282,1.0,False
47,Evidence-First Pilot,Rapid change,257.7689,3.8944,1.0,False
48,Evidence-First Pilot,Moderate volatility,262.9905,2.0257,1.0,False
49,Evidence-First Pilot,Stable baseline,265.5193,0.9616,1.0,False
50,Evidence-First Pilot,Rapid change,270.293,1.7979,1.0,False
51,Evidence-First Pilot,Stable baseline,278.5172,3.0427,1.0,False
52,Evidence-First Pilot,System stress,274.7451,-1.3543,1.0,False
53,Evidence-First Pilot,Stable baseline,285.8944,4.0581,1.0,False
54,Evidence-First Pilot,Rapid change,299.6001,4.794,1.0,False
55,Evidence-First Pilot,Moderate volatility,311.4295,3.9484,1.0,False
56,Evidence-First Pilot,Stable baseline,317.9587,2.0965,1.0,False
57,Evidence-First Pilot,Moderate volatility,333.5453,4.9021,1.0,False
58,Evidence-First Pilot,Rapid change,339.3404,1.7374,1.0,False
59,Evidence-First Pilot,Stable baseline,342.3423,0.8846,1.0,False
60,Evidence-First Pilot,System stress,339.6981,-0.7724,1.0,False
