decision_system,time,ai_support,governance,uncertainty_capability,stakeholder_legitimacy,reproducibility,systems_awareness,ethical_accountability,adaptive_capacity,failure_risk,future_decision_maturity,disruption_event,disruption_severity,review_required
Adaptive Robust Decision System,7,0.682214,0.892735,1.0,0.796453,0.818646,0.977143,0.822885,0.970825,0.0,0.909037,False,0.030679,False
Adaptive Robust Decision System,8,0.691597,0.902181,1.0,0.810516,0.83209,0.9909,0.837735,0.982119,0.0,0.920097,False,0.028316,False
Adaptive Robust Decision System,9,0.702371,0.90167,1.0,0.825997,0.849467,1.0,0.866709,0.997257,0.0,0.932529,False,0.03608,False
Adaptive Robust Decision System,10,0.699035,0.917079,1.0,0.84877,0.856294,1.0,0.876305,1.0,0.0,0.939566,False,0.013658,False
Adaptive Robust Decision System,11,0.717427,0.932608,1.0,0.874696,0.878237,1.0,0.902757,1.0,0.0,0.953394,False,0.029966,False
Adaptive Robust Decision System,12,0.736208,0.958719,0.998965,0.921487,0.915526,1.0,0.921294,1.0,0.0,0.971843,False,0.025013,False
Adaptive Robust Decision System,13,0.741323,0.962053,1.0,0.932421,0.932963,1.0,0.957179,1.0,0.0,0.981497,False,0.02867,False
Adaptive Robust Decision System,14,0.747287,0.9654,1.0,0.966171,0.94075,1.0,0.968387,1.0,0.0,0.989235,False,0.012166,False
Adaptive Robust Decision System,15,0.762819,0.972474,1.0,0.996754,0.933022,1.0,0.975449,1.0,0.0,0.995821,True,0.192189,False
Adaptive Robust Decision System,16,0.759147,0.990272,1.0,1.0,0.949761,0.995952,0.967358,1.0,0.0,0.998651,False,0.008857,False
Adaptive Robust Decision System,17,0.762442,1.0,1.0,1.0,0.971043,1.0,0.993932,1.0,0.0,1.007169,False,0.043212,False
Adaptive Robust Decision System,18,0.780109,1.0,1.0,1.0,0.994919,1.0,0.995414,1.0,0.0,1.012361,True,0.262973,False
Adaptive Robust Decision System,19,0.794838,0.99976,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.015347,False,0.022487,False
Adaptive Robust Decision System,20,0.819149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.018298,False,0.008628,False
Adaptive Robust Decision System,21,0.831617,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.019668,False,0.029894,False
Adaptive Robust Decision System,22,0.826328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.019159,False,0.029137,False
Adaptive Robust Decision System,23,0.841363,0.999284,1.0,1.0,0.998628,1.0,1.0,1.0,0.0,1.020699,False,0.039583,False
Adaptive Robust Decision System,24,0.858526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.023023,False,0.01071,False
Adaptive Robust Decision System,25,0.877166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.02526,False,0.044184,False
Adaptive Robust Decision System,26,0.878791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.025455,False,0.020543,False
Adaptive Robust Decision System,27,0.892967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.027156,False,0.023451,False
Adaptive Robust Decision System,28,0.896833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.02762,False,0.00692,False
Adaptive Robust Decision System,29,0.91088,1.0,0.991084,1.0,1.0,1.0,1.0,1.0,0.0,1.028057,False,0.01364,False
Adaptive Robust Decision System,30,0.923537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.030824,False,0.049726,False
Adaptive Robust Decision System,31,0.94379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.033255,False,0.034804,False
Adaptive Robust Decision System,32,0.93612,1.0,1.0,1.0,0.996208,1.0,1.0,1.0,0.0,1.031879,True,0.143382,False
Adaptive Robust Decision System,33,0.942737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.033128,True,0.193383,False
Adaptive Robust Decision System,34,0.95032,1.0,1.0,1.0,1.0,1.0,0.995454,0.994242,0.0,1.032596,False,0.025366,False
Adaptive Robust Decision System,35,0.956908,0.999294,1.0,1.0,0.99676,1.0,1.0,0.992961,0.0,1.033356,False,0.01724,False
Adaptive Robust Decision System,36,0.983678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.038041,False,0.034769,False
Adaptive Robust Decision System,37,0.952938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.034353,True,0.285342,False
Adaptive Robust Decision System,38,0.951558,1.0,1.0,0.998485,1.0,1.0,1.0,1.0,0.0,1.034005,True,0.160964,False
Adaptive Robust Decision System,39,0.958979,1.0,0.999796,1.0,1.0,1.0,1.0,1.0,0.0,1.035049,False,0.040057,False
Adaptive Robust Decision System,40,0.982451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.037894,False,0.034488,False
Adaptive Robust Decision System,41,0.974319,1.0,1.0,1.0,0.987334,1.0,1.0,1.0,0.0,1.035398,True,0.220253,False
Adaptive Robust Decision System,42,0.991231,1.0,1.0,1.0,0.990849,0.98969,1.0,1.0,0.0,1.036612,False,0.019143,False
Adaptive Robust Decision System,43,0.999456,1.0,1.0,1.0,0.992791,0.993933,1.0,1.0,0.0,1.038342,False,0.032478,False
Adaptive Robust Decision System,44,1.0,1.0,1.0,1.0,1.0,0.999194,1.0,1.0,0.0,1.039903,False,0.045824,False
Adaptive Robust Decision System,45,1.0,1.0,0.993475,1.0,1.0,1.0,1.0,1.0,0.0,1.039087,False,0.015979,False
Adaptive Robust Decision System,46,0.993337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0392,True,0.124216,False
Adaptive Robust Decision System,47,1.0,1.0,0.996279,1.0,1.0,1.0,1.0,1.0,0.0,1.039479,True,0.148044,False
Adaptive Robust Decision System,48,1.0,1.0,0.99704,1.0,1.0,1.0,0.993425,1.0,0.0,1.038665,False,0.043898,False
Integrated Future Decision Science,1,0.859489,0.931625,0.880683,0.876763,0.91897,0.893262,0.900408,0.898234,0.104856,0.916671,True,0.116225,False
Integrated Future Decision Science,2,0.86642,0.940513,0.898538,0.882285,0.941869,0.906882,0.90611,0.90183,0.0,0.942273,False,0.026674,False
Integrated Future Decision Science,3,0.878728,0.957276,0.906527,0.916476,0.946024,0.910945,0.905591,0.906554,0.0,0.952893,False,0.041262,False
Integrated Future Decision Science,4,0.887561,0.951759,0.926714,0.92942,0.958291,0.917718,0.925649,0.928045,0.0,0.965662,False,0.047833,False
Integrated Future Decision Science,5,0.889078,0.985769,0.942436,0.967078,0.95123,0.940325,0.941599,0.937452,0.0,0.982741,False,0.030333,False
Integrated Future Decision Science,6,0.910332,1.0,0.966512,0.999889,0.955762,0.968052,0.959448,0.981917,0.0,1.007187,False,0.012396,False
Integrated Future Decision Science,7,0.920505,1.0,0.971,1.0,0.971343,0.983796,0.979684,1.0,0.0,1.018173,False,0.015636,False
Integrated Future Decision Science,8,0.927939,0.99202,0.990554,1.0,0.98065,0.989591,0.97493,1.0,0.0,1.021832,False,0.002527,False
Integrated Future Decision Science,9,0.928598,1.0,1.0,1.0,0.993934,1.0,0.990933,0.999948,0.0,1.029427,False,0.038193,False
Integrated Future Decision Science,10,0.973172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.036781,False,0.005941,False
Integrated Future Decision Science,11,0.989383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.038726,False,0.002265,False
Integrated Future Decision Science,12,1.0,1.0,1.0,1.0,0.99843,1.0,1.0,1.0,0.0,1.039812,False,0.014962,False
Integrated Future Decision Science,13,1.0,0.998157,1.0,1.0,1.0,0.985735,1.0,1.0,0.0,1.03803,False,0.029185,False
Integrated Future Decision Science,14,1.0,1.0,1.0,1.0,1.0,0.99697,1.0,1.0,0.0,1.039636,False,0.008526,False
Integrated Future Decision Science,15,1.0,1.0,0.999846,1.0,1.0,1.0,1.0,1.0,0.0,1.039978,True,0.149012,False
Integrated Future Decision Science,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.033111,False
Integrated Future Decision Science,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.034666,False
Integrated Future Decision Science,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.01744,False
Integrated Future Decision Science,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.040231,False
Integrated Future Decision Science,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.006864,False
Integrated Future Decision Science,21,1.0,1.0,0.992592,1.0,1.0,0.99354,1.0,1.0,0.0,1.038188,False,0.005027,False
Integrated Future Decision Science,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992639,0.0,1.038969,False,0.032295,False
Integrated Future Decision Science,23,1.0,0.99703,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039584,False,0.008789,False
Integrated Future Decision Science,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,True,0.296259,False
Integrated Future Decision Science,25,0.998863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039864,True,0.115749,False
Integrated Future Decision Science,26,0.987648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.038518,False,0.025764,False
Integrated Future Decision Science,27,0.990112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.038813,False,0.047702,False
Integrated Future Decision Science,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.035178,False
Integrated Future Decision Science,29,0.995757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039491,False,0.030287,False
Integrated Future Decision Science,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.035188,False
Integrated Future Decision Science,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.005812,False
Integrated Future Decision Science,32,1.0,0.998994,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039859,False,0.036164,False
Integrated Future Decision Science,33,1.0,1.0,1.0,1.0,1.0,1.0,0.984902,1.0,0.0,1.037886,False,0.003451,False
Integrated Future Decision Science,34,1.0,1.0,1.0,1.0,1.0,1.0,0.996038,1.0,0.0,1.039445,False,0.045338,False
Integrated Future Decision Science,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998474,0.0,1.039786,False,0.036393,False
Integrated Future Decision Science,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993929,0.0,1.03915,False,0.046871,False
Integrated Future Decision Science,37,0.992866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039144,True,0.087387,False
Integrated Future Decision Science,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.040789,False
Integrated Future Decision Science,39,1.0,1.0,1.0,1.0,0.998762,1.0,1.0,0.988545,0.0,1.038248,False,0.015025,False
Integrated Future Decision Science,40,1.0,1.0,1.0,1.0,1.0,1.0,0.994784,1.0,0.0,1.03927,False,0.015937,False
Integrated Future Decision Science,41,0.979582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.03755,False,0.045737,False
Integrated Future Decision Science,42,0.984336,1.0,1.0,1.0,0.997466,1.0,1.0,1.0,0.0,1.037816,False,0.009524,False
Integrated Future Decision Science,43,0.978022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.037363,False,0.043474,False
Integrated Future Decision Science,44,1.0,0.996757,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039546,False,0.045756,False
Integrated Future Decision Science,45,0.983107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.037973,True,0.29589,False
Integrated Future Decision Science,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.020879,False
Integrated Future Decision Science,47,0.999851,1.0,1.0,1.0,1.0,1.0,1.0,0.993509,0.0,1.039073,False,0.048325,False
Integrated Future Decision Science,48,1.0,1.0,0.994262,1.0,1.0,0.998189,0.997285,1.0,0.0,1.038599,True,0.087441,False
