trial,scenario,expected_value_strategy,expected_value_payoff,ambiguity_averse_strategy,ambiguity_averse_payoff,minimax_regret_strategy,minimax_regret_payoff,adaptive_strategy,adaptive_payoff,recent_loss_count,monitoring_trigger_active
78,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
79,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
80,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
81,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
82,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
83,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
84,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
85,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
86,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
87,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
88,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
89,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
90,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
91,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
92,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
93,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
94,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
95,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
96,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
97,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
98,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
99,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
100,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
101,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
102,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
103,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
104,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
105,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
106,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
107,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
108,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
109,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
110,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
111,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
112,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
113,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
114,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
115,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
116,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
117,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
118,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
119,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
120,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
121,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
122,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
123,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
124,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
125,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
126,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
127,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
128,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
129,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
130,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
131,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
132,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
133,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
134,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
135,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
136,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
137,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
138,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
139,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
140,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
141,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
142,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
143,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
144,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
145,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Preserve Option,31.7832,0,False
146,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
147,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
148,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
149,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
150,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
151,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
152,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
153,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
154,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
155,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
156,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
157,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
158,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
159,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
160,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
161,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
162,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
163,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
164,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
165,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
166,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
167,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
168,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
169,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
170,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
171,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
172,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
173,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
174,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
175,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
176,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
177,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
178,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
179,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
180,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
181,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
182,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
183,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
184,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
185,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
186,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
187,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
188,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
189,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
190,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
191,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
192,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
193,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
194,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
195,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
196,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
197,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Preserve Option,31.7832,0,False
198,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
199,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
200,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
201,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
202,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
203,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
204,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
205,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
206,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
207,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
208,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
209,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
210,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
211,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
212,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
213,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
214,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
215,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
216,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
217,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
