trial,alternative,decision_quality_score,architecture_score,minimum_component_score,outcome,favorable_outcome,review_trigger,case_classification
118,Fast Commitment,0.3998,0.3639,0.28,88.4659,True,True,weak process with favorable outcome; possible luck
119,Fast Commitment,0.3998,0.3639,0.28,91.4285,True,True,weak process with favorable outcome; possible luck
120,Fast Commitment,0.3998,0.3639,0.28,82.2905,True,True,weak process with favorable outcome; possible luck
121,Fast Commitment,0.3998,0.3639,0.28,85.9143,True,True,weak process with favorable outcome; possible luck
122,Fast Commitment,0.3998,0.3639,0.28,53.6323,False,True,weak process and weak outcome
123,Fast Commitment,0.3998,0.3639,0.28,75.6005,True,True,weak process with favorable outcome; possible luck
124,Fast Commitment,0.3998,0.3639,0.28,78.0765,True,True,weak process with favorable outcome; possible luck
125,Fast Commitment,0.3998,0.3639,0.28,75.0896,True,True,weak process with favorable outcome; possible luck
126,Fast Commitment,0.3998,0.3639,0.28,96.3265,True,True,weak process with favorable outcome; possible luck
127,Fast Commitment,0.3998,0.3639,0.28,85.3726,True,True,weak process with favorable outcome; possible luck
128,Fast Commitment,0.3998,0.3639,0.28,55.7021,False,True,weak process and weak outcome
129,Fast Commitment,0.3998,0.3639,0.28,67.9366,False,True,weak process and weak outcome
130,Fast Commitment,0.3998,0.3639,0.28,119.2488,True,True,weak process with favorable outcome; possible luck
131,Fast Commitment,0.3998,0.3639,0.28,108.6517,True,True,weak process with favorable outcome; possible luck
132,Fast Commitment,0.3998,0.3639,0.28,119.0925,True,True,weak process with favorable outcome; possible luck
133,Fast Commitment,0.3998,0.3639,0.28,70.6294,False,True,weak process and weak outcome
134,Fast Commitment,0.3998,0.3639,0.28,58.3135,False,True,weak process and weak outcome
135,Fast Commitment,0.3998,0.3639,0.28,40.753,False,True,weak process and weak outcome
136,Fast Commitment,0.3998,0.3639,0.28,75.7126,True,True,weak process with favorable outcome; possible luck
137,Fast Commitment,0.3998,0.3639,0.28,60.7647,False,True,weak process and weak outcome
138,Fast Commitment,0.3998,0.3639,0.28,56.3392,False,True,weak process and weak outcome
139,Fast Commitment,0.3998,0.3639,0.28,89.0887,True,True,weak process with favorable outcome; possible luck
140,Fast Commitment,0.3998,0.3639,0.28,116.0729,True,True,weak process with favorable outcome; possible luck
141,Fast Commitment,0.3998,0.3639,0.28,60.2224,False,True,weak process and weak outcome
142,Fast Commitment,0.3998,0.3639,0.28,111.9014,True,True,weak process with favorable outcome; possible luck
143,Fast Commitment,0.3998,0.3639,0.28,84.1269,True,True,weak process with favorable outcome; possible luck
144,Fast Commitment,0.3998,0.3639,0.28,48.7509,False,True,weak process and weak outcome
145,Fast Commitment,0.3998,0.3639,0.28,132.1874,True,True,weak process with favorable outcome; possible luck
146,Fast Commitment,0.3998,0.3639,0.28,66.6251,False,True,weak process and weak outcome
147,Fast Commitment,0.3998,0.3639,0.28,66.3158,False,True,weak process and weak outcome
148,Fast Commitment,0.3998,0.3639,0.28,26.6896,False,True,weak process and weak outcome
149,Fast Commitment,0.3998,0.3639,0.28,105.0026,True,True,weak process with favorable outcome; possible luck
150,Fast Commitment,0.3998,0.3639,0.28,76.2214,True,True,weak process with favorable outcome; possible luck
151,Fast Commitment,0.3998,0.3639,0.28,114.6976,True,True,weak process with favorable outcome; possible luck
152,Fast Commitment,0.3998,0.3639,0.28,75.27,True,True,weak process with favorable outcome; possible luck
153,Fast Commitment,0.3998,0.3639,0.28,84.6527,True,True,weak process with favorable outcome; possible luck
154,Fast Commitment,0.3998,0.3639,0.28,75.6886,True,True,weak process with favorable outcome; possible luck
155,Fast Commitment,0.3998,0.3639,0.28,95.6872,True,True,weak process with favorable outcome; possible luck
156,Fast Commitment,0.3998,0.3639,0.28,69.815,False,True,weak process and weak outcome
157,Fast Commitment,0.3998,0.3639,0.28,91.4114,True,True,weak process with favorable outcome; possible luck
158,Fast Commitment,0.3998,0.3639,0.28,93.2714,True,True,weak process with favorable outcome; possible luck
159,Fast Commitment,0.3998,0.3639,0.28,65.6765,False,True,weak process and weak outcome
160,Fast Commitment,0.3998,0.3639,0.28,90.5582,True,True,weak process with favorable outcome; possible luck
161,Fast Commitment,0.3998,0.3639,0.28,94.772,True,True,weak process with favorable outcome; possible luck
162,Fast Commitment,0.3998,0.3639,0.28,142.3348,True,True,weak process with favorable outcome; possible luck
163,Fast Commitment,0.3998,0.3639,0.28,73.4735,False,True,weak process and weak outcome
164,Fast Commitment,0.3998,0.3639,0.28,71.9816,False,True,weak process and weak outcome
165,Fast Commitment,0.3998,0.3639,0.28,89.6201,True,True,weak process with favorable outcome; possible luck
166,Fast Commitment,0.3998,0.3639,0.28,107.3872,True,True,weak process with favorable outcome; possible luck
167,Fast Commitment,0.3998,0.3639,0.28,77.4491,True,True,weak process with favorable outcome; possible luck
168,Fast Commitment,0.3998,0.3639,0.28,66.7944,False,True,weak process and weak outcome
169,Fast Commitment,0.3998,0.3639,0.28,112.1558,True,True,weak process with favorable outcome; possible luck
170,Fast Commitment,0.3998,0.3639,0.28,109.1328,True,True,weak process with favorable outcome; possible luck
171,Fast Commitment,0.3998,0.3639,0.28,97.1327,True,True,weak process with favorable outcome; possible luck
172,Fast Commitment,0.3998,0.3639,0.28,79.5646,True,True,weak process with favorable outcome; possible luck
173,Fast Commitment,0.3998,0.3639,0.28,77.3834,True,True,weak process with favorable outcome; possible luck
174,Fast Commitment,0.3998,0.3639,0.28,96.9784,True,True,weak process with favorable outcome; possible luck
175,Fast Commitment,0.3998,0.3639,0.28,61.8383,False,True,weak process and weak outcome
176,Fast Commitment,0.3998,0.3639,0.28,63.2524,False,True,weak process and weak outcome
177,Fast Commitment,0.3998,0.3639,0.28,89.2062,True,True,weak process with favorable outcome; possible luck
178,Fast Commitment,0.3998,0.3639,0.28,107.0479,True,True,weak process with favorable outcome; possible luck
179,Fast Commitment,0.3998,0.3639,0.28,54.9642,False,True,weak process and weak outcome
180,Fast Commitment,0.3998,0.3639,0.28,117.1159,True,True,weak process with favorable outcome; possible luck
181,Fast Commitment,0.3998,0.3639,0.28,89.7352,True,True,weak process with favorable outcome; possible luck
182,Fast Commitment,0.3998,0.3639,0.28,71.2793,False,True,weak process and weak outcome
183,Fast Commitment,0.3998,0.3639,0.28,106.3296,True,True,weak process with favorable outcome; possible luck
184,Fast Commitment,0.3998,0.3639,0.28,86.3022,True,True,weak process with favorable outcome; possible luck
185,Fast Commitment,0.3998,0.3639,0.28,117.0447,True,True,weak process with favorable outcome; possible luck
186,Fast Commitment,0.3998,0.3639,0.28,59.5442,False,True,weak process and weak outcome
187,Fast Commitment,0.3998,0.3639,0.28,91.5452,True,True,weak process with favorable outcome; possible luck
188,Fast Commitment,0.3998,0.3639,0.28,88.4565,True,True,weak process with favorable outcome; possible luck
189,Fast Commitment,0.3998,0.3639,0.28,78.6199,True,True,weak process with favorable outcome; possible luck
190,Fast Commitment,0.3998,0.3639,0.28,124.5315,True,True,weak process with favorable outcome; possible luck
191,Fast Commitment,0.3998,0.3639,0.28,74.2989,False,True,weak process and weak outcome
192,Fast Commitment,0.3998,0.3639,0.28,10.0805,False,True,weak process and weak outcome
193,Fast Commitment,0.3998,0.3639,0.28,73.9494,False,True,weak process and weak outcome
194,Fast Commitment,0.3998,0.3639,0.28,79.5947,True,True,weak process with favorable outcome; possible luck
195,Fast Commitment,0.3998,0.3639,0.28,82.4444,True,True,weak process with favorable outcome; possible luck
196,Fast Commitment,0.3998,0.3639,0.28,61.4336,False,True,weak process and weak outcome
197,Fast Commitment,0.3998,0.3639,0.28,80.054,True,True,weak process with favorable outcome; possible luck
198,Fast Commitment,0.3998,0.3639,0.28,61.4752,False,True,weak process and weak outcome
199,Fast Commitment,0.3998,0.3639,0.28,78.1079,True,True,weak process with favorable outcome; possible luck
200,Fast Commitment,0.3998,0.3639,0.28,87.2652,True,True,weak process with favorable outcome; possible luck
201,Fast Commitment,0.3998,0.3639,0.28,137.4896,True,True,weak process with favorable outcome; possible luck
202,Fast Commitment,0.3998,0.3639,0.28,97.7177,True,True,weak process with favorable outcome; possible luck
203,Fast Commitment,0.3998,0.3639,0.28,42.3234,False,True,weak process and weak outcome
204,Fast Commitment,0.3998,0.3639,0.28,100.1297,True,True,weak process with favorable outcome; possible luck
205,Fast Commitment,0.3998,0.3639,0.28,70.1091,False,True,weak process and weak outcome
206,Fast Commitment,0.3998,0.3639,0.28,90.2739,True,True,weak process with favorable outcome; possible luck
207,Fast Commitment,0.3998,0.3639,0.28,75.0758,True,True,weak process with favorable outcome; possible luck
208,Fast Commitment,0.3998,0.3639,0.28,94.2116,True,True,weak process with favorable outcome; possible luck
209,Fast Commitment,0.3998,0.3639,0.28,44.1562,False,True,weak process and weak outcome
210,Fast Commitment,0.3998,0.3639,0.28,85.9943,True,True,weak process with favorable outcome; possible luck
211,Fast Commitment,0.3998,0.3639,0.28,112.2534,True,True,weak process with favorable outcome; possible luck
212,Fast Commitment,0.3998,0.3639,0.28,91.5495,True,True,weak process with favorable outcome; possible luck
213,Fast Commitment,0.3998,0.3639,0.28,96.6384,True,True,weak process with favorable outcome; possible luck
214,Fast Commitment,0.3998,0.3639,0.28,94.4799,True,True,weak process with favorable outcome; possible luck
215,Fast Commitment,0.3998,0.3639,0.28,70.9281,False,True,weak process and weak outcome
216,Fast Commitment,0.3998,0.3639,0.28,83.8085,True,True,weak process with favorable outcome; possible luck
217,Fast Commitment,0.3998,0.3639,0.28,63.331,False,True,weak process and weak outcome
218,Fast Commitment,0.3998,0.3639,0.28,105.276,True,True,weak process with favorable outcome; possible luck
219,Fast Commitment,0.3998,0.3639,0.28,76.4482,True,True,weak process with favorable outcome; possible luck
220,Fast Commitment,0.3998,0.3639,0.28,102.6001,True,True,weak process with favorable outcome; possible luck
221,Fast Commitment,0.3998,0.3639,0.28,61.4405,False,True,weak process and weak outcome
222,Fast Commitment,0.3998,0.3639,0.28,100.0054,True,True,weak process with favorable outcome; possible luck
223,Fast Commitment,0.3998,0.3639,0.28,95.1987,True,True,weak process with favorable outcome; possible luck
224,Fast Commitment,0.3998,0.3639,0.28,61.1748,False,True,weak process and weak outcome
225,Fast Commitment,0.3998,0.3639,0.28,114.1964,True,True,weak process with favorable outcome; possible luck
226,Fast Commitment,0.3998,0.3639,0.28,78.7929,True,True,weak process with favorable outcome; possible luck
227,Fast Commitment,0.3998,0.3639,0.28,98.5376,True,True,weak process with favorable outcome; possible luck
228,Fast Commitment,0.3998,0.3639,0.28,73.3906,False,True,weak process and weak outcome
229,Fast Commitment,0.3998,0.3639,0.28,117.143,True,True,weak process with favorable outcome; possible luck
230,Fast Commitment,0.3998,0.3639,0.28,62.4015,False,True,weak process and weak outcome
231,Fast Commitment,0.3998,0.3639,0.28,79.2112,True,True,weak process with favorable outcome; possible luck
232,Fast Commitment,0.3998,0.3639,0.28,55.9711,False,True,weak process and weak outcome
233,Fast Commitment,0.3998,0.3639,0.28,54.1415,False,True,weak process and weak outcome
234,Fast Commitment,0.3998,0.3639,0.28,102.8143,True,True,weak process with favorable outcome; possible luck
235,Fast Commitment,0.3998,0.3639,0.28,83.2115,True,True,weak process with favorable outcome; possible luck
236,Fast Commitment,0.3998,0.3639,0.28,115.0586,True,True,weak process with favorable outcome; possible luck
237,Fast Commitment,0.3998,0.3639,0.28,93.1651,True,True,weak process with favorable outcome; possible luck
238,Fast Commitment,0.3998,0.3639,0.28,67.453,False,True,weak process and weak outcome
239,Fast Commitment,0.3998,0.3639,0.28,67.3284,False,True,weak process and weak outcome
240,Fast Commitment,0.3998,0.3639,0.28,82.7235,True,True,weak process with favorable outcome; possible luck
241,Fast Commitment,0.3998,0.3639,0.28,138.0165,True,True,weak process with favorable outcome; possible luck
242,Fast Commitment,0.3998,0.3639,0.28,103.1972,True,True,weak process with favorable outcome; possible luck
243,Fast Commitment,0.3998,0.3639,0.28,56.6278,False,True,weak process and weak outcome
244,Fast Commitment,0.3998,0.3639,0.28,81.4473,True,True,weak process with favorable outcome; possible luck
245,Fast Commitment,0.3998,0.3639,0.28,107.5643,True,True,weak process with favorable outcome; possible luck
246,Fast Commitment,0.3998,0.3639,0.28,66.5535,False,True,weak process and weak outcome
247,Fast Commitment,0.3998,0.3639,0.28,89.8972,True,True,weak process with favorable outcome; possible luck
248,Fast Commitment,0.3998,0.3639,0.28,29.1031,False,True,weak process and weak outcome
249,Fast Commitment,0.3998,0.3639,0.28,87.5598,True,True,weak process with favorable outcome; possible luck
250,Fast Commitment,0.3998,0.3639,0.28,51.5628,False,True,weak process and weak outcome
251,Fast Commitment,0.3998,0.3639,0.28,88.9399,True,True,weak process with favorable outcome; possible luck
252,Fast Commitment,0.3998,0.3639,0.28,113.9432,True,True,weak process with favorable outcome; possible luck
253,Fast Commitment,0.3998,0.3639,0.28,58.6058,False,True,weak process and weak outcome
254,Fast Commitment,0.3998,0.3639,0.28,119.5504,True,True,weak process with favorable outcome; possible luck
255,Fast Commitment,0.3998,0.3639,0.28,96.3443,True,True,weak process with favorable outcome; possible luck
256,Fast Commitment,0.3998,0.3639,0.28,53.7098,False,True,weak process and weak outcome
257,Fast Commitment,0.3998,0.3639,0.28,149.4332,True,True,weak process with favorable outcome; possible luck
258,Fast Commitment,0.3998,0.3639,0.28,71.1319,False,True,weak process and weak outcome
259,Fast Commitment,0.3998,0.3639,0.28,54.4153,False,True,weak process and weak outcome
260,Fast Commitment,0.3998,0.3639,0.28,78.8079,True,True,weak process with favorable outcome; possible luck
261,Fast Commitment,0.3998,0.3639,0.28,93.2148,True,True,weak process with favorable outcome; possible luck
262,Fast Commitment,0.3998,0.3639,0.28,40.0903,False,True,weak process and weak outcome
263,Fast Commitment,0.3998,0.3639,0.28,110.8674,True,True,weak process with favorable outcome; possible luck
264,Fast Commitment,0.3998,0.3639,0.28,93.2345,True,True,weak process with favorable outcome; possible luck
265,Fast Commitment,0.3998,0.3639,0.28,109.9594,True,True,weak process with favorable outcome; possible luck
266,Fast Commitment,0.3998,0.3639,0.28,96.9467,True,True,weak process with favorable outcome; possible luck
267,Fast Commitment,0.3998,0.3639,0.28,46.4461,False,True,weak process and weak outcome
268,Fast Commitment,0.3998,0.3639,0.28,93.6981,True,True,weak process with favorable outcome; possible luck
269,Fast Commitment,0.3998,0.3639,0.28,82.7449,True,True,weak process with favorable outcome; possible luck
270,Fast Commitment,0.3998,0.3639,0.28,75.7719,True,True,weak process with favorable outcome; possible luck
271,Fast Commitment,0.3998,0.3639,0.28,63.8919,False,True,weak process and weak outcome
272,Fast Commitment,0.3998,0.3639,0.28,115.584,True,True,weak process with favorable outcome; possible luck
273,Fast Commitment,0.3998,0.3639,0.28,85.4164,True,True,weak process with favorable outcome; possible luck
274,Fast Commitment,0.3998,0.3639,0.28,63.7218,False,True,weak process and weak outcome
275,Fast Commitment,0.3998,0.3639,0.28,41.1769,False,True,weak process and weak outcome
276,Fast Commitment,0.3998,0.3639,0.28,89.6758,True,True,weak process with favorable outcome; possible luck
277,Fast Commitment,0.3998,0.3639,0.28,32.7094,False,True,weak process and weak outcome
278,Fast Commitment,0.3998,0.3639,0.28,62.3958,False,True,weak process and weak outcome
279,Fast Commitment,0.3998,0.3639,0.28,77.4019,True,True,weak process with favorable outcome; possible luck
280,Fast Commitment,0.3998,0.3639,0.28,50.0874,False,True,weak process and weak outcome
281,Fast Commitment,0.3998,0.3639,0.28,89.9845,True,True,weak process with favorable outcome; possible luck
282,Fast Commitment,0.3998,0.3639,0.28,75.5498,True,True,weak process with favorable outcome; possible luck
283,Fast Commitment,0.3998,0.3639,0.28,80.207,True,True,weak process with favorable outcome; possible luck
284,Fast Commitment,0.3998,0.3639,0.28,53.1927,False,True,weak process and weak outcome
285,Fast Commitment,0.3998,0.3639,0.28,89.6669,True,True,weak process with favorable outcome; possible luck
286,Fast Commitment,0.3998,0.3639,0.28,60.2048,False,True,weak process and weak outcome
287,Fast Commitment,0.3998,0.3639,0.28,110.87,True,True,weak process with favorable outcome; possible luck
288,Fast Commitment,0.3998,0.3639,0.28,77.7375,True,True,weak process with favorable outcome; possible luck
289,Fast Commitment,0.3998,0.3639,0.28,130.4303,True,True,weak process with favorable outcome; possible luck
290,Fast Commitment,0.3998,0.3639,0.28,103.2851,True,True,weak process with favorable outcome; possible luck
291,Fast Commitment,0.3998,0.3639,0.28,42.8918,False,True,weak process and weak outcome
292,Fast Commitment,0.3998,0.3639,0.28,111.5011,True,True,weak process with favorable outcome; possible luck
293,Fast Commitment,0.3998,0.3639,0.28,99.9359,True,True,weak process with favorable outcome; possible luck
294,Fast Commitment,0.3998,0.3639,0.28,97.7576,True,True,weak process with favorable outcome; possible luck
295,Fast Commitment,0.3998,0.3639,0.28,114.8638,True,True,weak process with favorable outcome; possible luck
