"changed_component","delta","alternative","revised_decision_quality_score","top_alternative_after_change"
"evidence_quality",-0.05,"Robust Adaptive Pathway",0.873368421052631,"Staged Learning Decision"
"evidence_quality",-0.05,"Consensus Shortcut",0.395789473684211,"Staged Learning Decision"
"evidence_quality",-0.05,"Staged Learning Decision",0.901052631578947,"Staged Learning Decision"
"evidence_quality",0.05,"Fast Commitment",0.403619047619048,"Staged Learning Decision"
"evidence_quality",0.05,"Evidence-Guided Choice",0.796380952380952,"Staged Learning Decision"
"evidence_quality",0.05,"Robust Adaptive Pathway",0.868285714285714,"Staged Learning Decision"
"evidence_quality",0.05,"Consensus Shortcut",0.407619047619048,"Staged Learning Decision"
"evidence_quality",0.05,"Staged Learning Decision",0.904761904761905,"Staged Learning Decision"
"uncertainty_quality",-0.05,"Fast Commitment",0.402421052631579,"Staged Learning Decision"
"uncertainty_quality",-0.05,"Evidence-Guided Choice",0.792842105263158,"Staged Learning Decision"
"uncertainty_quality",-0.05,"Robust Adaptive Pathway",0.868631578947368,"Staged Learning Decision"
"uncertainty_quality",-0.05,"Consensus Shortcut",0.402105263157895,"Staged Learning Decision"
"uncertainty_quality",-0.05,"Staged Learning Decision",0.903157894736842,"Staged Learning Decision"
"uncertainty_quality",0.05,"Fast Commitment",0.397428571428571,"Staged Learning Decision"
"uncertainty_quality",0.05,"Evidence-Guided Choice",0.791619047619048,"Staged Learning Decision"
"uncertainty_quality",0.05,"Robust Adaptive Pathway",0.872571428571429,"Staged Learning Decision"
"uncertainty_quality",0.05,"Consensus Shortcut",0.401904761904762,"Staged Learning Decision"
"uncertainty_quality",0.05,"Staged Learning Decision",0.902857142857143,"Staged Learning Decision"
"tradeoff_clarity",-0.05,"Fast Commitment",0.398736842105263,"Staged Learning Decision"
"tradeoff_clarity",-0.05,"Evidence-Guided Choice",0.79178947368421,"Staged Learning Decision"
"tradeoff_clarity",-0.05,"Robust Adaptive Pathway",0.871263157894737,"Staged Learning Decision"
"tradeoff_clarity",-0.05,"Consensus Shortcut",0.403157894736842,"Staged Learning Decision"
"tradeoff_clarity",-0.05,"Staged Learning Decision",0.90421052631579,"Staged Learning Decision"
"tradeoff_clarity",0.05,"Fast Commitment",0.400761904761905,"Staged Learning Decision"
"tradeoff_clarity",0.05,"Evidence-Guided Choice",0.792571428571428,"Staged Learning Decision"
"tradeoff_clarity",0.05,"Robust Adaptive Pathway",0.870190476190476,"Staged Learning Decision"
"tradeoff_clarity",0.05,"Consensus Shortcut",0.400952380952381,"Staged Learning Decision"
"tradeoff_clarity",0.05,"Staged Learning Decision",0.901904761904762,"Staged Learning Decision"
"behavioral_safeguards",-0.05,"Fast Commitment",0.405052631578947,"Staged Learning Decision"
"behavioral_safeguards",-0.05,"Evidence-Guided Choice",0.794947368421053,"Staged Learning Decision"
"behavioral_safeguards",-0.05,"Robust Adaptive Pathway",0.872315789473684,"Staged Learning Decision"
"behavioral_safeguards",-0.05,"Consensus Shortcut",0.408421052631579,"Staged Learning Decision"
"behavioral_safeguards",-0.05,"Staged Learning Decision",0.905263157894737,"Staged Learning Decision"
"behavioral_safeguards",0.05,"Fast Commitment",0.395047619047619,"Staged Learning Decision"
"behavioral_safeguards",0.05,"Evidence-Guided Choice",0.789714285714286,"Staged Learning Decision"
"behavioral_safeguards",0.05,"Robust Adaptive Pathway",0.869238095238095,"Staged Learning Decision"
"behavioral_safeguards",0.05,"Consensus Shortcut",0.396190476190476,"Staged Learning Decision"
"behavioral_safeguards",0.05,"Staged Learning Decision",0.900952380952381,"Staged Learning Decision"
"systems_awareness",-0.05,"Fast Commitment",0.400842105263158,"Staged Learning Decision"
"systems_awareness",-0.05,"Evidence-Guided Choice",0.796,"Staged Learning Decision"
"systems_awareness",-0.05,"Robust Adaptive Pathway",0.869157894736842,"Staged Learning Decision"
"systems_awareness",-0.05,"Consensus Shortcut",0.40421052631579,"Staged Learning Decision"
"systems_awareness",-0.05,"Staged Learning Decision",0.907368421052632,"Staged Learning Decision"
"systems_awareness",0.05,"Fast Commitment",0.398857142857143,"Staged Learning Decision"
"systems_awareness",0.05,"Evidence-Guided Choice",0.788761904761905,"Staged Learning Decision"
"systems_awareness",0.05,"Robust Adaptive Pathway",0.872095238095238,"Staged Learning Decision"
"systems_awareness",0.05,"Consensus Shortcut",0.4,"Staged Learning Decision"
"systems_awareness",0.05,"Staged Learning Decision",0.899047619047619,"Staged Learning Decision"
"accountability",-0.05,"Fast Commitment",0.402947368421053,"Staged Learning Decision"
"accountability",-0.05,"Evidence-Guided Choice",0.79178947368421,"Staged Learning Decision"
"accountability",-0.05,"Robust Adaptive Pathway",0.871263157894737,"Staged Learning Decision"
"accountability",-0.05,"Consensus Shortcut",0.401052631578947,"Staged Learning Decision"
"accountability",-0.05,"Staged Learning Decision",0.901052631578947,"Staged Learning Decision"
"accountability",0.05,"Fast Commitment",0.396952380952381,"Staged Learning Decision"
"accountability",0.05,"Evidence-Guided Choice",0.792571428571428,"Staged Learning Decision"
"accountability",0.05,"Robust Adaptive Pathway",0.870190476190476,"Staged Learning Decision"
"accountability",0.05,"Consensus Shortcut",0.402857142857143,"Staged Learning Decision"
"accountability",0.05,"Staged Learning Decision",0.904761904761905,"Staged Learning Decision"
"learning_design",-0.05,"Fast Commitment",0.406105263157895,"Staged Learning Decision"
"learning_design",-0.05,"Evidence-Guided Choice",0.793894736842105,"Staged Learning Decision"
"learning_design",-0.05,"Robust Adaptive Pathway",0.869157894736842,"Staged Learning Decision"
"learning_design",-0.05,"Consensus Shortcut",0.405263157894737,"Staged Learning Decision"
"learning_design",-0.05,"Staged Learning Decision",0.9,"Staged Learning Decision"
"learning_design",0.05,"Fast Commitment",0.394095238095238,"Staged Learning Decision"
"learning_design",0.05,"Evidence-Guided Choice",0.790666666666667,"Staged Learning Decision"
"learning_design",0.05,"Robust Adaptive Pathway",0.872095238095238,"Staged Learning Decision"
"learning_design",0.05,"Consensus Shortcut",0.399047619047619,"Staged Learning Decision"
"learning_design",0.05,"Staged Learning Decision",0.905714285714286,"Staged Learning Decision"
