ai_support_system,time,model_confidence,model_uncertainty,human_oversight,automation_bias,contestability,fairness_risk,accountability,monitoring,shift_event,shift_severity,review_required
Automated Decision with Monitoring,8,0.792896,0.406889,0.682546,0.553433,0.590604,0.46751,0.793375,0.7,False,0.041736,False
Automated Decision with Monitoring,9,0.817679,0.390304,0.663093,0.572579,0.575274,0.451767,0.817232,0.7,False,0.043201,False
Automated Decision with Monitoring,10,0.805064,0.392089,0.672417,0.557615,0.583023,0.418808,0.837992,0.7,False,0.049945,False
Automated Decision with Monitoring,11,0.826607,0.387279,0.672962,0.551332,0.595231,0.397642,0.864497,0.7,False,0.016089,False
Automated Decision with Monitoring,12,0.810884,0.348428,0.660716,0.569671,0.605133,0.398026,0.895445,0.7,False,0.019304,False
Automated Decision with Monitoring,13,0.796765,0.348634,0.655327,0.567331,0.61467,0.365097,0.917589,0.7,False,0.043485,False
Automated Decision with Monitoring,14,0.782192,0.329455,0.683631,0.548044,0.604821,0.367089,0.922267,0.7,False,0.04846,False
Automated Decision with Monitoring,15,0.756653,0.310047,0.697014,0.540957,0.635516,0.356149,0.992906,0.7,False,0.015833,False
Automated Decision with Monitoring,16,0.776926,0.270049,0.72,0.550202,0.638274,0.322565,0.992872,0.7,False,0.021699,False
Automated Decision with Monitoring,17,0.78062,0.269613,0.737643,0.573176,0.626574,0.30275,1.0,0.7,True,0.239229,False
Automated Decision with Monitoring,18,0.784125,0.262379,0.779898,0.579448,0.65239,0.280749,1.0,0.7,False,0.030986,False
Automated Decision with Monitoring,19,0.758292,0.285836,0.795341,0.596963,0.652971,0.290149,1.0,0.7,True,0.240927,False
Automated Decision with Monitoring,20,0.764074,0.260934,0.819597,0.578068,0.667549,0.249946,1.0,0.7,False,0.042265,False
Automated Decision with Monitoring,21,0.763052,0.269935,0.82853,0.589211,0.672291,0.202867,1.0,0.7,False,0.014762,False
Automated Decision with Monitoring,22,0.757135,0.264779,0.864054,0.567842,0.677618,0.167052,1.0,0.7,False,0.045208,False
Automated Decision with Monitoring,23,0.733394,0.235764,0.854371,0.532747,0.683889,0.133029,1.0,0.7,False,0.036046,False
Automated Decision with Monitoring,24,0.730049,0.228377,0.888581,0.523173,0.70449,0.065968,1.0,0.7,False,0.004507,False
Automated Decision with Monitoring,25,0.721042,0.222603,0.906928,0.494233,0.726003,0.017235,1.0,0.7,False,0.045674,False
Automated Decision with Monitoring,26,0.75642,0.214483,0.912986,0.474179,0.701286,0.019514,1.0,0.7,False,0.007038,False
Automated Decision with Monitoring,27,0.760321,0.222014,0.904106,0.47012,0.706112,0.0,1.0,0.7,False,0.039534,False
Automated Decision with Monitoring,28,0.791252,0.182634,0.918123,0.432614,0.706885,0.0,1.0,0.7,True,0.126764,False
Automated Decision with Monitoring,29,0.810274,0.165592,0.950829,0.453496,0.714876,0.0,1.0,0.7,False,0.045469,False
Automated Decision with Monitoring,30,0.793102,0.18302,0.939153,0.46588,0.721968,0.0,1.0,0.7,True,0.170729,False
Automated Decision with Monitoring,31,0.800551,0.151666,0.954499,0.453401,0.725498,0.0,1.0,0.7,False,0.004951,False
Automated Decision with Monitoring,32,0.75195,0.144017,0.9515,0.440506,0.747837,0.0,1.0,0.7,True,0.217136,False
Automated Decision with Monitoring,33,0.738665,0.118491,0.960661,0.425675,0.763961,0.0,1.0,0.7,False,0.022736,False
Automated Decision with Monitoring,34,0.734759,0.136407,0.977415,0.43154,0.76604,0.003748,1.0,0.7,True,0.233031,False
Automated Decision with Monitoring,35,0.73313,0.14633,0.984345,0.437813,0.775323,0.0,1.0,0.7,True,0.251681,False
Automated Decision with Monitoring,36,0.741718,0.134861,1.0,0.42132,0.772043,0.0,1.0,0.7,False,0.016189,False
Automated Decision with Monitoring,37,0.759281,0.136181,1.0,0.405561,0.791563,0.0,1.0,0.7,False,0.025662,False
Automated Decision with Monitoring,38,0.750665,0.118645,1.0,0.383021,0.790566,0.0,1.0,0.7,False,0.003041,False
Automated Decision with Monitoring,39,0.750978,0.131132,0.996134,0.362598,0.78155,0.026778,1.0,0.7,True,0.201659,False
Automated Decision with Monitoring,40,0.749153,0.112771,0.981878,0.332419,0.776021,0.0,1.0,0.7,False,0.004959,False
Adaptive Human-AI Governance,1,0.842474,0.311789,0.885165,0.274244,0.853909,0.279589,0.931046,0.9,False,0.011425,False
Adaptive Human-AI Governance,2,0.854388,0.298798,0.890876,0.286656,0.879983,0.254862,0.951849,0.9,False,0.003357,False
Adaptive Human-AI Governance,3,0.869152,0.277324,0.889185,0.298958,0.893022,0.190575,0.982184,0.9,False,0.028079,False
Adaptive Human-AI Governance,4,0.869403,0.217568,0.896066,0.286759,0.89825,0.179408,1.0,0.9,False,0.017582,False
Adaptive Human-AI Governance,5,0.866435,0.174877,0.928656,0.24535,0.919839,0.123238,1.0,0.9,False,0.03813,False
Adaptive Human-AI Governance,6,0.875777,0.155511,0.948605,0.235866,0.921833,0.085563,1.0,0.9,False,0.041473,False
Adaptive Human-AI Governance,7,0.892922,0.13079,0.957699,0.227809,0.935255,0.035655,1.0,0.9,False,0.028316,False
Adaptive Human-AI Governance,8,0.908206,0.120928,0.951105,0.228973,0.951164,0.008828,1.0,0.9,False,0.03608,False
Adaptive Human-AI Governance,9,0.906517,0.092521,0.952383,0.229599,0.965214,0.0,1.0,0.9,False,0.013605,False
Adaptive Human-AI Governance,10,0.917823,0.080234,0.960194,0.20957,0.990503,0.0,1.0,0.9,False,0.024332,False
Adaptive Human-AI Governance,11,0.947457,0.060488,0.99524,0.2073,1.0,0.0,1.0,0.9,False,0.006862,False
Adaptive Human-AI Governance,12,0.990484,0.02586,1.0,0.211196,1.0,0.0,1.0,0.9,False,0.04031,False
Adaptive Human-AI Governance,13,0.990136,0.004165,1.0,0.214208,1.0,0.0,1.0,0.9,False,0.02867,False
Adaptive Human-AI Governance,14,1.0,0.0,1.0,0.197894,1.0,0.0,1.0,0.9,False,0.004406,False
Adaptive Human-AI Governance,15,1.0,0.0,1.0,0.211277,1.0,0.0,1.0,0.9,False,0.016653,False
Adaptive Human-AI Governance,16,1.0,0.0,1.0,0.190234,0.999664,0.0,1.0,0.9,False,0.011813,False
Adaptive Human-AI Governance,17,0.989102,0.0,0.981334,0.203324,0.995094,0.0,1.0,0.9,False,0.024706,False
Adaptive Human-AI Governance,18,1.0,0.0,0.999477,0.19955,1.0,0.0,1.0,0.9,False,0.007548,False
Adaptive Human-AI Governance,19,1.0,0.010304,1.0,0.215248,1.0,0.0,1.0,0.9,False,0.022596,False
Adaptive Human-AI Governance,20,1.0,0.0,1.0,0.225758,0.994607,0.0,1.0,0.9,False,0.039591,False
Adaptive Human-AI Governance,21,1.0,0.014866,0.997877,0.251198,0.998885,0.0,1.0,0.9,True,0.092375,False
Adaptive Human-AI Governance,22,1.0,0.014325,1.0,0.24878,1.0,0.0,1.0,0.9,False,0.026137,False
Adaptive Human-AI Governance,23,1.0,0.003641,1.0,0.238528,1.0,0.0,1.0,0.9,False,0.032365,False
Adaptive Human-AI Governance,24,1.0,0.0,1.0,0.264252,1.0,0.0,1.0,0.9,False,0.029137,False
Adaptive Human-AI Governance,25,1.0,0.0,1.0,0.24305,1.0,0.0,1.0,0.9,False,0.015479,False
Adaptive Human-AI Governance,26,1.0,0.0,1.0,0.248822,1.0,0.0,1.0,0.9,False,0.02117,False
Adaptive Human-AI Governance,27,1.0,0.008058,1.0,0.265268,1.0,0.0,1.0,0.9,False,0.006878,False
Adaptive Human-AI Governance,28,1.0,0.0,1.0,0.279035,0.992952,0.0,1.0,0.9,False,0.006552,False
Adaptive Human-AI Governance,29,1.0,0.0,1.0,0.284563,1.0,0.0,1.0,0.9,False,0.020543,False
Adaptive Human-AI Governance,30,1.0,0.0,0.999995,0.32938,1.0,0.0,1.0,0.9,False,0.023451,False
Adaptive Human-AI Governance,31,1.0,0.011133,1.0,0.322136,1.0,0.0,1.0,0.9,False,0.026373,False
Adaptive Human-AI Governance,32,1.0,0.0,0.997787,0.335757,0.999873,0.0,1.0,0.9,True,0.249178,False
Adaptive Human-AI Governance,33,1.0,0.0,1.0,0.341139,1.0,0.0,1.0,0.9,False,0.047321,False
Adaptive Human-AI Governance,34,1.0,0.031743,1.0,0.323759,0.993934,0.0,1.0,0.9,False,0.001409,False
Adaptive Human-AI Governance,35,1.0,0.030821,1.0,0.32525,1.0,0.0,1.0,0.9,False,0.034804,False
Adaptive Human-AI Governance,36,1.0,0.0,1.0,0.324989,1.0,0.0,1.0,0.9,False,0.026389,False
Adaptive Human-AI Governance,37,1.0,0.0,1.0,0.327251,1.0,0.0,1.0,0.9,False,0.005543,False
Adaptive Human-AI Governance,38,1.0,0.0,1.0,0.334207,1.0,0.0,1.0,0.9,False,0.020828,False
Adaptive Human-AI Governance,39,1.0,0.0,0.985498,0.302393,1.0,0.0,1.0,0.9,False,0.027708,False
Adaptive Human-AI Governance,40,1.0,0.0,0.974255,0.302863,1.0,0.0,1.0,0.9,False,0.031413,False
