public_decision_system,time,public_trust,legitimacy,participation,evidence_transparency,contestability,equity_review,uncertainty_communication,public_harm_signal,controversy_event,controversy_severity,review_required
Deliberative Citizens Panel,5,0.809992,1.0,0.803069,0.783743,0.839299,0.789267,0.817008,0.152293,False,0.034635,False
Deliberative Citizens Panel,6,0.873913,1.0,0.818888,0.810819,0.891504,0.781524,0.826413,0.096725,False,0.001795,False
Deliberative Citizens Panel,7,0.941346,1.0,0.797806,0.809285,0.924838,0.80375,0.832206,0.074123,False,0.022184,False
Deliberative Citizens Panel,8,1.0,1.0,0.809907,0.820745,0.947533,0.804832,0.84336,0.073234,False,0.039626,False
Deliberative Citizens Panel,9,1.0,1.0,0.818847,0.854993,0.97475,0.808414,0.861728,0.04927,False,0.012766,False
Deliberative Citizens Panel,10,1.0,1.0,0.85324,0.863884,0.989148,0.837706,0.861595,0.011876,False,0.021215,False
Deliberative Citizens Panel,11,1.0,1.0,0.857829,0.893174,0.996888,0.871956,0.863055,0.0,False,0.014762,False
Deliberative Citizens Panel,12,1.0,1.0,0.889314,0.896189,0.996803,0.88015,0.860522,0.0,False,0.045208,False
Deliberative Citizens Panel,13,1.0,1.0,0.874576,0.883928,0.999528,0.886817,0.853455,0.0,False,0.041917,False
Deliberative Citizens Panel,14,1.0,1.0,0.888382,0.896032,0.973552,0.893889,0.833365,0.0,False,0.037374,False
Deliberative Citizens Panel,15,1.0,1.0,0.873943,0.912972,0.980507,0.91606,0.851534,0.0,False,0.024092,False
Deliberative Citizens Panel,16,1.0,1.0,0.875789,0.946367,0.974713,0.950521,0.8796,0.0,False,0.048997,False
Deliberative Citizens Panel,17,1.0,1.0,0.853182,0.969802,0.993882,0.973084,0.919601,0.0,False,0.029228,False
Deliberative Citizens Panel,18,1.0,1.0,0.833308,0.992622,1.0,1.0,0.95309,0.0,False,0.003161,False
Deliberative Citizens Panel,19,1.0,1.0,0.849408,1.0,0.997337,0.993122,0.97576,0.0,True,0.257452,False
Deliberative Citizens Panel,20,1.0,1.0,0.857908,0.994764,1.0,1.0,0.977227,0.0,False,0.004951,False
Deliberative Citizens Panel,21,1.0,1.0,0.852245,0.964568,0.999633,1.0,0.988835,0.0,True,0.217136,False
Deliberative Citizens Panel,22,1.0,1.0,0.857793,0.970983,1.0,1.0,1.0,0.0,False,0.032085,False
Deliberative Citizens Panel,23,1.0,1.0,0.856138,0.988531,1.0,1.0,1.0,0.0,False,0.010798,False
Deliberative Citizens Panel,24,1.0,1.0,0.86092,0.995868,1.0,1.0,1.0,0.0,False,0.008725,False
Deliberative Citizens Panel,25,1.0,1.0,0.852288,1.0,1.0,0.999667,1.0,0.0,False,0.026304,False
Deliberative Citizens Panel,26,1.0,1.0,0.857286,0.993331,1.0,1.0,0.997335,0.0,False,0.043349,False
Deliberative Citizens Panel,27,1.0,1.0,0.874159,1.0,1.0,1.0,0.997459,0.0,False,0.003675,False
Deliberative Citizens Panel,28,1.0,1.0,0.877552,1.0,1.0,0.990346,0.995212,0.0,False,0.022686,False
Deliberative Citizens Panel,29,1.0,1.0,0.898064,1.0,1.0,1.0,0.98852,0.0,False,0.011425,False
Deliberative Citizens Panel,30,1.0,1.0,0.900229,1.0,1.0,1.0,1.0,0.0,False,0.003357,False
Deliberative Citizens Panel,31,1.0,1.0,0.924235,0.996507,1.0,0.98899,1.0,0.0,False,0.006112,False
Deliberative Citizens Panel,32,1.0,1.0,0.923395,1.0,1.0,1.0,0.995887,0.0,False,0.010637,False
Deliberative Citizens Panel,33,1.0,1.0,0.912862,1.0,1.0,1.0,1.0,0.0,False,0.048727,False
Deliberative Citizens Panel,34,1.0,1.0,0.921585,1.0,1.0,1.0,1.0,0.0,False,0.015449,False
Deliberative Citizens Panel,35,1.0,1.0,0.935226,0.997817,0.996492,1.0,1.0,0.0,False,0.010757,False
Deliberative Citizens Panel,36,1.0,1.0,0.930475,0.999771,0.997155,1.0,0.999104,0.0,True,0.203568,False
Deliberative Citizens Panel,37,1.0,1.0,0.923343,1.0,1.0,1.0,0.995954,0.0,False,0.014162,False
Deliberative Citizens Panel,38,1.0,1.0,0.943339,1.0,1.0,1.0,1.0,0.0,False,0.006862,False
Deliberative Citizens Panel,39,1.0,1.0,0.962641,1.0,1.0,1.0,1.0,0.0,False,0.04031,False
Deliberative Citizens Panel,40,1.0,1.0,0.971894,1.0,1.0,1.0,0.99226,0.0,False,0.020885,False
Adaptive Public Reasoning System,1,0.818141,0.957901,0.879616,0.875972,0.860771,0.882886,0.863646,0.24907,False,0.012166,False
Adaptive Public Reasoning System,2,0.867227,1.0,0.878999,0.89549,0.865303,0.870793,0.876293,0.209125,True,0.18199,False
Adaptive Public Reasoning System,3,0.928561,1.0,0.880096,0.900779,0.877918,0.869985,0.887306,0.14145,False,0.038011,False
Adaptive Public Reasoning System,4,0.993498,1.0,0.868791,0.891178,0.882584,0.879611,0.911376,0.107195,False,0.031765,False
Adaptive Public Reasoning System,5,1.0,1.0,0.889674,0.894235,0.915533,0.902902,0.944718,0.091851,True,0.181467,False
Adaptive Public Reasoning System,6,1.0,1.0,0.889895,0.881191,0.937926,0.909714,0.96248,0.027191,False,0.023136,False
Adaptive Public Reasoning System,7,1.0,1.0,0.915742,0.914693,0.935333,0.943696,0.963734,0.0,True,0.092375,False
Adaptive Public Reasoning System,8,1.0,1.0,0.935589,0.932328,0.94321,0.974332,0.964647,0.0,False,0.026137,False
Adaptive Public Reasoning System,9,1.0,1.0,0.932895,0.93692,0.949706,0.969882,0.998373,0.0,True,0.098901,False
Adaptive Public Reasoning System,10,1.0,1.0,0.935525,0.967214,0.944562,0.996814,1.0,0.0,True,0.149964,False
Adaptive Public Reasoning System,11,1.0,1.0,0.923749,0.988359,0.949196,0.997516,1.0,0.0,False,0.033506,False
Adaptive Public Reasoning System,12,1.0,1.0,0.927203,1.0,0.962165,1.0,1.0,0.0,False,0.01071,False
Adaptive Public Reasoning System,13,1.0,1.0,0.938454,1.0,0.974305,1.0,1.0,0.0,False,0.044184,False
Adaptive Public Reasoning System,14,1.0,1.0,0.952651,0.997166,0.981553,1.0,1.0,0.0,False,0.008277,False
Adaptive Public Reasoning System,15,1.0,1.0,0.946569,1.0,1.0,1.0,1.0,0.0,False,0.015473,False
Adaptive Public Reasoning System,16,1.0,1.0,0.949626,1.0,1.0,1.0,1.0,0.0,False,0.026373,False
Adaptive Public Reasoning System,17,1.0,1.0,0.946207,1.0,1.0,1.0,1.0,0.0,True,0.249178,False
Adaptive Public Reasoning System,18,1.0,1.0,0.957375,1.0,1.0,1.0,1.0,0.005635,False,0.022556,False
Adaptive Public Reasoning System,19,1.0,1.0,0.945623,0.995566,1.0,1.0,1.0,0.0,False,0.041959,False
Adaptive Public Reasoning System,20,1.0,1.0,0.959559,1.0,1.0,1.0,1.0,0.0,False,0.000263,False
Adaptive Public Reasoning System,21,1.0,1.0,0.980342,0.988745,1.0,1.0,1.0,0.0,False,0.002387,False
Adaptive Public Reasoning System,22,1.0,1.0,0.997373,0.981775,1.0,1.0,1.0,0.0,False,0.007179,False
Adaptive Public Reasoning System,23,1.0,1.0,1.0,1.0,0.999458,1.0,0.985747,0.0,False,0.025366,False
Adaptive Public Reasoning System,24,1.0,1.0,0.989011,1.0,1.0,0.995069,0.995451,0.0,False,0.01724,False
Adaptive Public Reasoning System,25,1.0,1.0,0.99974,0.987146,0.991241,0.991333,1.0,0.0,True,0.235829,False
Adaptive Public Reasoning System,26,1.0,1.0,1.0,1.0,0.959661,1.0,1.0,0.0,True,0.119894,False
Adaptive Public Reasoning System,27,1.0,1.0,0.998941,1.0,0.980629,1.0,1.0,0.0,False,0.039042,False
Adaptive Public Reasoning System,28,1.0,1.0,1.0,0.978507,0.967046,1.0,1.0,0.0,False,0.02481,False
Adaptive Public Reasoning System,29,1.0,1.0,1.0,1.0,0.97221,1.0,0.992654,0.0,False,0.016061,False
Adaptive Public Reasoning System,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,0.017628,False
Adaptive Public Reasoning System,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,0.047639,False
Adaptive Public Reasoning System,32,1.0,1.0,0.977637,0.995542,0.995041,1.0,0.996214,0.0,False,0.030255,False
Adaptive Public Reasoning System,33,1.0,1.0,0.969974,1.0,0.993326,1.0,1.0,0.0,False,0.005672,False
Adaptive Public Reasoning System,34,1.0,1.0,0.97862,1.0,1.0,1.0,1.0,0.0,False,0.045824,False
Adaptive Public Reasoning System,35,1.0,1.0,0.991427,1.0,0.983309,1.0,1.0,0.0,False,0.015979,False
Adaptive Public Reasoning System,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,0.025438,False
Adaptive Public Reasoning System,37,1.0,1.0,1.0,1.0,1.0,1.0,0.987972,0.0,False,0.030597,False
Adaptive Public Reasoning System,38,1.0,1.0,1.0,0.990137,0.995364,1.0,1.0,0.0,False,0.032117,False
Adaptive Public Reasoning System,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,0.045536,False
Adaptive Public Reasoning System,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,0.042297,False
