asset,time,condition,hazard_event,hazard_intensity,maintenance_level,adaptation_capacity,service_reliability,risk_index,review_required
Water Distribution Network,13,68.659132,False,0.062164,4.0,12.96,0.848214,0.491363,False
Water Distribution Network,14,68.480713,False,0.069636,4.0,12.96,0.845844,0.492077,False
Water Distribution Network,15,68.997231,False,0.230816,4.0,12.96,0.82309,0.490011,False
Water Distribution Network,16,68.974242,False,0.012647,4.0,12.96,0.858284,0.490103,False
Water Distribution Network,17,68.282556,False,0.209007,4.0,12.96,0.821977,0.49287,False
Water Distribution Network,18,68.570593,False,0.041578,4.0,12.96,0.850973,0.491718,False
Water Distribution Network,19,68.798377,False,0.053437,4.0,12.96,0.850533,0.490806,False
Water Distribution Network,20,68.679264,False,0.246327,4.0,12.96,0.81851,0.491283,False
Water Distribution Network,21,68.975555,False,0.196018,4.0,12.96,0.828586,0.490098,False
Water Distribution Network,22,68.826789,False,0.248856,4.0,12.96,0.81906,0.490693,False
Water Distribution Network,23,68.696338,False,0.179602,4.0,12.96,0.829431,0.491215,False
Water Distribution Network,24,68.53597,False,0.144795,4.0,12.96,0.834027,0.491856,False
Water Distribution Network,25,68.167481,False,0.186994,4.0,12.96,0.824796,0.49333,False
Water Distribution Network,26,68.004023,False,0.21318,4.0,12.96,0.819491,0.493984,False
Water Distribution Network,27,67.783553,False,0.240195,4.0,12.96,0.813682,0.494866,False
Water Distribution Network,28,67.713332,False,0.168803,4.0,12.96,0.824791,0.495147,False
Water Distribution Network,29,67.706786,False,0.029972,4.0,12.96,0.847239,0.495173,False
Water Distribution Network,30,67.88739,False,0.154845,4.0,12.96,0.828183,0.49445,False
Water Distribution Network,31,68.627536,False,0.145918,4.0,12.96,0.83444,0.49149,False
Water Distribution Network,32,68.739394,False,0.179048,4.0,12.96,0.8298,0.491042,False
Water Distribution Network,33,68.954595,False,0.098946,4.0,12.96,0.844176,0.490182,False
Water Distribution Network,34,69.180479,False,0.187966,4.0,12.96,0.831223,0.489278,False
Water Distribution Network,35,67.788639,True,0.566628,4.0,12.96,0.760832,0.494845,False
Water Distribution Network,36,67.610314,True,0.370523,4.0,12.96,0.791442,0.495559,False
Water Distribution Network,37,67.113552,False,0.233315,4.0,12.96,0.810441,0.497546,False
Water Distribution Network,38,67.691024,False,0.039437,4.0,12.96,0.845603,0.495236,False
Water Distribution Network,39,68.382869,False,0.175885,4.0,12.96,0.827995,0.492469,False
Water Distribution Network,40,69.151537,False,0.001956,4.0,12.96,0.861168,0.489394,False
Water Distribution Network,41,69.639471,False,0.074845,4.0,12.96,0.852532,0.487442,False
Water Distribution Network,42,70.415057,False,0.028857,4.0,12.96,0.865023,0.48434,False
Water Distribution Network,43,70.000219,True,0.642579,4.0,12.96,0.762904,0.485999,False
Water Distribution Network,44,69.741102,False,0.050899,4.0,12.96,0.857071,0.487036,False
Water Distribution Network,45,70.520724,False,0.065996,4.0,12.96,0.859693,0.483917,False
Water Distribution Network,46,70.648536,False,0.023075,4.0,12.96,0.867477,0.483406,False
Water Distribution Network,47,70.260061,False,0.06917,4.0,12.96,0.857485,0.48496,False
Water Distribution Network,48,70.379014,False,0.065489,4.0,12.96,0.858854,0.484484,False
Water Distribution Network,49,70.471404,False,0.13792,4.0,12.96,0.847721,0.484114,False
Water Distribution Network,50,69.705479,True,0.906485,4.75,13.56,0.718235,0.487178,True
Grid Modernization Package,1,72.209273,False,0.136398,4.9,14.24,0.874773,0.501163,False
Grid Modernization Package,2,73.067289,False,0.031861,4.8,14.24,0.897661,0.497731,False
Grid Modernization Package,3,73.155189,False,0.224745,4.7,14.24,0.866291,0.497379,False
Grid Modernization Package,4,74.172924,False,0.052519,4.6,14.24,0.901427,0.493308,False
Grid Modernization Package,5,74.513509,False,0.025698,4.5,14.24,0.908082,0.491946,False
Grid Modernization Package,6,75.402532,False,0.155165,4.4,14.24,0.892421,0.48839,False
Grid Modernization Package,7,75.022238,False,0.23247,4.3,14.24,0.877147,0.489911,False
Grid Modernization Package,8,75.792386,False,0.220354,4.2,14.24,0.88416,0.48683,False
Grid Modernization Package,9,75.569893,True,0.789252,4.1,14.24,0.788504,0.48772,False
Grid Modernization Package,10,75.081719,False,0.216016,4.0,14.24,0.880259,0.489673,False
Grid Modernization Package,11,75.323887,False,0.066701,4.0,14.24,0.90656,0.488704,False
Grid Modernization Package,12,75.557916,False,0.214648,4.0,14.24,0.883581,0.487768,False
Grid Modernization Package,13,75.913329,False,0.204147,4.0,14.24,0.88763,0.486347,False
Grid Modernization Package,14,76.13769,False,0.056899,4.0,14.24,0.913473,0.485449,False
Grid Modernization Package,15,76.344108,True,0.354504,4.0,14.24,0.865531,0.484624,False
Grid Modernization Package,16,76.087291,False,0.069781,4.0,14.24,0.911012,0.485651,False
Grid Modernization Package,17,75.952907,False,0.09992,4.0,14.24,0.905147,0.486188,False
Grid Modernization Package,18,76.318756,False,0.028835,4.0,14.24,0.919297,0.484725,False
Grid Modernization Package,19,76.392158,False,0.044642,4.0,14.24,0.917156,0.484431,False
Grid Modernization Package,20,76.133996,True,0.547651,4.0,14.24,0.83218,0.485464,False
Grid Modernization Package,21,76.677247,False,0.078419,4.0,14.24,0.913416,0.483291,False
Grid Modernization Package,22,77.080232,False,0.144147,4.0,14.24,0.905151,0.481679,False
Grid Modernization Package,23,76.536745,False,0.177196,4.0,14.24,0.896145,0.483853,False
Grid Modernization Package,24,76.666532,False,0.179857,4.0,14.24,0.896548,0.483334,False
Grid Modernization Package,25,76.893668,False,0.167657,4.0,14.24,0.900045,0.482425,False
Grid Modernization Package,26,77.063743,False,0.08255,4.0,14.24,0.915244,0.481745,False
Grid Modernization Package,27,77.209344,False,0.212004,4.0,14.24,0.894753,0.481163,False
Grid Modernization Package,28,77.690555,False,0.102098,4.0,14.24,0.916081,0.479238,False
Grid Modernization Package,29,77.738919,False,0.073914,4.0,14.24,0.921063,0.479044,False
Grid Modernization Package,30,77.664124,False,0.169329,4.0,14.24,0.904776,0.479344,False
Grid Modernization Package,31,77.951939,False,0.153879,4.0,14.24,0.909205,0.478192,False
Grid Modernization Package,32,77.424567,True,0.429531,4.0,14.24,0.860129,0.480302,False
Grid Modernization Package,33,77.793403,False,0.144996,4.0,14.24,0.909646,0.478826,False
Grid Modernization Package,34,78.362376,False,0.053425,4.0,14.24,0.928508,0.47655,False
Grid Modernization Package,35,78.391642,False,0.225295,4.0,14.24,0.900237,0.476433,False
Grid Modernization Package,36,78.174669,True,0.612362,4.0,14.24,0.834728,0.477301,False
Grid Modernization Package,37,78.220756,False,0.083797,4.0,14.24,0.922558,0.477117,False
Grid Modernization Package,38,78.964038,False,0.05616,4.0,14.24,0.931966,0.474144,False
Grid Modernization Package,39,79.302727,False,0.006106,4.0,14.24,0.942457,0.472789,False
Grid Modernization Package,40,79.297188,False,0.018207,4.0,14.24,0.940417,0.472811,False
Grid Modernization Package,41,79.303235,False,0.157441,4.0,14.24,0.917399,0.472787,False
Grid Modernization Package,42,79.150533,False,0.060996,4.0,14.24,0.932378,0.473398,False
Grid Modernization Package,43,79.50292,False,0.001386,4.0,14.24,0.944539,0.471988,False
Grid Modernization Package,44,79.713378,True,0.540117,4.0,14.24,0.856694,0.471146,False
Grid Modernization Package,45,79.873131,False,0.239492,4.0,14.24,0.907516,0.470507,False
Grid Modernization Package,46,79.981583,False,0.212084,4.0,14.24,0.912759,0.470074,False
Grid Modernization Package,47,80.534799,False,0.200354,4.0,14.24,0.918298,0.467861,False
Grid Modernization Package,48,81.375758,False,0.23751,4.0,14.24,0.917611,0.464497,False
Grid Modernization Package,49,81.613724,False,0.153163,4.0,14.24,0.933125,0.463545,False
Grid Modernization Package,50,82.152329,False,0.136968,4.0,14.24,0.939308,0.461391,False
Nature-Based Flood System,1,76.678211,False,0.185914,4.9,14.88,0.908975,0.456287,False
Nature-Based Flood System,2,77.106447,False,0.159415,4.8,14.88,0.915384,0.454574,False
Nature-Based Flood System,3,77.759355,False,0.130325,4.7,14.88,0.923607,0.451963,False
Nature-Based Flood System,4,77.999718,True,0.428583,4.6,14.88,0.884368,0.451001,False
Nature-Based Flood System,5,78.672204,False,0.079927,4.5,14.88,0.936435,0.448311,False
Nature-Based Flood System,6,79.083389,False,0.173487,4.4,14.88,0.926309,0.446666,False
Nature-Based Flood System,7,79.958152,False,0.016057,4.3,14.88,0.953531,0.443167,False
Nature-Based Flood System,8,80.24686,False,0.051709,4.2,14.88,0.950531,0.442013,False
Nature-Based Flood System,9,80.88953,False,0.22621,4.1,14.88,0.930836,0.439442,False
Nature-Based Flood System,10,81.39319,False,0.191399,4.0,14.88,0.938872,0.437427,False
Nature-Based Flood System,11,82.197194,False,0.001474,4.0,14.88,0.97008,0.434211,False
Nature-Based Flood System,12,81.983222,False,0.238358,4.0,14.88,0.936284,0.435067,False
Nature-Based Flood System,13,82.631606,False,0.186879,4.0,14.88,0.94754,0.432474,False
Nature-Based Flood System,14,83.18153,False,0.054855,4.0,14.88,0.969176,0.430274,False
Nature-Based Flood System,15,83.911284,False,0.007256,4.0,14.88,0.980431,0.427355,False
Nature-Based Flood System,16,83.975016,False,0.041261,4.0,14.88,0.976193,0.4271,False
Nature-Based Flood System,17,84.489365,False,0.031907,4.0,14.88,0.980816,0.425043,False
Nature-Based Flood System,18,84.856562,False,0.141098,4.0,14.88,0.968265,0.423574,False
Nature-Based Flood System,19,84.191947,True,0.7142,4.0,14.88,0.885545,0.426232,False
Nature-Based Flood System,20,83.776554,True,0.503283,4.0,14.88,0.911698,0.427894,False
Nature-Based Flood System,21,84.153464,False,0.081711,4.0,14.88,0.971819,0.426386,False
Nature-Based Flood System,22,84.675009,False,0.207981,4.0,14.88,0.957936,0.4243,False
Nature-Based Flood System,23,84.78334,False,0.020477,4.0,14.88,0.984291,0.423867,False
Nature-Based Flood System,24,85.12782,False,0.08749,4.0,14.88,0.977362,0.422489,False
Nature-Based Flood System,25,85.66499,False,0.195308,4.0,14.88,0.966104,0.42034,False
Nature-Based Flood System,26,86.514847,False,0.04984,4.0,14.88,0.991528,0.416941,False
Nature-Based Flood System,27,86.279253,True,0.321906,4.0,14.88,0.952778,0.417883,False
Nature-Based Flood System,28,86.395013,False,0.054491,4.0,14.88,0.990113,0.41742,False
Nature-Based Flood System,29,86.443471,False,0.191725,4.0,14.88,0.971655,0.417226,False
Nature-Based Flood System,30,86.555093,False,0.028633,4.0,14.88,0.994691,0.41678,False
Nature-Based Flood System,31,86.686999,False,0.24118,4.0,14.88,0.966472,0.416252,False
Nature-Based Flood System,32,86.924857,False,0.169337,4.0,14.88,0.977846,0.415301,False
Nature-Based Flood System,33,87.32518,False,0.099164,4.0,14.88,0.990048,0.413699,False
Nature-Based Flood System,34,87.739115,False,0.156811,4.0,14.88,0.984853,0.412044,False
Nature-Based Flood System,35,86.91651,True,0.817985,4.0,14.88,0.889057,0.415334,False
Nature-Based Flood System,36,86.436426,True,0.987075,4.0,14.88,0.862805,0.417254,False
Nature-Based Flood System,37,87.087136,False,0.086801,4.0,14.88,0.990192,0.414651,False
Nature-Based Flood System,38,87.354342,False,0.085308,4.0,14.88,0.992133,0.413583,False
Nature-Based Flood System,39,86.985187,False,0.205583,4.0,14.88,0.97328,0.415059,False
Nature-Based Flood System,40,86.745615,False,0.207177,4.0,14.88,0.971505,0.416018,False
Nature-Based Flood System,41,87.186114,False,0.108872,4.0,14.88,0.987816,0.414256,False
Nature-Based Flood System,42,88.197739,False,0.20205,4.0,14.88,0.981645,0.410209,False
Nature-Based Flood System,43,88.990017,False,0.120874,4.0,14.88,0.997899,0.40704,False
Nature-Based Flood System,44,89.021326,False,0.212928,4.0,14.88,0.98551,0.406915,False
Nature-Based Flood System,45,89.333785,False,0.021666,4.0,14.88,1.0,0.405665,False
Nature-Based Flood System,46,89.788813,False,0.152583,4.0,14.88,0.998754,0.403845,False
Nature-Based Flood System,47,90.173019,False,0.007175,4.0,14.88,1.0,0.402308,False
Nature-Based Flood System,48,90.566836,False,0.199458,4.0,14.88,0.997399,0.400733,False
Nature-Based Flood System,49,90.852931,False,0.22008,4.0,14.88,0.996437,0.399588,False
Nature-Based Flood System,50,90.312663,True,0.95845,4.0,14.88,0.891916,0.401749,False
