system,time,risk,drift,equity_performance,oversight_strength,incident,incident_severity,review_required
Customer Support Generator,2,0.20543,0.039128,0.713234,0.667501,True,0.163374,False
Customer Support Generator,3,0.120744,0.095962,0.707897,0.658419,False,0.0,False
Customer Support Generator,4,0.034853,0.0939,0.736475,0.652511,False,0.0,False
Customer Support Generator,5,0.0,0.121863,0.744233,0.639735,False,0.0,False
Customer Support Generator,6,0.0,0.137168,0.746184,0.646836,False,0.0,False
Customer Support Generator,7,0.0,0.147232,0.754064,0.654357,False,0.0,False
Customer Support Generator,8,0.0,0.145151,0.749826,0.64882,False,0.0,False
Customer Support Generator,9,0.0,0.161259,0.767753,0.652271,False,0.0,False
Customer Support Generator,10,0.0,0.166578,0.778699,0.655187,False,0.0,False
Customer Support Generator,11,0.0,0.225892,0.780437,0.66303,False,0.0,False
Customer Support Generator,12,0.0,0.263513,0.773723,0.671487,False,0.0,False
Customer Support Generator,13,0.0,0.28462,0.761713,0.656323,False,0.0,False
Customer Support Generator,14,0.0,0.321596,0.763722,0.655599,False,0.0,False
Customer Support Generator,15,0.0,0.335894,0.768384,0.666422,False,0.0,False
Customer Support Generator,16,0.0,0.32639,0.759707,0.672564,False,0.0,False
Customer Support Generator,17,0.0,0.303264,0.762557,0.677443,False,0.0,False
Customer Support Generator,18,0.0,0.312413,0.764584,0.68183,False,0.0,False
Customer Support Generator,19,0.0,0.320727,0.753049,0.683708,False,0.0,False
Customer Support Generator,20,0.010712,0.345597,0.739927,0.688656,True,0.274283,False
Customer Support Generator,21,0.0,0.363922,0.771771,0.743024,False,0.0,True
Customer Support Generator,22,0.0,0.381575,0.793201,0.785915,False,0.0,True
Customer Support Generator,23,0.0,0.402371,0.811702,0.825429,False,0.0,True
Customer Support Generator,24,0.0,0.438779,0.816079,0.874465,False,0.0,True
Customer Support Generator,25,0.0,0.431021,0.855136,0.919592,True,0.242044,True
Customer Support Generator,26,0.0,0.437599,0.897579,0.975098,False,0.0,True
Customer Support Generator,27,0.0,0.45172,0.940524,1.0,False,0.0,True
Customer Support Generator,28,0.0,0.461541,0.967395,1.0,False,0.0,True
Customer Support Generator,29,0.0,0.482775,0.990216,1.0,False,0.0,True
Customer Support Generator,30,0.0,0.457549,1.0,1.0,False,0.0,True
Customer Support Generator,31,0.0,0.478367,1.0,1.0,False,0.0,True
Customer Support Generator,32,0.0,0.47975,1.0,1.0,False,0.0,True
Customer Support Generator,33,0.0,0.488411,1.0,1.0,False,0.0,True
Customer Support Generator,34,0.0,0.493058,1.0,1.0,False,0.0,True
Customer Support Generator,35,0.0,0.496131,1.0,1.0,True,0.226132,True
Customer Support Generator,36,0.0,0.499897,1.0,1.0,False,0.0,True
Customer Support Generator,37,0.0,0.477995,1.0,1.0,False,0.0,True
Customer Support Generator,38,0.0,0.481407,1.0,1.0,False,0.0,True
Customer Support Generator,39,0.0,0.471597,1.0,1.0,False,0.0,True
Customer Support Generator,40,0.0,0.449142,1.0,1.0,False,0.0,True
Hiring Screening Model,1,0.401446,0.005466,0.57713,0.62572,True,0.193399,True
Hiring Screening Model,2,0.319519,0.021612,0.587214,0.634125,False,0.0,False
Hiring Screening Model,3,0.250657,0.039593,0.587388,0.626919,False,0.0,False
Hiring Screening Model,4,0.145259,0.048359,0.604603,0.66984,False,0.0,True
Hiring Screening Model,5,0.119265,0.063814,0.596844,0.664942,True,0.245212,False
Hiring Screening Model,6,0.076187,0.073589,0.599467,0.6675,False,0.0,False
Hiring Screening Model,7,0.007201,0.095217,0.588161,0.680712,False,0.0,False
Hiring Screening Model,8,0.0,0.125812,0.581939,0.681372,False,0.0,False
Hiring Screening Model,9,0.0,0.109812,0.603241,0.72349,False,0.0,True
Hiring Screening Model,10,0.0,0.124743,0.619961,0.726934,False,0.0,False
Hiring Screening Model,11,0.0,0.138376,0.626265,0.727996,False,0.0,False
Hiring Screening Model,12,0.0,0.145008,0.627173,0.731922,False,0.0,False
Hiring Screening Model,13,0.0,0.173685,0.633175,0.726403,False,0.0,False
Hiring Screening Model,14,0.0,0.159721,0.645729,0.718227,False,0.0,False
Hiring Screening Model,15,0.0,0.175716,0.637955,0.728151,False,0.0,False
Hiring Screening Model,16,0.0,0.212758,0.619831,0.719039,False,0.0,False
Hiring Screening Model,17,0.0,0.218881,0.617097,0.723154,False,0.0,False
Hiring Screening Model,18,0.003716,0.226865,0.605513,0.728355,True,0.153948,False
Hiring Screening Model,19,0.0,0.238903,0.60522,0.722725,False,0.0,False
Hiring Screening Model,20,0.014182,0.264448,0.609141,0.729972,True,0.221405,False
Hiring Screening Model,21,0.001818,0.267221,0.625179,0.722764,False,0.0,False
Hiring Screening Model,22,0.0,0.281692,0.630215,0.735132,False,0.0,False
Hiring Screening Model,23,0.0,0.283478,0.642828,0.739877,False,0.0,False
Hiring Screening Model,24,0.0,0.307544,0.641396,0.74692,False,0.0,False
Hiring Screening Model,25,0.003191,0.312736,0.630719,0.75188,False,0.0,False
Hiring Screening Model,26,0.0,0.337424,0.642953,0.754308,False,0.0,False
Hiring Screening Model,27,0.0,0.358983,0.667032,0.803617,False,0.0,True
Hiring Screening Model,28,0.0,0.388104,0.689259,0.845403,False,0.0,True
Hiring Screening Model,29,0.0,0.397817,0.710677,0.890078,False,0.0,True
Hiring Screening Model,30,0.0,0.443589,0.754762,0.934062,False,0.0,True
Hiring Screening Model,31,0.0,0.445909,0.787651,0.968097,False,0.0,True
Hiring Screening Model,32,0.0,0.490555,0.827132,1.0,False,0.0,True
Hiring Screening Model,33,0.0,0.482688,0.857441,1.0,False,0.0,True
Hiring Screening Model,34,0.0,0.480499,0.878626,1.0,False,0.0,True
Hiring Screening Model,35,0.0,0.511922,0.887098,1.0,False,0.0,True
Hiring Screening Model,36,0.0,0.506393,0.913773,1.0,False,0.0,True
Hiring Screening Model,37,0.0,0.525254,0.943523,1.0,False,0.0,True
Hiring Screening Model,38,0.0,0.536172,0.959215,1.0,False,0.0,True
Hiring Screening Model,39,0.000403,0.525523,0.977927,1.0,True,0.238416,True
Hiring Screening Model,40,0.004258,0.54185,0.996969,1.0,False,0.0,True
Clinical Decision Support,1,0.501351,0.0,0.678408,0.734376,False,0.0,False
Clinical Decision Support,2,0.417067,0.0,0.695983,0.736218,False,0.0,False
Clinical Decision Support,3,0.318152,0.010752,0.704557,0.725642,False,0.0,False
Clinical Decision Support,4,0.186906,0.02245,0.719544,0.724795,False,0.0,False
Clinical Decision Support,5,0.10783,0.029109,0.727717,0.729412,False,0.0,False
Clinical Decision Support,6,0.06459,0.055656,0.732218,0.728759,False,0.0,False
Clinical Decision Support,7,0.0,0.061207,0.730651,0.737696,False,0.0,False
Clinical Decision Support,8,0.0,0.054196,0.729017,0.735582,False,0.0,False
Clinical Decision Support,9,0.0,0.034674,0.728046,0.73223,True,0.287034,False
Clinical Decision Support,10,0.0,0.050802,0.733377,0.728585,False,0.0,False
Clinical Decision Support,11,0.0,0.077645,0.74808,0.720117,False,0.0,False
Clinical Decision Support,12,0.0,0.069475,0.749798,0.707905,False,0.0,False
Clinical Decision Support,13,0.0,0.070429,0.766149,0.700406,False,0.0,False
Clinical Decision Support,14,0.0,0.081217,0.775941,0.700551,False,0.0,False
Clinical Decision Support,15,0.0,0.090275,0.779331,0.692968,False,0.0,False
Clinical Decision Support,16,0.0,0.101084,0.797842,0.693045,False,0.0,False
Clinical Decision Support,17,0.0,0.132616,0.792375,0.687366,False,0.0,False
Clinical Decision Support,18,0.0,0.123926,0.80078,0.679515,False,0.0,False
Clinical Decision Support,19,0.0,0.140147,0.805951,0.677445,False,0.0,False
Clinical Decision Support,20,0.0,0.14637,0.81345,0.675421,False,0.0,False
Clinical Decision Support,21,0.0,0.136947,0.816006,0.680057,False,0.0,False
Clinical Decision Support,22,0.0,0.140029,0.825387,0.699874,False,0.0,False
Clinical Decision Support,23,0.0,0.115329,0.817025,0.714463,False,0.0,False
Clinical Decision Support,24,0.0,0.147812,0.823709,0.705686,False,0.0,False
Clinical Decision Support,25,0.0,0.164197,0.838085,0.702162,False,0.0,False
Clinical Decision Support,26,0.0,0.164479,0.847752,0.697202,False,0.0,False
Clinical Decision Support,27,0.0,0.168272,0.842295,0.713644,False,0.0,False
Clinical Decision Support,28,0.0,0.163838,0.84705,0.706863,False,0.0,False
Clinical Decision Support,29,0.0,0.127443,0.847009,0.704018,False,0.0,False
Clinical Decision Support,30,0.0,0.140956,0.858317,0.707112,False,0.0,False
Clinical Decision Support,31,0.0,0.154483,0.872822,0.71747,False,0.0,False
Clinical Decision Support,32,0.0,0.191726,0.893452,0.715524,False,0.0,False
Clinical Decision Support,33,0.0,0.181752,0.891614,0.738951,False,0.0,False
Clinical Decision Support,34,0.0,0.182552,0.894947,0.746229,False,0.0,False
Clinical Decision Support,35,0.0,0.178662,0.896675,0.760244,False,0.0,False
Clinical Decision Support,36,0.0,0.172745,0.895794,0.77129,False,0.0,False
Clinical Decision Support,37,0.0,0.188746,0.891802,0.775991,False,0.0,False
Clinical Decision Support,38,0.0,0.169056,0.893171,0.77725,False,0.0,False
Clinical Decision Support,39,0.0,0.194533,0.895106,0.78581,False,0.0,False
Clinical Decision Support,40,0.0,0.184821,0.893205,0.781675,False,0.0,False
