"decision","cycle","performance_value","growth_rate"
"Balanced Strategic Investment",32,208.064757801922,0.136488979577489
"Balanced Strategic Investment",33,213.07515961276,2.40809729805745
"Balanced Strategic Investment",34,220.804244935979,3.62739858426762
"Balanced Strategic Investment",35,226.884397318796,2.75363926295003
"Balanced Strategic Investment",36,234.696531402013,3.44322226452618
"Balanced Strategic Investment",37,242.746510682276,3.4299523866732
"Balanced Strategic Investment",38,249.782795366829,2.89861414064291
"Balanced Strategic Investment",39,260.47626843315,4.28110873313587
"Balanced Strategic Investment",40,268.023826247315,2.89759902488112
"Risk-Controlled Expansion",1,100.446875579855,0.446875579854658
"Risk-Controlled Expansion",2,104.004419246771,3.54171660032185
"Risk-Controlled Expansion",3,106.036196667778,1.95354912389441
"Risk-Controlled Expansion",4,108.507489020303,2.33061202701166
"Risk-Controlled Expansion",5,114.06460737298,5.12141457041547
"Risk-Controlled Expansion",6,116.377570159472,2.0277655267149
"Risk-Controlled Expansion",7,117.132222945398,0.648452089944736
"Risk-Controlled Expansion",8,118.685628731709,1.32619850221275
"Risk-Controlled Expansion",9,125.426505703474,5.67960674245024
"Risk-Controlled Expansion",10,128.949289047596,2.8086434556746
"Risk-Controlled Expansion",11,131.105990817542,1.67251931815571
"Risk-Controlled Expansion",12,129.745117217213,-1.03799497783652
"Risk-Controlled Expansion",13,132.933435965393,2.45737089500031
"Risk-Controlled Expansion",14,133.083639904373,0.112991842789057
"Risk-Controlled Expansion",15,138.102430324553,3.77115505992064
"Risk-Controlled Expansion",16,139.469709285525,0.990046994653785
"Risk-Controlled Expansion",17,145.235354532826,4.13397667266721
"Risk-Controlled Expansion",18,145.669753717839,0.299100164977114
"Risk-Controlled Expansion",19,146.663413364142,0.68213175415164
"Risk-Controlled Expansion",20,149.882649873792,2.19498267209762
"Risk-Controlled Expansion",21,150.664279939515,0.521494693602719
"Risk-Controlled Expansion",22,157.312996509919,4.41293488614104
"Risk-Controlled Expansion",23,158.425705286805,0.707321582813835
"Risk-Controlled Expansion",24,162.557547463725,2.6080629841221
"Risk-Controlled Expansion",25,167.823881372601,3.2396735747084
"Risk-Controlled Expansion",26,168.327943097639,0.300351607241887
"Risk-Controlled Expansion",27,171.946881962316,2.1499335155407
"Risk-Controlled Expansion",28,171.302284365903,-0.374881817603691
"Risk-Controlled Expansion",29,179.930913522158,5.03707769467043
"Risk-Controlled Expansion",30,186.366333496568,3.57660606976079
"Risk-Controlled Expansion",31,192.746633880115,3.42352626885001
"Risk-Controlled Expansion",32,198.627023688179,3.05083917144868
"Risk-Controlled Expansion",33,207.920288728702,4.67875159581119
"Risk-Controlled Expansion",34,209.287918245487,0.657766264729199
"Risk-Controlled Expansion",35,211.646265612009,1.12684353033506
"Risk-Controlled Expansion",36,220.725330526853,4.28973546430895
"Risk-Controlled Expansion",37,220.256452907774,-0.21242583167026
"Risk-Controlled Expansion",38,229.950576414712,4.40128921489382
"Risk-Controlled Expansion",39,234.83812151405,2.12547634171788
"Risk-Controlled Expansion",40,241.827827632593,2.97639330168307
"Efficiency Consolidation",1,103.400441019235,3.40044101923507
"Efficiency Consolidation",2,107.012282423366,3.49306189463878
"Efficiency Consolidation",3,109.578062994231,2.39765054324664
"Efficiency Consolidation",4,109.418534275547,-0.145584539755824
"Efficiency Consolidation",5,111.476465024743,1.88078807929688
"Efficiency Consolidation",6,113.035829998897,1.39882886832473
"Efficiency Consolidation",7,114.523458489503,1.31606809152482
"Efficiency Consolidation",8,117.665527310614,2.7436028064062
"Efficiency Consolidation",9,119.234255022695,1.33320926522426
"Efficiency Consolidation",10,123.849744575659,3.87094258448316
"Efficiency Consolidation",11,125.625751380848,1.43400118528581
"Efficiency Consolidation",12,126.091560376382,0.370791012522637
"Efficiency Consolidation",13,128.333144560443,1.77774323465423
"Efficiency Consolidation",14,129.367201894736,0.805760147025989
"Efficiency Consolidation",15,133.408492562363,3.123891224698
"Efficiency Consolidation",16,133.146490845355,-0.196390583520067
"Efficiency Consolidation",17,138.169411326988,3.77247680336299
"Efficiency Consolidation",18,136.680432556872,-1.07764718385554
"Efficiency Consolidation",19,138.377754109574,1.24181751619448
"Efficiency Consolidation",20,143.165352524394,3.45980352523231
"Efficiency Consolidation",21,148.090229113623,3.43999194105959
"Efficiency Consolidation",22,150.595061808203,1.69142333668628
"Efficiency Consolidation",23,157.921461153763,4.86496652519119
"Efficiency Consolidation",24,161.069428409305,1.99337520850102
"Efficiency Consolidation",25,168.570558519204,4.65707874174428
"Efficiency Consolidation",26,169.735991436922,0.691362078856394
"Efficiency Consolidation",27,175.265234766376,3.2575550315789
"Efficiency Consolidation",28,180.85962104134,3.19195434418091
"Efficiency Consolidation",29,178.533782642664,-1.28599097205003
"Efficiency Consolidation",30,183.401983375352,2.72676725974677
"Efficiency Consolidation",31,187.559453384507,2.26686207675631
"Efficiency Consolidation",32,191.686133130291,2.20019821518928
"Efficiency Consolidation",33,195.056579309272,1.75831507680816
"Efficiency Consolidation",34,192.504337180222,-1.30846246667902
"Efficiency Consolidation",35,200.576061892722,4.19300927487312
"Efficiency Consolidation",36,204.65371099823,2.03296897298188
"Efficiency Consolidation",37,203.313258805087,-0.654985529753807
"Efficiency Consolidation",38,209.053126315238,2.82316438381119
"Efficiency Consolidation",39,214.276808734049,2.49873441784067
"Efficiency Consolidation",40,214.646551608782,0.172553846082082
"Fast Growth Allocation",1,102.735255636021,2.73525563602052
"Fast Growth Allocation",2,105.735214957219,2.92008746425598
"Fast Growth Allocation",3,104.025169635351,-1.61729024957315
"Fast Growth Allocation",4,106.010567157261,1.90857417379812
"Fast Growth Allocation",5,106.546287530894,0.505346200854375
"Fast Growth Allocation",6,106.88114049022,0.314279330688618
"Fast Growth Allocation",7,110.719995817157,3.59170505603671
"Fast Growth Allocation",8,115.199684063279,4.04596135780194
"Fast Growth Allocation",9,116.929549893889,1.50162376283883
"Fast Growth Allocation",10,117.559113802451,0.538413009486505
"Fast Growth Allocation",11,116.837651155571,-0.613702012157607
"Fast Growth Allocation",12,115.069636156027,-1.51322367580815
"Fast Growth Allocation",13,117.031081547531,1.7045725154152
"Fast Growth Allocation",14,120.643798516817,3.08697221414556
"Fast Growth Allocation",15,123.008106802078,1.95974290790585
"Fast Growth Allocation",16,125.890449939827,2.34321396587836
"Fast Growth Allocation",17,127.644291899069,1.39314932950003
"Fast Growth Allocation",18,132.630391775054,3.90624586638656
"Fast Growth Allocation",19,138.122784803239,4.14112704839142
"Fast Growth Allocation",20,140.6926674039,1.86057832842178
"Fast Growth Allocation",21,139.12432467544,-1.11472954305287
"Fast Growth Allocation",22,143.611858792119,3.22555680119055
"Fast Growth Allocation",23,148.152990682346,3.16208698113194
"Fast Growth Allocation",24,150.559594625907,1.62440456481938
"Fast Growth Allocation",25,155.675696193856,3.39805748060177
"Fast Growth Allocation",26,160.845571435381,3.32092636675095
"Fast Growth Allocation",27,165.008608595919,2.58821994499898
"Fast Growth Allocation",28,163.356729843767,-1.00108640767767
"Fast Growth Allocation",29,167.244691331365,2.38004365740903
"Fast Growth Allocation",30,170.679769147811,2.05392337963066
"Fast Growth Allocation",31,171.707651171768,0.602228388923429
"Fast Growth Allocation",32,175.764827091124,2.36283933282508
"Fast Growth Allocation",33,180.379958881748,2.62574251458812
"Fast Growth Allocation",34,184.444812687606,2.25349525028028
"Fast Growth Allocation",35,183.601960686648,-0.456967039992098
"Fast Growth Allocation",36,183.345121466394,-0.139889148947076
"Fast Growth Allocation",37,188.389621305577,2.75136845684095
"Fast Growth Allocation",38,195.749101764646,3.90652118097952
"Fast Growth Allocation",39,194.008003399558,-0.889454076362272
"Fast Growth Allocation",40,196.118303158545,1.08773850666405
