decision_system,time,accountability,decision_quality,evidence_traceability,review_strength,implementation_reliability,monitoring_strength,corrective_capacity,risk_exposure,responsibility_gap,stress_event,stress_severity,review_required
Committee Governance System,21,1.0,1.0,0.616291,0.806645,0.758133,0.679239,0.627777,0.0,0.0,True,0.209613,False
Committee Governance System,22,1.0,1.0,0.609973,0.806729,0.76565,0.674778,0.633213,0.0,0.0,False,0.01531,False
Committee Governance System,23,1.0,1.0,0.617802,0.81927,0.776806,0.663002,0.636692,0.0,0.0,False,0.006033,False
Committee Governance System,24,1.0,1.0,0.621992,0.831268,0.785236,0.673772,0.652488,0.0,0.0,False,0.026232,False
Committee Governance System,25,1.0,1.0,0.625272,0.831943,0.8039,0.691007,0.649909,0.0,0.0,False,0.027668,False
Committee Governance System,26,1.0,1.0,0.643776,0.833917,0.827412,0.704412,0.647071,0.0,0.0,False,0.002569,False
Committee Governance System,27,1.0,1.0,0.655324,0.840434,0.837847,0.713834,0.63863,0.0,0.0,False,0.015192,False
Committee Governance System,28,1.0,0.989855,0.670574,0.846151,0.843688,0.709513,0.634717,0.0,0.0,False,0.043008,False
Committee Governance System,29,1.0,1.0,0.678416,0.857208,0.844022,0.730668,0.642932,0.0,0.0,False,0.007853,False
Committee Governance System,30,1.0,0.995461,0.673366,0.838695,0.837675,0.742474,0.634353,0.0,0.0,False,0.022702,False
Committee Governance System,31,1.0,0.99887,0.680488,0.840925,0.845728,0.755235,0.650633,0.0,0.0,False,0.045421,False
Committee Governance System,32,1.0,1.0,0.698889,0.842412,0.86649,0.758024,0.658385,0.0,0.0,False,0.034987,False
Committee Governance System,33,1.0,1.0,0.708207,0.83236,0.866663,0.808131,0.648071,0.0,0.0,True,0.253144,False
Committee Governance System,34,1.0,1.0,0.719984,0.835043,0.870384,0.801218,0.646969,0.0,0.0,False,0.032575,False
Committee Governance System,35,1.0,1.0,0.716139,0.857589,0.885047,0.801945,0.682493,0.0,0.0,False,0.042887,False
Committee Governance System,36,1.0,1.0,0.709175,0.872041,0.882051,0.827005,0.688526,0.0,0.0,False,0.048509,False
Committee Governance System,37,1.0,1.0,0.71492,0.870483,0.873939,0.808551,0.687775,0.0,0.0,False,0.03127,False
Committee Governance System,38,1.0,1.0,0.72877,0.890011,0.909921,0.811502,0.693992,0.0,0.0,False,0.011965,False
Committee Governance System,39,1.0,1.0,0.731141,0.882626,0.928115,0.815984,0.724236,0.0,0.0,False,0.024919,False
Committee Governance System,40,1.0,1.0,0.753888,0.872746,0.913356,0.820319,0.752863,0.0,0.0,False,0.025412,False
Risk-Tiered Governance System,1,0.789723,0.796584,0.749477,0.745897,0.737667,0.723669,0.730844,0.299514,0.0,False,0.014928,False
Risk-Tiered Governance System,2,0.833779,0.812776,0.763764,0.771987,0.746633,0.726239,0.737411,0.16216,0.0,False,0.016089,False
Risk-Tiered Governance System,3,0.858218,0.835549,0.759533,0.761779,0.769048,0.750579,0.746054,0.029188,0.0,False,0.019304,False
Risk-Tiered Governance System,4,0.87206,0.849271,0.753653,0.768439,0.7738,0.758831,0.7442,0.0,0.0,False,0.022015,False
Risk-Tiered Governance System,5,0.912716,0.875507,0.746828,0.758119,0.774872,0.783307,0.735265,0.0,0.0,False,0.034635,False
Risk-Tiered Governance System,6,0.972941,0.882751,0.769802,0.774277,0.784541,0.830354,0.726125,0.0,0.0,False,0.001795,False
Risk-Tiered Governance System,7,1.0,0.9135,0.768061,0.758731,0.791302,0.861242,0.742509,0.0,0.0,False,0.022184,False
Risk-Tiered Governance System,8,1.0,0.95955,0.777293,0.771561,0.80263,0.882893,0.740412,0.0,0.0,False,0.039626,False
Risk-Tiered Governance System,9,1.0,0.990892,0.806311,0.781782,0.820353,0.908068,0.740346,0.0,0.0,False,0.012766,False
Risk-Tiered Governance System,10,1.0,1.0,0.813515,0.813789,0.822213,0.922163,0.761876,0.0,0.0,False,0.021215,False
Risk-Tiered Governance System,11,1.0,1.0,0.838264,0.820273,0.825297,0.930251,0.7876,0.0,0.0,False,0.014762,False
Risk-Tiered Governance System,12,1.0,1.0,0.840205,0.849698,0.824648,0.9316,0.790547,0.0,0.0,False,0.045208,False
Risk-Tiered Governance System,13,1.0,1.0,0.829083,0.839515,0.820318,0.935483,0.792312,0.0,0.0,False,0.041917,False
Risk-Tiered Governance System,14,1.0,1.0,0.838888,0.853817,0.804494,0.914642,0.794509,0.0,0.0,False,0.037374,False
Risk-Tiered Governance System,15,1.0,1.0,0.852964,0.843956,0.821505,0.921853,0.809801,0.0,0.0,False,0.024092,False
Risk-Tiered Governance System,16,1.0,1.0,0.88091,0.847962,0.846365,0.917793,0.835508,0.0,0.0,False,0.048997,False
Risk-Tiered Governance System,17,1.0,1.0,0.900504,0.831082,0.881611,0.934888,0.851193,0.0,0.0,False,0.029228,False
Risk-Tiered Governance System,18,1.0,1.0,0.919817,0.816641,0.911374,0.941531,0.873421,0.0,0.0,False,0.003161,False
Risk-Tiered Governance System,19,1.0,1.0,0.931786,0.832339,0.929652,0.939816,0.862858,0.0,0.0,True,0.239707,False
Risk-Tiered Governance System,20,1.0,1.0,0.927035,0.842212,0.932069,0.953349,0.872491,0.0,0.0,False,0.004951,False
Risk-Tiered Governance System,21,1.0,1.0,0.899134,0.839349,0.94171,0.953918,0.889257,0.0,0.0,True,0.203422,False
Risk-Tiered Governance System,22,1.0,1.0,0.904114,0.846591,0.963541,0.966227,0.890656,0.0,0.0,False,0.032085,False
Risk-Tiered Governance System,23,1.0,1.0,0.918836,0.847738,0.998955,0.99221,0.921746,0.0,0.0,False,0.010798,False
Risk-Tiered Governance System,24,1.0,1.0,0.924825,0.85441,1.0,1.0,0.934223,0.0,0.0,False,0.008725,False
Risk-Tiered Governance System,25,1.0,1.0,0.93158,0.84952,1.0,1.0,0.930265,0.0,0.0,False,0.026304,False
Risk-Tiered Governance System,26,1.0,1.0,0.925238,0.856248,0.999078,1.0,0.939258,0.0,0.0,False,0.043349,False
Risk-Tiered Governance System,27,1.0,1.0,0.94713,0.873303,1.0,1.0,0.9537,0.0,0.0,False,0.003675,False
Risk-Tiered Governance System,28,1.0,1.0,0.949996,0.878732,0.999568,1.0,0.941556,0.0,0.0,False,0.022686,False
Risk-Tiered Governance System,29,1.0,1.0,0.950397,0.898877,0.995436,1.0,0.954716,0.0,0.0,False,0.011425,False
Risk-Tiered Governance System,30,1.0,1.0,0.960546,0.903327,1.0,1.0,0.976513,0.0,0.0,False,0.003357,False
Risk-Tiered Governance System,31,1.0,0.993412,0.957278,0.926486,1.0,1.0,0.962902,0.0,0.0,False,0.006112,False
Risk-Tiered Governance System,32,1.0,1.0,0.959957,0.928332,0.998085,1.0,0.987951,0.0,0.0,False,0.010637,False
Risk-Tiered Governance System,33,1.0,1.0,0.973577,0.921728,1.0,1.0,0.995649,0.0,0.0,False,0.048727,False
Risk-Tiered Governance System,34,1.0,1.0,0.980189,0.931754,1.0,1.0,0.994725,0.0,0.0,False,0.015449,False
Risk-Tiered Governance System,35,1.0,1.0,0.977999,0.946012,1.0,0.99737,1.0,0.0,0.0,False,0.010757,False
Risk-Tiered Governance System,36,1.0,1.0,0.97776,0.943962,0.9992,0.998443,0.995808,0.0,0.0,True,0.191211,False
Risk-Tiered Governance System,37,1.0,1.0,0.979086,0.940402,0.998076,1.0,1.0,0.0,0.0,False,0.014162,False
Risk-Tiered Governance System,38,1.0,1.0,0.986192,0.960121,1.0,1.0,1.0,0.0,0.0,False,0.006862,False
Risk-Tiered Governance System,39,1.0,1.0,1.0,0.979122,1.0,1.0,1.0,0.0,0.0,False,0.04031,False
Risk-Tiered Governance System,40,1.0,1.0,1.0,0.989581,0.994877,1.0,1.0,0.0,0.0,False,0.020885,False
Adaptive Accountability System,1,0.940581,0.891551,0.856381,0.882883,0.844848,0.904251,0.938705,0.208348,0.0,False,0.012166,False
Adaptive Accountability System,2,0.995902,0.903883,0.871527,0.885078,0.855853,0.911647,0.926595,0.085853,0.0,True,0.171791,False
Adaptive Accountability System,3,1.0,0.906018,0.875651,0.889134,0.866769,0.925795,0.924722,0.0,0.0,False,0.038011,False
Adaptive Accountability System,4,1.0,0.933697,0.86707,0.882583,0.889123,0.933227,0.931892,0.0,0.0,False,0.031765,False
Adaptive Accountability System,5,1.0,0.96541,0.868111,0.903208,0.918525,0.964994,0.949677,0.0,0.0,True,0.171321,False
Adaptive Accountability System,6,1.0,0.971743,0.856661,0.906569,0.936313,0.987724,0.953925,0.0,0.0,False,0.023136,False
Adaptive Accountability System,7,1.0,0.993818,0.884477,0.931654,0.938972,0.988708,0.980882,0.0,0.0,True,0.091137,False
Adaptive Accountability System,8,1.0,1.0,0.899295,0.951827,0.941892,0.99847,1.0,0.0,0.0,False,0.026137,False
Adaptive Accountability System,9,1.0,1.0,0.902281,0.952433,0.972241,1.0,0.993742,0.0,0.0,True,0.097011,False
Adaptive Accountability System,10,1.0,1.0,0.926908,0.957486,0.990916,0.998326,1.0,0.0,0.0,True,0.142968,False
Adaptive Accountability System,11,1.0,1.0,0.944664,0.950525,0.994592,1.0,0.998584,0.0,0.0,False,0.033506,False
Adaptive Accountability System,12,1.0,1.0,0.96658,0.956703,1.0,1.0,1.0,0.0,0.0,False,0.01071,False
Adaptive Accountability System,13,1.0,1.0,0.985355,0.96944,1.0,1.0,1.0,0.0,0.0,False,0.044184,False
Adaptive Accountability System,14,1.0,1.0,0.982796,0.984835,1.0,1.0,1.0,0.0,0.0,False,0.008277,False
Adaptive Accountability System,15,1.0,1.0,0.996379,0.982822,1.0,1.0,1.0,0.0,0.0,False,0.015473,False
Adaptive Accountability System,16,1.0,1.0,1.0,0.988601,1.0,1.0,1.0,0.0,0.0,False,0.026373,False
Adaptive Accountability System,17,1.0,1.0,1.0,0.988239,1.0,1.0,0.999338,0.0,0.0,True,0.232261,False
Adaptive Accountability System,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.022556,False
Adaptive Accountability System,19,1.0,1.0,0.995753,0.993028,1.0,1.0,1.0,0.0,0.0,False,0.041959,False
Adaptive Accountability System,20,1.0,1.0,1.0,1.0,1.0,1.0,0.999563,0.0,0.0,False,0.000263,False
Adaptive Accountability System,21,1.0,1.0,0.990279,1.0,1.0,1.0,1.0,0.0,0.0,False,0.002387,False
Adaptive Accountability System,22,1.0,1.0,0.984185,1.0,1.0,1.0,1.0,0.0,0.0,False,0.007179,False
Adaptive Accountability System,23,1.0,1.0,1.0,1.0,0.989251,1.0,1.0,0.0,0.0,False,0.025366,False
Adaptive Accountability System,24,1.0,1.0,1.0,0.993774,0.999116,1.0,0.99294,0.0,0.0,False,0.01724,False
Adaptive Accountability System,25,1.0,1.0,0.986988,1.0,1.0,0.995126,0.985873,0.0,0.0,True,0.220246,False
Adaptive Accountability System,26,1.0,1.0,1.0,1.0,1.0,0.970419,0.993136,0.0,0.0,True,0.115905,False
Adaptive Accountability System,27,1.0,1.0,1.0,1.0,1.0,0.990706,1.0,0.0,0.0,False,0.039042,False
Adaptive Accountability System,28,1.0,1.0,0.981292,1.0,1.0,0.981599,1.0,0.0,0.0,False,0.02481,False
Adaptive Accountability System,29,1.0,1.0,1.0,1.0,0.995122,0.98834,1.0,0.0,0.0,False,0.016061,False
Adaptive Accountability System,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.017628,False
Adaptive Accountability System,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.047639,False
Adaptive Accountability System,32,1.0,1.0,0.995842,0.983976,0.998198,0.998109,1.0,0.0,0.0,False,0.030255,False
Adaptive Accountability System,33,1.0,1.0,1.0,0.980644,1.0,0.998954,1.0,0.0,0.0,False,0.005672,False
Adaptive Accountability System,34,1.0,1.0,1.0,0.991142,1.0,1.0,1.0,0.0,0.0,False,0.045824,False
Adaptive Accountability System,35,1.0,1.0,1.0,1.0,1.0,0.988008,1.0,0.0,0.0,False,0.015979,False
Adaptive Accountability System,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.025438,False
Adaptive Accountability System,37,1.0,1.0,1.0,1.0,0.991107,1.0,1.0,0.0,0.0,False,0.030597,False
Adaptive Accountability System,38,1.0,1.0,0.991192,1.0,1.0,0.998442,1.0,0.0,0.0,False,0.032117,False
Adaptive Accountability System,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.045536,False
Adaptive Accountability System,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.042297,False
